candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,selector_mode,selector_last_guard,selector_full_cap,selector_alpha
last,0.5957948704179553,0.596524956528473,0.5778756097291596,0.6256602222474016,0.5983547592071937,0.5805030316105346,0.5805030316105346,0.6015060043550433,0.6256602222474016,0.01705265323557303,-3.488067541967954e-05,-0.012779175187799807,0.5853338751890063,last,0.0,0.004,0.0
composite,0.5943991703462966,0.5931509525943206,0.5781101245987051,0.6246059130443687,0.5952699693560319,0.581027967783383,0.581027967783383,0.6003012833945945,0.6246059130443687,0.01648563007549342,-0.0014305807470783583,-0.012254239014951485,0.5858888937133377,composite,0.0,0.004,0.0
tradeoff_cap_a0p5,0.588695927319815,0.5876310239649621,0.5713297702105299,0.6179802323127632,0.5833606200146384,0.5838721654497869,0.5838721654497869,0.5950710059257295,0.6179802323127632,0.01556872350293793,-0.007133823773559977,-0.009410041348547504,0.5884540107271937,tradeoff_cap,0.0,0.004,0.5
tradeoff_cap_a0p35,0.588345096463546,0.5871646655344899,0.5712041490965254,0.6173240668679216,0.5821040558596168,0.5846951252639195,0.5846951252639195,0.5947077493304861,0.6173240668679216,0.015408709018085802,-0.007484654629828946,-0.008587081534414898,0.5892183887714066,tradeoff_cap,0.0,0.004,0.35
tradeoff_cap_a0p25,0.5882711842271381,0.5868884975100135,0.5712004293752038,0.6173074089926701,0.5818164988245448,0.5849415668379857,0.5849415668379857,0.5946884915517335,0.6173074089926701,0.015421067692091216,-0.007558566866236904,-0.008340639960348728,0.589465350326173,tradeoff_cap,0.0,0.004,0.25
last_guard_0,0.588583775040563,0.5870836945598218,0.572012739051177,0.6173609845769665,0.5810495219918103,0.5862742986751225,0.5862742986751225,0.5948949350812996,0.6173609845769665,0.015276957680008037,-0.007245976052811964,-0.007007908123211948,0.5907675085742559,last_guard,0.0,0.004,0.0
positive_last_penalty_a1,0.5885832970690948,0.587068122306353,0.5720321705712985,0.6174626650795233,0.5809315825054021,0.5862893647648392,0.5862893647648392,0.5948945374499215,0.6174626650795233,0.015322622603979263,-0.007246454024280147,-0.006992842033495261,0.5908029902907596,positive_last_penalty,0.0,0.004,1.0
tradeoff_cap_a0p15,0.5878979524532022,0.5860813013611408,0.5707557796148043,0.6167034775677716,0.5802647635585297,0.5866303472928861,0.5866303472928861,0.5945328628063957,0.6167034775677716,0.015405233107114655,-0.007931798640172794,-0.006651859505448332,0.5910644702451613,tradeoff_cap,0.0,0.004,0.15
positive_last_penalty_a0p75,0.5884956903655248,0.5869896277861072,0.5716221386225172,0.6170597439338374,0.581018437728912,0.5866764248311557,0.5866764248311557,0.5949182021646351,0.6170597439338374,0.015244352937922517,-0.007334060727850145,-0.006605781967178759,0.5911047331849961,positive_last_penalty,0.0,0.004,0.75
last_guard_0p002,0.5884112776867896,0.5865209367185579,0.5718847978381276,0.6171244922066451,0.5804862609674145,0.5869748741800375,0.5869748741800375,0.594861875784699,0.6171244922066451,0.015269845599636919,-0.007418473406585413,-0.006307332618296968,0.5914273974644267,last_guard,0.002,0.004,0.0
last_guard_0p004,0.5883458200078129,0.5863540589143437,0.5717285320107276,0.6170334227947747,0.580388480978345,0.5871811061024399,0.5871811061024399,0.5948676699585199,0.6170334227947747,0.01528118287609908,-0.007483931085562112,-0.006101100695894535,0.5916142566696908,last_guard,0.004,0.004,0.0
positive_last_penalty_a0p5,0.5879108823365706,0.5862796718830213,0.5707627890173292,0.6163491048933327,0.579646140160653,0.5874987580795304,0.5874987580795304,0.5944980010445055,0.6163491048933327,0.015321444961169418,-0.007918868756804365,-0.005783448718803985,0.5918689788492959,positive_last_penalty,0.0,0.004,0.5
positive_last_penalty_a0p25,0.5878369701001626,0.586003503858545,0.5707590692960076,0.6163324470180812,0.5793585831255809,0.5877451996535964,0.5877451996535964,0.5944787432657529,0.6163324470180812,0.015353790064387257,-0.007992780993212434,-0.005537007144738038,0.592115940404062,positive_last_penalty,0.0,0.004,0.25
last_guard_0p006,0.5877737679674419,0.5857212059979161,0.5707911191192181,0.6163093111203622,0.578997350444315,0.5881024812549815,0.5881024812549815,0.5944697142732196,0.6163093111203622,0.015387089051249737,-0.008055983125933142,-0.005179725543352887,0.59247040062441,last_guard,0.006,0.004,0.0
last_guard_0p008,0.5877428185972132,0.5855750976741907,0.5706684943783892,0.6162506670781969,0.5789144111659216,0.5883827174386382,0.5883827174386382,0.5945159318942522,0.6162506670781969,0.015408096066997598,-0.00808693249616177,-0.004899489359696196,0.5927296644754272,last_guard,0.008,0.004,0.0
full,0.5877322134657693,0.5854393667774792,0.5705624563392522,0.6162080601647535,0.5788388205125815,0.5887168320908297,0.5887168320908297,0.594587904256055,0.6162080601647535,0.015432106096330486,-0.008097537627605678,-0.004565374707504732,0.5930408632725694,full,0.0,0.004,0.0
