candidate,action_key,target,source,mode,alpha,threshold,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,risk_proxy,base_positive_rate,up_n,down_n,up_precision_actual_1,down_precision_actual_0,up_lift_vs_base,down_lift_vs_base0,up_logloss_gain_vs_anchor,down_logloss_gain_vs_anchor,selected
core_q1down_s2tight_s4tight,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_q1down_s2tight_s4tight,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4tight,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4tight,anchor,S1,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4tight,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a0.75::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,0.75,0.08,0.5554486997313678,0.5888325174670911,-0.004671705958340433,-0.03398280542834231,0.009201249105072414,-0.009201249105072414,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.24071153845075852,True
core_q1down_s2tight_s4tight,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4tight,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
core_q1down_s2mid_s4tight,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_q1down_s2mid_s4tight,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2mid_s4tight,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2mid_s4tight,anchor,S1,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2mid_s4tight,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a1::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,1.0,0.08,0.5554768349526763,0.5810327610656839,-0.004643570737031921,-0.04178256182974949,0.01226833214009655,-0.01226833214009655,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.29595981296072554,True
core_q1down_s2mid_s4tight,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2mid_s4tight,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
core_q1down_s2wide_s4tight,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_q1down_s2wide_s4tight,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2wide_s4tight,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2wide_s4tight,anchor,S1,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2wide_s4tight,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a1::t0.05,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,1.0,0.05,0.5578704275593542,0.5787250148792958,-0.002249978130353991,-0.04409030801613756,0.020769425163670724,-0.020769425163670724,0.0,0.184,0.0,0.5647058823529412,0.0,22.0,,0.5909090909090909,,0.1556149732620321,,0.17034891733507662,True
core_q1down_s2wide_s4tight,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2wide_s4tight,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
core_q1up_s2tight_s4tight,Q1::constrained_target_blend_logit_newton/last::up_thr::a1::t0.08,Q1,constrained_target_blend_logit_newton/last,up_thr,1.0,0.08,0.588938404317116,0.606072723225702,-0.0014864795545117548,-0.012433148277510742,0.007757870784079405,0.007757870784079405,0.072,0.0,0.0,0.5882352941176471,24.0,0.0,0.625,,0.03676470588235292,,0.04403406681618432,,True
core_q1up_s2tight_s4tight,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1up_s2tight_s4tight,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1up_s2tight_s4tight,anchor,S1,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1up_s2tight_s4tight,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a0.75::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,0.75,0.08,0.5554486997313678,0.5888325174670911,-0.004671705958340433,-0.03398280542834231,0.009201249105072414,-0.009201249105072414,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.24071153845075852,True
core_q1up_s2tight_s4tight,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1up_s2tight_s4tight,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
core_q1down_s2tight_s4mid,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_q1down_s2tight_s4mid,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4mid,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4mid,anchor,S1,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4mid,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a0.75::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,0.75,0.08,0.5554486997313678,0.5888325174670911,-0.004671705958340433,-0.03398280542834231,0.009201249105072414,-0.009201249105072414,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.24071153845075852,True
core_q1down_s2tight_s4mid,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_q1down_s2tight_s4mid,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.03,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.03,0.6250484477566309,0.5753557744080049,-0.0057505898479940365,-0.013298610232985286,0.005794070405200217,0.005794070405200217,0.104,0.0,0.0,0.5411764705882353,10.0,0.0,0.9,,0.35882352941176476,,0.11303818698037418,,True
core_plus_s1,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_plus_s1,anchor,Q2,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_plus_s1,anchor,Q3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_plus_s1,S1::residual_single_model_opt_ridge/ridge_residual_full::down_thr::a1::t0.08,S1,residual_single_model_opt_ridge/ridge_residual_full,down_thr,1.0,0.08,0.4888442898813237,0.4309734248447679,-0.0035078633325282826,-0.018571041172208258,0.0015445348168980114,-0.0015445348168980114,0.0,0.008,0.0,0.7411764705882353,0.0,1.0,,1.0,,0.7411764705882353,,1.578538499637705,True
