action_key,target,source,mode,alpha,threshold,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,risk_proxy,base_positive_rate,up_n,down_n,up_precision_actual_1,down_precision_actual_0,up_lift_vs_base,down_lift_vs_base0,up_logloss_gain_vs_anchor,down_logloss_gain_vs_anchor
Q1::constrained_target_blend_logit_newton/last::full::a1::t0.03,Q1,constrained_target_blend_logit_newton/last,full,1.0,0.03,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.272,0.248,0.0,0.5882352941176471,38,20,0.6578947368421053,0.6,0.06965944272445823,0.18823529411764706,0.034363129250298816,0.032380349922325795
Q1::constrained_target_blend_logit_newton/last::damped::a1::t0.03,Q1,constrained_target_blend_logit_newton/last,damped,1.0,0.03,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.272,0.248,0.0,0.5882352941176471,38,20,0.6578947368421053,0.6,0.06965944272445823,0.18823529411764706,0.034363129250298816,0.032380349922325795
Q1::constrained_target_blend_logit_newton/last::full::a1::t0.05,Q1,constrained_target_blend_logit_newton/last,full,1.0,0.05,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.172,0.132,0.0,0.5882352941176471,32,14,0.59375,0.6428571428571429,0.005514705882352922,0.23109243697478998,0.023469883894920655,0.05661753172477097
Q1::constrained_target_blend_logit_newton/last::damped::a1::t0.05,Q1,constrained_target_blend_logit_newton/last,damped,1.0,0.05,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.172,0.132,0.0,0.5882352941176471,32,14,0.59375,0.6428571428571429,0.005514705882352922,0.23109243697478998,0.023469883894920655,0.05661753172477097
Q1::constrained_target_blend_logit_newton/last::full::a1::t0.08,Q1,constrained_target_blend_logit_newton/last,full,1.0,0.08,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.072,0.048,0.0,0.5882352941176471,24,5,0.625,1.0,0.03676470588235292,0.5882352941176471,0.04403406681618432,0.2069777056822939
Q1::constrained_target_blend_logit_newton/last::damped::a1::t0.08,Q1,constrained_target_blend_logit_newton/last,damped,1.0,0.08,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.072,0.048,0.0,0.5882352941176471,24,5,0.625,1.0,0.03676470588235292,0.5882352941176471,0.04403406681618432,0.2069777056822939
Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::full::a1::t0.03,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,full,1.0,0.03,0.5979150589904836,0.5963948403265755,0.007490175118855857,-0.022111031176637264,0.04924730111609983,0.001449646002538211,0.3,0.316,0.0,0.5882352941176471,40,24,0.65,0.5416666666666666,0.061764705882352944,0.1299019607843137,0.03173052518204304,0.02504331770732524
Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::damped::a1::t0.03,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,damped,1.0,0.03,0.5979150589904836,0.5963948403265755,0.007490175118855857,-0.022111031176637264,0.04924730111609983,0.001449646002538211,0.3,0.316,0.0,0.5882352941176471,40,24,0.65,0.5416666666666666,0.061764705882352944,0.1299019607843137,0.03173052518204304,0.02504331770732524
Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::full::a1::t0.05,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,full,1.0,0.05,0.5979150589904836,0.5963948403265755,0.007490175118855857,-0.022111031176637264,0.04924730111609983,0.001449646002538211,0.196,0.188,0.0,0.5882352941176471,32,15,0.59375,0.6,0.005514705882352922,0.18823529411764706,0.017398354586033893,0.05489167518179242
Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::damped::a1::t0.05,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,damped,1.0,0.05,0.5979150589904836,0.5963948403265755,0.007490175118855857,-0.022111031176637264,0.04924730111609983,0.001449646002538211,0.196,0.188,0.0,0.5882352941176471,32,15,0.59375,0.6,0.005514705882352922,0.18823529411764706,0.017398354586033893,0.05489167518179242
