model,target,fold,features,fold_logloss
logreg_enet,Q1,0,140,0.6713396255566956
logreg_enet,Q1,1,140,0.7313464612673732
logreg_enet,Q1,2,140,0.7223048638353088
logreg_enet,Q1,3,140,0.8865470417073771
logreg_enet,Q1,4,140,0.6178274672429201
logreg_enet,Q2,0,140,0.9634769273367928
logreg_enet,Q2,1,140,0.7942328372341866
logreg_enet,Q2,2,140,1.0382653940488362
logreg_enet,Q2,3,140,0.9718707354573805
logreg_enet,Q2,4,140,0.7552014017849586
logreg_enet,Q3,0,140,0.8763764131476957
logreg_enet,Q3,1,140,0.8676301765831121
logreg_enet,Q3,2,140,1.0916590563169668
logreg_enet,Q3,3,140,0.8111857564451678
logreg_enet,Q3,4,140,0.8153449047780817
logreg_enet,S1,0,140,0.5296542267755188
logreg_enet,S1,1,140,0.5934303572955869
logreg_enet,S1,2,140,0.8320586373016972
logreg_enet,S1,3,140,0.7127027069112469
logreg_enet,S1,4,140,0.6914679554587521
logreg_enet,S2,0,140,0.685569430038162
logreg_enet,S2,1,140,0.5657867502998581
logreg_enet,S2,2,140,0.8017858068459975
logreg_enet,S2,3,140,0.6325042008141205
logreg_enet,S2,4,140,0.7303771723867052
logreg_enet,S3,0,140,0.5605694965538648
logreg_enet,S3,1,140,0.5896040826396901
logreg_enet,S3,2,140,0.8668419075364042
logreg_enet,S3,3,140,0.7573623019242186
logreg_enet,S3,4,140,0.8788243686552855
logreg_enet,S4,0,140,0.7764315501570656
logreg_enet,S4,1,140,0.7591349789867726
logreg_enet,S4,2,140,0.9366472281580598
logreg_enet,S4,3,140,0.9334618886299851
logreg_enet,S4,4,140,0.824602401536107
hist_gb,Q1,0,140,0.6385493787864003
hist_gb,Q1,1,140,0.6588287257328764
hist_gb,Q1,2,140,0.6445757790071311
hist_gb,Q1,3,140,0.6568684736526055
hist_gb,Q1,4,140,0.6520283356079187
hist_gb,Q2,0,140,0.7487747870280781
hist_gb,Q2,1,140,0.6595876545937999
hist_gb,Q2,2,140,0.7816863434392135
hist_gb,Q2,3,140,0.7238562388503825
hist_gb,Q2,4,140,0.6715941256092195
hist_gb,Q3,0,140,0.7053903706166615
hist_gb,Q3,1,140,0.7251507746446656
hist_gb,Q3,2,140,0.6849351648903069
hist_gb,Q3,3,140,0.6570660870115376
hist_gb,Q3,4,140,0.6760608076587685
hist_gb,S1,0,140,0.4854213831379438
hist_gb,S1,1,140,0.5247442852541044
hist_gb,S1,2,140,0.5596476264029617
hist_gb,S1,3,140,0.5719766836478614
hist_gb,S1,4,140,0.49712155862871427
hist_gb,S2,0,140,0.5720550505248861
hist_gb,S2,1,140,0.5456092387102506
hist_gb,S2,2,140,0.5987623216038369
hist_gb,S2,3,140,0.5794471377697987
hist_gb,S2,4,140,0.6625057547767672
hist_gb,S3,0,140,0.5239730373646324
hist_gb,S3,1,140,0.5568834160816787
hist_gb,S3,2,140,0.5904265085277669
hist_gb,S3,3,140,0.5518475870553612
hist_gb,S3,4,140,0.6724647507303988
hist_gb,S4,0,140,0.6620554177471957
hist_gb,S4,1,140,0.6366903736592203
hist_gb,S4,2,140,0.6787628417120871
hist_gb,S4,3,140,0.7034682368902679
hist_gb,S4,4,140,0.6247521965104764
extra_trees,Q1,0,140,0.5868628275342382
extra_trees,Q1,1,140,0.6557693028940503
extra_trees,Q1,2,140,0.6262338378794129
extra_trees,Q1,3,140,0.6287546790251143
extra_trees,Q1,4,140,0.6302857315946828
extra_trees,Q2,0,140,0.7188582037016087
extra_trees,Q2,1,140,0.6591303602987897
extra_trees,Q2,2,140,0.737588439197879
extra_trees,Q2,3,140,0.7340742462740107
extra_trees,Q2,4,140,0.6587312057385017
extra_trees,Q3,0,140,0.6754119885468634
extra_trees,Q3,1,140,0.669329195853936
extra_trees,Q3,2,140,0.6671488872045428
extra_trees,Q3,3,140,0.6617817894509102
extra_trees,Q3,4,140,0.6548986097005567
extra_trees,S1,0,140,0.5090248317053272
extra_trees,S1,1,140,0.5247153960239441
extra_trees,S1,2,140,0.5702507840299517
extra_trees,S1,3,140,0.5601653617436996
extra_trees,S1,4,140,0.5004882775188482
extra_trees,S2,0,140,0.5935173046419449
extra_trees,S2,1,140,0.5443365778333339
extra_trees,S2,2,140,0.5516202176454663
extra_trees,S2,3,140,0.5632427035722294
extra_trees,S2,4,140,0.6298859719692115
extra_trees,S3,0,140,0.5045703303656187
extra_trees,S3,1,140,0.5255119243730042
extra_trees,S3,2,140,0.5894538319290579
extra_trees,S3,3,140,0.5312197295090728
extra_trees,S3,4,140,0.6305800878406721
extra_trees,S4,0,140,0.6872300724954403
extra_trees,S4,1,140,0.617386830629537
extra_trees,S4,2,140,0.6542928174541484
extra_trees,S4,3,140,0.6644956658386917
extra_trees,S4,4,140,0.6294975511112891
feature_knn,Q1,0,140,0.5969606121779086
feature_knn,Q1,1,140,0.7248503539184492
feature_knn,Q1,2,140,0.6191984208439956
feature_knn,Q1,3,140,0.6211733074007317
feature_knn,Q1,4,140,0.6935373950101916
feature_knn,Q2,0,140,0.7953079582789077
feature_knn,Q2,1,140,0.6966032742939005
feature_knn,Q2,2,140,0.8216432969653386
feature_knn,Q2,3,140,0.8417404550312276
feature_knn,Q2,4,140,0.6650625318713337
feature_knn,Q3,0,140,0.7679079798018761
feature_knn,Q3,1,140,0.73525842406312
feature_knn,Q3,2,140,0.688643526924486
feature_knn,Q3,3,140,0.7607292370181399
feature_knn,Q3,4,140,0.6820452183614434
feature_knn,S1,0,140,0.6727471539926239
feature_knn,S1,1,140,0.7927201803112484
feature_knn,S1,2,140,0.5372961352208423
feature_knn,S1,3,140,1.2056365325023928
feature_knn,S1,4,140,0.4617963270141064
feature_knn,S2,0,140,0.9805246080181456
feature_knn,S2,1,140,0.5662187608933175
feature_knn,S2,2,140,0.5562365354332295
feature_knn,S2,3,140,0.6828346299420859
feature_knn,S2,4,140,0.6638473933531017
feature_knn,S3,0,140,0.5376188598470399
feature_knn,S3,1,140,0.5318884479866788
feature_knn,S3,2,140,0.6176229151031821
feature_knn,S3,3,140,0.5130973585636687
feature_knn,S3,4,140,0.7316745940045672
feature_knn,S4,0,140,0.8877966078579794
feature_knn,S4,1,140,0.659213234377673
feature_knn,S4,2,140,0.7123668229029327
feature_knn,S4,3,140,0.7798364905272496
feature_knn,S4,4,140,0.6478293259187372
