target,fold,sources,fold_logloss
Q1,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5478555004504521
Q1,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6435374565665746
Q1,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5941484347568867
Q1,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6083180710540925
Q1,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6422941888700985
Q2,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.739960109794246
Q2,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6975750288899055
Q2,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.7920128367690485
Q2,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.7132767911921638
Q2,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6646023973021412
Q3,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.682365224097241
Q3,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6660287353735992
Q3,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6890890585037984
Q3,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6399932138705928
Q3,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6367406224408814
S1,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.466095312433213
S1,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5099008219126469
S1,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5364694773919096
S1,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5349852189266332
S1,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.4699462797343588
S2,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5850222882608067
S2,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5322008749043136
S2,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5486572743155049
S2,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5658306663255374
S2,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6355167446696409
S3,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5026541744118299
S3,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5209520402805355
S3,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5683723503626114
S3,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5063097001265376
S3,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6368373679273518
S4,0,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6567615471636291
S4,1,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5991150631464218
S4,2,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6491816378304641
S4,3,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.6606991528091494
S4,4,"[""anchor"", ""logreg_enet"", ""hist_gb"", ""extra_trees"", ""feature_knn""]",0.5978769691294045
