target,recipe,src,weight,full,last
Q1,BASELINE_CURRENT,baseline,,0.5904248838716277,0.6185058715032128
Q1,CHOSEN_LASTBEST,mean_sm4,0.05,0.5912987193502751,0.6183188204498489
Q1,CHOSEN_GUARDED,baseline,,0.5904248838716277,0.6185058715032128
Q2,BASELINE_CURRENT,baseline,,0.6928798566239225,0.6380843693004014
Q2,CHOSEN_LASTBEST,last20_sm4,0.7,0.6928798566239225,0.6380843693004014
Q2,CHOSEN_GUARDED,baseline,,0.6928798566239225,0.6380843693004014
Q3,BASELINE_CURRENT,baseline,,0.6626805461282007,0.6346920082407534
Q3,CHOSEN_LASTBEST,last2_sm2,0.65,0.6624957255175925,0.6325841480120634
Q3,CHOSEN_GUARDED,last2_sm2,0.65,0.6624957255175925,0.6325841480120634
S1,BASELINE_CURRENT,baseline,,0.492352153213852,0.4495444660169762
S1,CHOSEN_LASTBEST,last2_sm2,0.1,0.4936874767828251,0.4483246322956428
S1,CHOSEN_GUARDED,last2_sm2,0.1,0.4936874767828251,0.4483246322956428
S2,BASELINE_CURRENT,baseline,,0.5601204056897082,0.6228153228954334
S2,CHOSEN_LASTBEST,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S2,CHOSEN_GUARDED,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S3,BASELINE_CURRENT,baseline,,0.5415513745216881,0.6006790249905736
S3,CHOSEN_LASTBEST,mean_sm16,1.0,0.5415513745216881,0.6006790249905736
S3,CHOSEN_GUARDED,baseline,,0.5415513745216881,0.6006790249905736
S4,BASELINE_CURRENT,baseline,,0.630799037604625,0.5886543846409902
S4,CHOSEN_LASTBEST,ridge0.5,0.45,0.6311513639544419,0.5881704416757544
S4,CHOSEN_GUARDED,ridge0.5,0.45,0.6311513639544419,0.5881704416757544
