candidate,full_logloss,last_logloss,notes,full_delta_vs_anchor,last_delta_vs_anchor
oof_sparse_greedy,0.5994909456234735,0.5824182856274583,existing sparse greedy,0.0036611945300984994,-0.01086392117087609
rankpatch_sparse_greedy_k8_f0p1_d0p35,0.5993343689410445,0.5828904220824139,Q rank patch over sparse_greedy,0.0035046178476695333,-0.010391784715920505
rankpatch_best_single_k3_f0p1_d0p35,0.5970986609316657,0.5902317148492113,Q rank patch over best_single,0.0012689098382907549,-0.003050491949123102
oof_sparse_best_single,0.5975156362449224,0.5903259014092715,existing best single guarded,0.0016858851515474393,-0.0029563053890628854
knn_targetwise_guarded,0.5963441662062456,0.5927184475463416,target-wise guarded blend of KNN priors,0.0005144151128706476,-0.0005637592519928125
rankpatch_anchor_k3_f0p1_d0p35,0.5953596076004287,0.5930977979541033,Q rank patch over anchor,-0.00047014349294627333,-0.0001844088442310987
anchor,0.595829751093375,0.5932822067983344,existing anchor,0.0,0.0
meta_extratrees,0.5935421649974318,0.6050169459736384,extratrees meta model over bank columns,-0.0022875860959431504,0.011734739175303988
meta_logreg_c0p3,0.6021698679853283,0.6051171661399499,logistic meta stacker C=0.3,0.006340116891953351,0.011834959341615492
meta_logreg_c0p1,0.6021740751229036,0.6056713917652876,logistic meta stacker C=0.1,0.0063443240295285586,0.012389184966953182
meta_logreg_c0p03,0.6026019427667121,0.6070228062799307,logistic meta stacker C=0.03,0.006772191673337091,0.013740599481596227
meta_rf,0.6045220623972817,0.6147601224371319,rf meta model over bank columns,0.008692311303906686,0.021477915638797418
