candidate,target,fold,sources,fold_logloss
meta_logreg_c0p03,Q1,0,"[""anchor"", ""anchor_temp_1p08"", ""model_lgbm_anchor"", ""anchor_temp_1p15"", ""anchor_temp_0p92"", ""anchor_temp_0p85"", ""seq_Q1_1_0p15"", ""seq_Q1_1_0p3"", ""seq_Q1_1_0p45"", ""seq_Q1_1p25_0p15"", ""seq_Q1_0p8_0p15"", ""seq_Q1_0p8_0p3"", ""seq_Q1_0p8_0p45"", ""seq_Q1_1_0p6"", ""seq_Q1_1p25_0p3"", ""seq_Q1_0p8_0p6"", ""seq_Q1_0p8_0p8"", ""seq_Q1_1p25_0p45""]",0.5467308288683526
meta_logreg_c0p03,Q1,1,"[""anchor"", ""anchor_temp_1p08"", ""model_lgbm_anchor"", ""anchor_temp_1p15"", ""anchor_temp_0p92"", ""anchor_temp_0p85"", ""seq_Q1_1_0p15"", ""seq_Q1_1_0p3"", ""seq_Q1_1p25_0p15"", ""seq_Q1_0p8_0p15"", ""seq_Q1_1_0p45"", ""seq_Q1_0p8_0p3"", ""seq_Q1_1p25_0p3"", ""seq_Q1_0p8_0p45"", ""seq_Q1_1_0p6"", ""seq_Q1_0p8_0p6"", ""seq_Q1_1p25_0p45"", ""seq_Q1_0p65_0p15""]",0.6401101627475426
meta_logreg_c0p03,Q1,2,"[""anchor"", ""anchor_temp_1p08"", ""model_lgbm_anchor"", ""anchor_temp_1p15"", ""anchor_temp_0p92"", ""anchor_temp_0p85"", ""seq_Q1_1_0p15"", ""seq_Q1_1_0p3"", ""seq_Q1_1p25_0p15"", ""seq_Q1_0p8_0p15"", ""seq_Q1_1_0p45"", ""seq_Q1_0p8_0p3"", ""seq_Q1_0p8_0p45"", ""seq_Q1_1p25_0p3"", ""seq_Q1_1_0p6"", ""seq_Q1_0p8_0p6"", ""seq_Q1_1p25_0p45"", ""seq_Q1_0p65_0p15""]",0.5879193296534099
meta_logreg_c0p03,Q1,3,"[""anchor"", ""model_lgbm_anchor"", ""anchor_temp_0p92"", ""anchor_temp_1p08"", ""anchor_temp_0p85"", ""anchor_temp_1p15"", ""seq_Q1_1_0p15"", ""seq_Q1_0p8_0p15"", ""seq_Q1_1_0p3"", ""seq_Q1_0p8_0p3"", ""seq_Q1_0p8_0p45"", ""seq_Q1_1_0p45"", ""seq_Q1_0p8_0p6"", ""seq_Q1_1_0p6"", ""seq_Q1_1p25_0p15"", ""seq_Q1_0p65_0p3"", ""seq_Q1_0p65_0p15"", ""seq_Q1_0p8_0p8""]",0.5762763512728435
meta_logreg_c0p03,Q1,4,"[""anchor"", ""model_lgbm_anchor"", ""anchor_temp_1p08"", ""anchor_temp_0p92"", ""anchor_temp_1p15"", ""anchor_temp_0p85"", ""seq_Q1_1_0p15"", ""seq_Q1_1_0p3"", ""seq_Q1_1_0p45"", ""seq_Q1_0p8_0p15"", ""seq_Q1_0p8_0p3"", ""seq_Q1_1p25_0p15"", ""seq_Q1_0p8_0p45"", ""seq_Q1_1_0p6"", ""seq_Q1_0p8_0p6"", ""seq_Q1_1p25_0p3"", ""seq_Q1_0p8_0p8"", ""seq_Q1_1_0p8""]",0.6387478551764347
meta_logreg_c0p03,Q2,0,"[""anchor"", ""model_lgbm_anchor"", ""anchor_temp_0p85"", ""mean_sm64"", ""mean_sm32"", ""anchor_temp_0p92"", ""mean_sm16"", ""anchor_temp_1p08"", ""anchor_temp_1p15"", ""mean_sm8"", ""ridge30"", ""ridge10"", ""ridge3"", ""mean_sm4"", ""ridge1"", ""ridge0.5"", ""last2_sm4"", ""last20_sm4""]",0.6948325778109984
meta_logreg_c0p03,Q2,1,"[""anchor"", ""model_lgbm_anchor"", ""mean_sm64"", ""mean_sm32"", ""anchor_temp_0p85"", ""anchor_temp_0p92"", ""mean_sm16"", ""anchor_temp_1p08"", ""ridge10"", ""anchor_temp_1p15"", ""ridge3"", ""mean_sm8"", ""ridge30"", ""ridge1"", ""ridge0.5"", ""last2_sm4"", ""mean_sm4"", ""last20_sm4""]",0.6999978252582726
meta_logreg_c0p03,Q2,2,"[""anchor"", ""anchor_temp_0p85"", ""anchor_temp_0p92"", ""anchor_temp_1p08"", ""anchor_temp_1p15"", ""ridge3"", ""ridge10"", ""ridge1"", ""model_lgbm_anchor"", ""ridge0.5"", ""last20_sm4"", ""ridge30"", ""last30_sm4"", ""mean_sm16"", ""mean_sm32"", ""mean_sm8"", ""mean_sm64"", ""mean_sm4""]",0.7698675399617307
meta_logreg_c0p03,Q2,3,"[""anchor"", ""model_lgbm_anchor"", ""last2_sm4"", ""anchor_temp_0p85"", ""mean_sm64"", ""anchor_temp_0p92"", ""mean_sm32"", ""anchor_temp_1p08"", ""anchor_temp_1p15"", ""mean_sm16"", ""last3_sm4"", ""ridge3"", ""ridge1"", ""ridge0.5"", ""ridge10"", ""last2_sm2"", ""ridge30"", ""mean_sm8""]",0.765401559030333
meta_logreg_c0p03,Q2,4,"[""anchor"", ""model_lgbm_anchor"", ""mean_sm64"", ""mean_sm32"", ""anchor_temp_0p85"", ""mean_sm16"", ""anchor_temp_0p92"", ""ridge10"", ""ridge3"", ""mean_sm8"", ""ridge1"", ""ridge0.5"", ""ridge30"", ""mean_sm4"", ""anchor_temp_1p08"", ""anchor_temp_1p15"", ""last2_sm4"", ""last5_sm4""]",0.6557798121310512
