split,target,fold,subject_id,rows,drift,before_mean,after_mean
oof,Q1,0,id01,9,0.375,0.38812273618277726,0.3943662812046689
oof,Q1,0,id02,10,-0.07894736842105265,0.4647918364292587,0.46428155736204574
oof,Q1,0,id03,7,-0.009615384615384581,0.8131467496638531,0.8131467496638531
oof,Q1,0,id04,12,0.3861111111111111,0.6110989039050624,0.614252921594127
oof,Q1,0,id05,9,-0.18571428571428572,0.7594300556964532,0.753690186821006
oof,Q1,0,id06,10,-0.18421052631578946,0.30856119325719356,0.3070280768634693
oof,Q1,0,id07,10,-0.11217948717948717,0.4231188600317646,0.42190122937007607
oof,Q1,0,id08,12,-0.05681818181818182,0.3669871002688796,0.36563137205160895
oof,Q1,0,id09,9,0.34375,0.38896768738382836,0.3977570518077927
oof,Q1,0,id10,7,0.20192307692307693,0.5007194466009841,0.507552303320476
oof,Q1,1,id01,8,0.02777777777777779,0.5384931070855641,0.5384931070855641
oof,Q1,1,id02,10,0.09999999999999998,0.5967320905580747,0.5989052642927889
oof,Q1,1,id03,7,0.0,0.6039361347811463,0.6039361347811463
oof,Q1,1,id04,11,0.04166666666666663,0.5664943570866403,0.5664943570866403
oof,Q1,1,id05,9,0.041666666666666685,0.602721395882925,0.602721395882925
oof,Q1,1,id06,10,0.0,0.3421052596537636,0.3421052596537636
oof,Q1,1,id07,10,0.15000000000000002,0.5429138311229478,0.5453250127395132
oof,Q1,1,id08,11,0.041666666666666685,0.43568284548160396,0.43568284548160396
oof,Q1,1,id09,8,0.05555555555555558,0.41116197224183976,0.4123286998493434
oof,Q1,1,id10,7,0.0,0.3765408662626735,0.3765408662626735
oof,Q1,2,id01,8,0.21323529411764708,0.2731288732263424,0.28085978560444547
oof,Q1,2,id02,9,0.04999999999999999,0.4846848028679077,0.4846848028679077
oof,Q1,2,id03,6,0.0357142857142857,0.8253749605561058,0.8253749605561058
oof,Q1,2,id04,12,-0.3586956521739131,0.5300147974512049,0.5194091483610302
oof,Q1,2,id05,9,0.25,0.518591233254995,0.5237702347136646
oof,Q1,2,id06,9,0.075,0.2614606508410236,0.2638832497896106
oof,Q1,2,id07,10,0.15000000000000002,0.6049432834417064,0.6069039608789201
oof,Q1,2,id08,11,0.1467391304347826,0.27331028280008335,0.2810496686199164
oof,Q1,2,id09,8,0.02941176470588236,0.5135307837168388,0.5135307837168388
oof,Q1,2,id10,6,-0.1428571428571429,0.5143083995982666,0.5089176615095906
oof,Q1,3,id01,8,-0.025000000000000022,0.5960919496717141,0.5960919496717141
oof,Q1,3,id02,10,0.23275862068965514,0.567250695192935,0.569480395598958
oof,Q1,3,id03,7,0.19999999999999996,0.8037218581008274,0.8070301749428788
oof,Q1,3,id04,11,-0.20714285714285713,0.5747027961762879,0.5654864765818522
oof,Q1,3,id05,9,0.24537037037037035,0.6409251132707702,0.6465837282178435
oof,Q1,3,id06,10,0.23706896551724138,0.2774233306418789,0.2842080160788717
oof,Q1,3,id07,10,-0.19166666666666665,0.5178437707543291,0.5138059914276313
oof,Q1,3,id08,11,-0.06617647058823528,0.41112516752077366,0.4084286125260345
oof,Q1,3,id09,8,0.020000000000000018,0.5663546405849964,0.5663546405849964
oof,Q1,3,id10,7,-0.25,0.44861541818065076,0.44155869228243955
