model,target,fold,logloss,last_overlap_rows,features
lgbm,Q1,0,0.4900150712551198,0,268
lgbm,Q1,1,0.595375912326821,0,268
lgbm,Q1,2,0.6046121233354994,4,268
lgbm,Q1,3,0.672389003143125,41,268
lgbm,Q1,4,0.6601903922171761,40,268
lgbm,Q2,0,0.675916840553677,0,275
lgbm,Q2,1,0.6741250097270867,0,277
lgbm,Q2,2,0.6924514321564383,4,277
lgbm,Q2,3,0.6465735467742908,41,277
lgbm,Q2,4,0.670386373520783,40,274
lgbm,Q3,0,0.6908289326705256,0,272
lgbm,Q3,1,0.6338912339253876,0,276
lgbm,Q3,2,0.6112443043130588,4,272
lgbm,Q3,3,0.6631696377745528,41,272
lgbm,Q3,4,0.6663901817336444,40,270
lgbm,S1,0,0.531342868930663,0,267
lgbm,S1,1,0.48262852718575006,0,267
lgbm,S1,2,0.5346024963974768,4,267
lgbm,S1,3,0.4475217029280106,41,267
lgbm,S1,4,0.5354456970194574,40,267
lgbm,S2,0,0.6074796949421821,0,268
lgbm,S2,1,0.5341554004101947,0,268
lgbm,S2,2,0.5704886689565399,4,268
lgbm,S2,3,0.5653823756771791,41,268
lgbm,S2,4,0.576734402836748,40,268
lgbm,S3,0,0.5962125990501004,0,266
lgbm,S3,1,0.48406007860513117,0,267
lgbm,S3,2,0.534492391146596,4,265
lgbm,S3,3,0.5714881832471195,41,265
lgbm,S3,4,0.5878302994560834,40,267
lgbm,S4,0,0.6674891253265317,0,269
lgbm,S4,1,0.6595768961995807,0,270
lgbm,S4,2,0.628295624438404,4,270
lgbm,S4,3,0.556202532853805,41,269
lgbm,S4,4,0.6629052823149737,40,269
xgb,Q1,0,0.5083761432258919,0,268
xgb,Q1,1,0.5858492273556997,0,268
xgb,Q1,2,0.5996220295320547,4,268
xgb,Q1,3,0.6696534221141632,41,268
xgb,Q1,4,0.6615786556499627,40,268
xgb,Q2,0,0.6768008307640946,0,275
xgb,Q2,1,0.6876681756237685,0,277
xgb,Q2,2,0.6933582361342604,4,277
xgb,Q2,3,0.65102784193526,41,277
xgb,Q2,4,0.6703968821366463,40,274
xgb,Q3,0,0.6787786513952695,0,272
xgb,Q3,1,0.6261497143166161,0,276
xgb,Q3,2,0.6122717421600785,4,272
xgb,Q3,3,0.6674263360330495,41,272
xgb,Q3,4,0.6684770432012616,40,270
xgb,S1,0,0.5255672795869417,0,267
xgb,S1,1,0.4719637357619663,0,267
xgb,S1,2,0.5226974132917729,4,267
xgb,S1,3,0.44428746454604956,41,267
xgb,S1,4,0.5386384253879081,40,267
xgb,S2,0,0.6079780849099361,0,268
xgb,S2,1,0.5323474355317742,0,268
xgb,S2,2,0.5704182487096654,4,268
xgb,S2,3,0.5739050649705953,41,268
xgb,S2,4,0.5736701261843733,40,268
xgb,S3,0,0.5958621911700198,0,266
xgb,S3,1,0.4899556362853366,0,267
xgb,S3,2,0.5362377593424759,4,265
xgb,S3,3,0.5685113564332945,41,265
xgb,S3,4,0.5878443526624619,40,267
xgb,S4,0,0.6727562941839236,0,269
xgb,S4,1,0.6597373201554222,0,270
xgb,S4,2,0.6237283662333117,4,270
xgb,S4,3,0.5672346112052368,41,269
xgb,S4,4,0.6538840713283435,40,269
cat,Q1,0,0.495674105343871,0,268
cat,Q1,1,0.5767904383006509,0,268
cat,Q1,2,0.5887987284908784,4,268
cat,Q1,3,0.6634954646857683,41,268
cat,Q1,4,0.6371739891827953,40,268
cat,Q2,0,0.6741980544633872,0,275
cat,Q2,1,0.6585972131088146,0,277
cat,Q2,2,0.6881571583997925,4,277
cat,Q2,3,0.6443061220323107,41,277
cat,Q2,4,0.6836336590208072,40,274
cat,Q3,0,0.6729159524472507,0,272
cat,Q3,1,0.6331836805734887,0,276
cat,Q3,2,0.6190666903548825,4,272
cat,Q3,3,0.6787086139483313,41,272
cat,Q3,4,0.675081101797748,40,270
cat,S1,0,0.5119548539710249,0,267
cat,S1,1,0.4777101914909217,0,267
cat,S1,2,0.5197033904148068,4,267
cat,S1,3,0.4461617420912001,41,267
cat,S1,4,0.5259581196238398,40,267
cat,S2,0,0.6061668568353452,0,268
cat,S2,1,0.525709224225754,0,268
cat,S2,2,0.5730181863653335,4,268
cat,S2,3,0.5828203587499428,41,268
cat,S2,4,0.5595269585692367,40,268
cat,S3,0,0.5841266786182238,0,266
cat,S3,1,0.4685891760692924,0,267
cat,S3,2,0.5345112198790569,4,265
cat,S3,3,0.5743147185283657,41,265
cat,S3,4,0.5875794665305646,40,267
cat,S4,0,0.6619066219909044,0,269
cat,S4,1,0.6757356097950226,0,270
cat,S4,2,0.6286772746440473,4,270
cat,S4,3,0.5799442066622443,41,269
cat,S4,4,0.652370663408277,40,269
