model,target,fold,logloss,last_overlap_rows,features,seed_count
lgbm,Q1,0,0.49186328777397387,0,268,5
lgbm,Q1,1,0.5932038233991864,0,268,5
lgbm,Q1,2,0.6027184956348327,4,268,5
lgbm,Q1,3,0.673004830641461,41,268,5
lgbm,Q1,4,0.6612555288608103,40,268,5
lgbm,Q2,0,0.675544691458892,0,275,5
lgbm,Q2,1,0.6747958054125288,0,277,5
lgbm,Q2,2,0.6923501727201148,4,277,5
lgbm,Q2,3,0.6459038001770016,41,277,5
lgbm,Q2,4,0.6706810044802547,40,274,5
lgbm,Q3,0,0.6884209130669571,0,272,5
lgbm,Q3,1,0.631837224619273,0,276,5
lgbm,Q3,2,0.6104849940597652,4,272,5
lgbm,Q3,3,0.6648091085171789,41,272,5
lgbm,Q3,4,0.6648790719051687,40,270,5
lgbm,S1,0,0.5320523222781606,0,267,5
lgbm,S1,1,0.4812570332238995,0,267,5
lgbm,S1,2,0.5335628809366045,4,267,5
lgbm,S1,3,0.44841128487232107,41,267,5
lgbm,S1,4,0.5385490154846871,40,267,5
lgbm,S2,0,0.6073483519068463,0,268,5
lgbm,S2,1,0.5330100404214099,0,268,5
lgbm,S2,2,0.5713007677149209,4,268,5
lgbm,S2,3,0.5677817581325617,41,268,5
lgbm,S2,4,0.5766097216478375,40,268,5
lgbm,S3,0,0.5943899133507532,0,266,5
lgbm,S3,1,0.4824320795272653,0,267,5
lgbm,S3,2,0.5345963445072388,4,265,5
lgbm,S3,3,0.5700291970834426,41,265,5
lgbm,S3,4,0.5884028953239502,40,267,5
lgbm,S4,0,0.6685635104727701,0,269,5
lgbm,S4,1,0.6598350973023187,0,270,5
lgbm,S4,2,0.6260604242667214,4,270,5
lgbm,S4,3,0.5567025782514314,41,269,5
lgbm,S4,4,0.661945902704959,40,269,5
xgb,Q1,0,0.5088026144762995,0,268,5
xgb,Q1,1,0.5852061985033845,0,268,5
xgb,Q1,2,0.6006534250282957,4,268,5
xgb,Q1,3,0.6701353473375178,41,268,5
xgb,Q1,4,0.661956594700557,40,268,5
xgb,Q2,0,0.6770880877734509,0,275,5
xgb,Q2,1,0.6879416055797491,0,277,5
xgb,Q2,2,0.6926838671560701,4,277,5
xgb,Q2,3,0.6510338079202753,41,277,5
xgb,Q2,4,0.6704474321178129,40,274,5
xgb,Q3,0,0.6800997697163186,0,272,5
xgb,Q3,1,0.626780786959971,0,276,5
xgb,Q3,2,0.612548356151637,4,272,5
xgb,Q3,3,0.6661028508253029,41,272,5
xgb,Q3,4,0.66819807380251,40,270,5
xgb,S1,0,0.5288858040632349,0,267,5
xgb,S1,1,0.47310915579092533,0,267,5
xgb,S1,2,0.523630464554417,4,267,5
xgb,S1,3,0.44442104592737985,41,267,5
xgb,S1,4,0.5378135001395613,40,267,5
xgb,S2,0,0.6074046077446005,0,268,5
xgb,S2,1,0.5316928346904799,0,268,5
xgb,S2,2,0.5696509223396526,4,268,5
xgb,S2,3,0.5718632887519087,41,268,5
xgb,S2,4,0.5735647815961497,40,268,5
xgb,S3,0,0.5949581501488911,0,266,5
xgb,S3,1,0.49186248413900757,0,267,5
xgb,S3,2,0.537313584478775,4,265,5
xgb,S3,3,0.569974249570654,41,265,5
xgb,S3,4,0.5867536187180141,40,267,5
xgb,S4,0,0.6732260752653069,0,269,5
xgb,S4,1,0.6594410743833038,0,270,5
xgb,S4,2,0.6249213760887303,4,270,5
xgb,S4,3,0.56594052070321,41,269,5
xgb,S4,4,0.6516299833746414,40,269,5
cat,Q1,0,0.49254205771221476,0,268,5
cat,Q1,1,0.5753590536304999,0,268,5
cat,Q1,2,0.5882942116434489,4,268,5
cat,Q1,3,0.6628131756374356,41,268,5
cat,Q1,4,0.6362334942215025,40,268,5
cat,Q2,0,0.6718878623945606,0,275,5
cat,Q2,1,0.6572067900947591,0,277,5
cat,Q2,2,0.6873706808900822,4,277,5
cat,Q2,3,0.6457373044453648,41,277,5
cat,Q2,4,0.6840281209533274,40,274,5
cat,Q3,0,0.6744662939237809,0,272,5
cat,Q3,1,0.6314539307523267,0,276,5
cat,Q3,2,0.6205468889898929,4,272,5
cat,Q3,3,0.6802181149551021,41,272,5
cat,Q3,4,0.6743324000417313,40,270,5
cat,S1,0,0.5114160368829644,0,267,5
cat,S1,1,0.47832785229433167,0,267,5
cat,S1,2,0.5198274159988083,4,267,5
cat,S1,3,0.4459715349941982,41,267,5
cat,S1,4,0.5289082667675475,40,267,5
cat,S2,0,0.6054571878782224,0,268,5
cat,S2,1,0.525672920295342,0,268,5
cat,S2,2,0.5711709620563209,4,268,5
cat,S2,3,0.5819753184012232,41,268,5
cat,S2,4,0.5600296955690988,40,268,5
cat,S3,0,0.5829458523900198,0,266,5
cat,S3,1,0.4685599960384402,0,267,5
cat,S3,2,0.5362485227482132,4,265,5
cat,S3,3,0.5729737024363721,41,265,5
cat,S3,4,0.588398434066127,40,267,5
cat,S4,0,0.6635852587540887,0,269,5
cat,S4,1,0.6755754914138178,0,270,5
cat,S4,2,0.6310835060111314,4,270,5
cat,S4,3,0.5779952148093829,41,269,5
cat,S4,4,0.6553243271282111,40,269,5
