model,target,fold,logloss,last_overlap_rows,features
lgbm,Q1,0,0.49243988052112614,0,268
lgbm,Q1,1,0.5970249957531696,0,268
lgbm,Q1,2,0.6031903798559035,4,268
lgbm,Q1,3,0.6740317123093911,41,268
lgbm,Q1,4,0.6644336664572983,40,268
lgbm,Q2,0,0.6802564387964798,0,275
lgbm,Q2,1,0.6792163098032787,0,277
lgbm,Q2,2,0.6932761461974466,4,277
lgbm,Q2,3,0.642784091486841,41,277
lgbm,Q2,4,0.6714588967017825,40,274
lgbm,Q3,0,0.6897099315079289,0,272
lgbm,Q3,1,0.6313824219280667,0,276
lgbm,Q3,2,0.6107883944552206,4,272
lgbm,Q3,3,0.6661700411005675,41,272
lgbm,Q3,4,0.6630975101576042,40,270
lgbm,S1,0,0.534009529827122,0,267
lgbm,S1,1,0.4788776983873721,0,267
lgbm,S1,2,0.5342409783866022,4,267
lgbm,S1,3,0.4460286527602493,41,267
lgbm,S1,4,0.5348015051343422,40,267
lgbm,S2,0,0.6036198291129568,0,268
lgbm,S2,1,0.5381491962635324,0,268
lgbm,S2,2,0.5634232346646045,4,268
lgbm,S2,3,0.5663388805709133,41,268
lgbm,S2,4,0.5748560206226534,40,268
lgbm,S3,0,0.5963239454938981,0,266
lgbm,S3,1,0.48795127610737354,0,267
lgbm,S3,2,0.5452709674621385,4,265
lgbm,S3,3,0.5704406071084961,41,265
lgbm,S3,4,0.5887116571753914,40,267
lgbm,S4,0,0.6705727892998502,0,269
lgbm,S4,1,0.6564786964532414,0,270
lgbm,S4,2,0.6292866671293509,4,270
lgbm,S4,3,0.554403038151621,41,269
lgbm,S4,4,0.6595649192232316,40,269
xgb,Q1,0,0.508912121146186,0,268
xgb,Q1,1,0.5921510302732682,0,268
xgb,Q1,2,0.6028567016789618,4,268
xgb,Q1,3,0.6703793103577756,41,268
xgb,Q1,4,0.664531266050118,40,268
xgb,Q2,0,0.67798567835246,0,275
xgb,Q2,1,0.6870822175467609,0,277
xgb,Q2,2,0.6919276599588825,4,277
xgb,Q2,3,0.6521929563878199,41,277
xgb,Q2,4,0.6702680667875723,40,274
xgb,Q3,0,0.6751253929305684,0,272
xgb,Q3,1,0.6276731446178574,0,276
xgb,Q3,2,0.6160546347992889,4,272
xgb,Q3,3,0.667766550452578,41,272
xgb,Q3,4,0.6663959716879372,40,270
xgb,S1,0,0.526876790127096,0,267
xgb,S1,1,0.46966383388063393,0,267
xgb,S1,2,0.5240324677198531,4,267
xgb,S1,3,0.4497705563871915,41,267
xgb,S1,4,0.5413955551009486,40,267
xgb,S2,0,0.6057337534750841,0,268
xgb,S2,1,0.5393661306276283,0,268
xgb,S2,2,0.5711660750544169,4,268
xgb,S2,3,0.5690723195368439,41,268
xgb,S2,4,0.5745302273720311,40,268
xgb,S3,0,0.593398536619534,0,266
xgb,S3,1,0.4899405796809882,0,267
xgb,S3,2,0.535583212398862,4,265
xgb,S3,3,0.5700825601226339,41,265
xgb,S3,4,0.5947296277342135,40,267
xgb,S4,0,0.6755055719109042,0,269
xgb,S4,1,0.6598422242757771,0,270
xgb,S4,2,0.6282309833033617,4,270
xgb,S4,3,0.5789709453043509,41,269
xgb,S4,4,0.6544190322434904,40,269
cat,Q1,0,0.4941486170625652,0,268
cat,Q1,1,0.5778726520561759,0,268
cat,Q1,2,0.5894044499534064,4,268
cat,Q1,3,0.6650346801270759,41,268
cat,Q1,4,0.6316237218545876,40,268
cat,Q2,0,0.6778522691037007,0,275
cat,Q2,1,0.6640288339529107,0,277
cat,Q2,2,0.6918926495033161,4,277
cat,Q2,3,0.6426121518775008,41,277
cat,Q2,4,0.6793034379482558,40,274
cat,Q3,0,0.6756597918484956,0,272
cat,Q3,1,0.6430100236952052,0,276
cat,Q3,2,0.6153980290038703,4,272
cat,Q3,3,0.6827087365280858,41,272
cat,Q3,4,0.6733845296441638,40,270
cat,S1,0,0.5155210814052489,0,267
cat,S1,1,0.48172852534159655,0,267
cat,S1,2,0.5203021286195839,4,267
cat,S1,3,0.45239077136093603,41,267
cat,S1,4,0.5295501942557255,40,267
cat,S2,0,0.602372222587835,0,268
cat,S2,1,0.5275963884413423,0,268
cat,S2,2,0.5716305206087556,4,268
cat,S2,3,0.586384068283435,41,268
cat,S2,4,0.555489704292615,40,268
cat,S3,0,0.5881798512444232,0,266
cat,S3,1,0.47171915155470584,0,267
cat,S3,2,0.5368723664659155,4,265
cat,S3,3,0.5757426531869537,41,265
cat,S3,4,0.5887985966571755,40,267
cat,S4,0,0.6631515919227274,0,269
cat,S4,1,0.6743580624315806,0,270
cat,S4,2,0.6259195265610692,4,270
cat,S4,3,0.5857064866846118,41,269
cat,S4,4,0.6499055017059205,40,269
