candidate,split,target,fold,subject_id,balance_rate,n_train,n_calibrate,train_pos_rate,target_group_mean,before_group_mean,after_group_mean
qbal0p5_anchor,oof,Q1,0,id01,0.5,32,9,0.46875,0.6111111111111112,0.3957238161887299,0.6111111111111112
qbal0p5_anchor,oof,Q1,0,id02,0.5,38,10,0.5789473684210527,0.2,0.41695458888056525,0.1999999999999999
qbal0p5_anchor,oof,Q1,0,id03,0.5,26,7,0.8461538461538461,0.02,0.7544341495247521,0.019999999999999993
qbal0p5_anchor,oof,Q1,0,id04,0.5,45,12,0.5777777777777777,0.20833333333333334,0.4552095277722887,0.20833333333333337
qbal0p5_anchor,oof,Q1,0,id05,0.5,35,9,0.6285714285714286,0.02,0.65435193997124,0.020000000000000007
qbal0p5_anchor,oof,Q1,0,id06,0.5,38,10,0.15789473684210525,0.98,0.32473791491118026,0.9799999999999999
qbal0p5_anchor,oof,Q1,0,id07,0.5,39,10,0.5384615384615384,0.35,0.4500015682033017,0.35
qbal0p5_anchor,oof,Q1,0,id08,0.5,44,12,0.4772727272727273,0.5833333333333334,0.29554613120710366,0.5833333333333331
qbal0p5_anchor,oof,Q1,0,id09,0.5,32,9,0.46875,0.6111111111111112,0.5117227410281686,0.611111111111111
qbal0p5_anchor,oof,Q1,0,id10,0.5,26,7,0.5,0.5,0.42865886552757176,0.49999999999999994
qbal0p5_anchor,oof,Q1,1,id01,0.5,33,8,0.5151515151515151,0.4375,0.4928559042820408,0.4375
qbal0p5_anchor,oof,Q1,1,id02,0.5,38,10,0.5263157894736842,0.4,0.5264163546105303,0.4
qbal0p5_anchor,oof,Q1,1,id03,0.5,26,7,0.8461538461538461,0.02,0.8586788464131441,0.019999999999999987
qbal0p5_anchor,oof,Q1,1,id04,0.5,45,12,0.5111111111111111,0.4583333333333333,0.745999287756642,0.4583333333333333
qbal0p5_anchor,oof,Q1,1,id05,0.5,35,9,0.6285714285714286,0.02,0.74419106099293,0.020000000000000018
qbal0p5_anchor,oof,Q1,1,id06,0.5,38,10,0.13157894736842105,0.98,0.24822641677657958,0.9799999999999999
qbal0p5_anchor,oof,Q1,1,id07,0.5,39,10,0.48717948717948717,0.55,0.5212927024551233,0.5499999999999999
qbal0p5_anchor,oof,Q1,1,id08,0.5,45,11,0.4444444444444444,0.7272727272727273,0.3862838750553358,0.7272727272727273
qbal0p5_anchor,oof,Q1,1,id09,0.5,33,8,0.5757575757575758,0.1875,0.4754120093438782,0.18749999999999994
qbal0p5_anchor,oof,Q1,1,id10,0.5,26,7,0.46153846153846156,0.6428571428571429,0.4424603865816411,0.6428571428571427
qbal0p5_anchor,oof,Q1,2,id01,0.5,33,8,0.45454545454545453,0.6875,0.5001020689517517,0.6874999999999999
qbal0p5_anchor,oof,Q1,2,id02,0.5,38,10,0.5,0.5,0.6833579206144365,0.4999999999999999
qbal0p5_anchor,oof,Q1,2,id03,0.5,26,7,0.8846153846153846,0.02,0.683409538576198,0.02
qbal0p5_anchor,oof,Q1,2,id04,0.5,46,11,0.5217391304347826,0.4090909090909091,0.5538066116234973,0.40909090909090895
qbal0p5_anchor,oof,Q1,2,id05,0.5,35,9,0.6285714285714286,0.02,0.605823603551277,0.019999999999999983
qbal0p5_anchor,oof,Q1,2,id06,0.5,38,10,0.15789473684210525,0.98,0.3046046825080949,0.9799999999999999
qbal0p5_anchor,oof,Q1,2,id07,0.5,39,10,0.5384615384615384,0.35,0.48312740962872536,0.3499999999999999
qbal0p5_anchor,oof,Q1,2,id08,0.5,45,11,0.35555555555555557,0.98,0.5133650409348812,0.9800000000000001
qbal0p5_anchor,oof,Q1,2,id09,0.5,33,8,0.6060606060606061,0.0625,0.4499757782686813,0.062499999999999986
qbal0p5_anchor,oof,Q1,2,id10,0.5,26,7,0.5,0.5,0.5211290511997115,0.49999999999999994
qbal0p5_anchor,oof,Q1,3,id01,0.5,33,8,0.36363636363636365,0.98,0.5249077993156974,0.98
qbal0p5_anchor,oof,Q1,3,id02,0.5,39,9,0.5641025641025641,0.2222222222222222,0.5533165021415875,0.2222222222222222
qbal0p5_anchor,oof,Q1,3,id03,0.5,27,6,0.8148148148148148,0.02,0.651564031717443,0.020000000000000014
qbal0p5_anchor,oof,Q1,3,id04,0.5,46,11,0.6086956521739131,0.045454545454545456,0.6040318813629246,0.04545454545454542
qbal0p5_anchor,oof,Q1,3,id05,0.5,35,9,0.6,0.1111111111111111,0.5139463233327525,0.1111111111111111
