source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
anchor,Q1,0.5904248838716277,0.6185058715032128,0.0,0.0
model_lgbm_anchor,Q1,0.5904248838716277,0.6185058715032128,0.0,0.0
anchor_temp_1p08,Q1,0.5905074659780511,0.6185673366584358,8.258210642342334e-05,6.14651552229839e-05
anchor_temp_0p92,Q1,0.5913024400804814,0.6192119047169299,0.0008775562088536581,0.0007060332137170944
anchor_temp_1p15,Q1,0.5913167696414998,0.6192219933368992,0.0008918857698720917,0.0007161218336864117
anchor_temp_0p85,Q1,0.5929109974613491,0.6204879627514835,0.002486113589721395,0.0019820912482707564
mean_sm8,Q1,0.6734195130558601,0.6742914253536946,0.0829946291842324,0.055785553850481784
mean_sm4,Q1,0.6755317618380897,0.6748840424480775,0.08510687796646199,0.05637817094486475
mean_sm16,Q1,0.672418099159351,0.6749034127544637,0.0819932152877233,0.05639754125125096
mean_sm32,Q1,0.6740197842512184,0.6779696468360475,0.08359490037959072,0.059463775332834756
mean_sm64,Q1,0.678399123278467,0.6835903781917797,0.08797423940683924,0.06508450668856691
ridge30,Q1,0.687482190142392,0.6998428539451688,0.09705730627076425,0.08133698244195597
seq_Q1_1_0p15,Q1,0.633646522647549,0.701921257037718,0.04322163877592122,0.08341538553450523
seq_Q1_1_0p3,Q1,0.6351570612959512,0.704155648535326,0.04473217742432345,0.08564977703211318
seq_Q1_0p8_0p15,Q1,0.6367014598456656,0.7041694356128139,0.04627657597403789,0.08566356410960108
last30_sm4,Q1,0.6971020624866032,0.7042578583783257,0.1066771786149755,0.08575198687511287
seq_Q1_1p25_0p15,Q1,0.6375447546519505,0.7051418036167724,0.04711987078032276,0.08663593211355958
seq_Q1_0p8_0p3,Q1,0.6373592725748957,0.7056945406153273,0.04693438870326794,0.08718866911211454
seq_Q1_1_0p45,Q1,0.6371864085327583,0.7069802073374472,0.046761524661130593,0.08847433583423436
seq_Q1_0p8_0p45,Q1,0.6384510911834003,0.7077275720082976,0.04802620731177254,0.08922170050508482
seq_Q1_1p25_0p3,Q1,0.6401481401274133,0.7083181205395411,0.04972325625578555,0.08981224903632834
seq_Q1_0p65_0p15,Q1,0.6432942713948073,0.709018097134373,0.0528693875231796,0.09051222563116024
seq_Q1_0p65_0p3,Q1,0.6433823799532477,0.7100803473401789,0.052957496081619926,0.0915744758369661
seq_Q1_0p8_0p6,Q1,0.6399976543464674,0.7103171683827147,0.049572770474839656,0.09181129687950196
seq_Q1_1_0p6,Q1,0.6397557133810299,0.7104458491686503,0.04933082950940215,0.09193997766543749
seq_Q1_0p65_0p45,Q1,0.6438271402151244,0.7115795054959951,0.05340225634349671,0.09307363399278235
last2_sm4,Q1,0.6903567094815415,0.7120489330483106,0.09993182560991376,0.09354306154509784
seq_Q1_1p25_0p45,Q1,0.6433461024580414,0.7121601920946339,0.05292121858641363,0.09365432059142109
seq_Q1_0p65_0p6,Q1,0.6446478180322222,0.7135599182167973,0.05422293416059443,0.09505404671358453
seq_Q1_1p5_0p15,Q1,0.6483932691698288,0.7141337114338244,0.05796838529820103,0.09562783993061164
seq_Q1_0p8_0p8,Q1,0.642810597989058,0.7147298002336709,0.052385714117430315,0.09622392873045815
seq_Q1_1_0p8,Q1,0.6440661793416631,0.7161614155544322,0.05364129547003538,0.09765554405121946
last20_sm4,Q1,0.7063127288376978,0.7165531036297295,0.11588784496607007,0.09804723212651667
seq_Q1_1p25_0p6,Q1,0.6471590396968866,0.7167174343739711,0.05673415582525887,0.09821156287075827
seq_Q1_0p5_0p15,Q1,0.6541360543072184,0.7168185453942035,0.06371117043559071,0.09831267389099074
seq_Q1_0p65_0p8,Q1,0.6463671928788035,0.7170357002821923,0.05594230900717578,0.09852982877897953
seq_Q1_0p5_0p3,Q1,0.6537788783546956,0.7175138978971567,0.06335399448306789,0.0990080263939439
seq_Q1_1p5_0p3,Q1,0.6520335983088562,0.7182270216770115,0.061608714437228485,0.09972115017379868
seq_Q1_0p5_0p45,Q1,0.6536927405900885,0.718571899533632,0.0632678567184608,0.1000660280304192
seq_Q1_0p5_0p6,Q1,0.6538939106010545,0.7200304308677248,0.06346902672942678,0.10152455936451199
seq_Q1_0p8_1,Q1,0.646548422196293,0.7203731197351043,0.05612353832466532,0.10186724823189153
seq_Q1_0p65_1,Q1,0.6488629054913733,0.7215904761773605,0.05843802161974554,0.1030846046741477
seq_Q1_0p5_0p8,Q1,0.6546435638906661,0.722672976126949,0.06421868001903841,0.10416710462373624
seq_Q1_1p5_0p45,Q1,0.6563150315426691,0.7230304680419272,0.0658901476710414,0.10452459653871438
seq_Q1_1_1,Q1,0.6494571481540371,0.7232652345816465,0.059032264282409375,0.1047593630784337
seq_Q1_1p25_0p8,Q1,0.6532436358479193,0.7240002330840659,0.06281875197629161,0.10549436158085312
last3_sm4,Q1,0.6927805851272203,0.7258087424283456,0.10235570125559257,0.1073028709251328
seq_Q1_0p5_1,Q1,0.6559967680893873,0.7262218244955494,0.06557188421775961,0.1077159529923366
ridge10,Q1,0.6979321059803817,0.7263286095625452,0.10750722210875396,0.1078227380593324
seq_Q1_1p5_0p6,Q1,0.6612567420058715,0.7285892760788044,0.07083185813424375,0.11008340457559163
seq_Q1_1p25_1,Q1,0.660541120578865,0.7327934199878584,0.07011623670723732,0.11428754848464562
last5_sm4,Q1,0.692273561484553,0.7360711614593682,0.10184867761292526,0.11756528995615545
seq_Q1_1p5_0p8,Q1,0.668915135429553,0.7372621390084515,0.07849025155792533,0.11875626750523871
last2_sm2,Q1,0.7086896602762279,0.7430739377022534,0.1182647764046002,0.1245680661990406
seq_Q1_1p5_1,Q1,0.6778633981768794,0.7474971347000758,0.08743851430525162,0.12899126319686305
ridge3,Q1,0.7087330616244867,0.7585827500781884,0.11830817775285896,0.14007687857497564
last10_sm4,Q1,0.7032910227573302,0.7715878414683413,0.11286613888570252,0.15308196996512846
ridge1,Q1,0.7146262599549094,0.778707857058541,0.12420137608328163,0.16020198555532816
ridge0.5,Q1,0.7166040258136595,0.7859663038542114,0.12617914194203173,0.1674604323509986
anchor_temp_1p15,Q2,0.6991387945727339,0.6348416181269154,0.006258937948811383,-0.003242751173485936
anchor_temp_1p08,Q2,0.6960349029712236,0.6362058213770391,0.003155046347301127,-0.0018785479233622837
anchor,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0
anchor_temp_0p92,Q2,0.6901551603380691,0.6403115517300193,-0.0027246962858533674,0.0022271824296179465
last20_sm4,Q2,0.7247261988662764,0.6418960288268616,0.03184634224235394,0.0038116595264602315
anchor_temp_0p85,Q2,0.6881336482703501,0.6425525733147402,-0.004746208353572423,0.004468204014338895
model_lgbm_anchor,Q2,0.6756841748703629,0.6537873855713014,-0.017195681753559566,0.015703016270900094
last2_sm4,Q2,0.7096566339208832,0.6638288342020948,0.0167767772969607,0.025744464901693465
mean_sm64,Q2,0.6905998965927284,0.6745651875136629,-0.002279960031194128,0.036480818213261546
mean_sm32,Q2,0.6925844196510942,0.6807052161645988,-0.00029543697282830017,0.042620846864197426
last30_sm4,Q2,0.7277335680920182,0.6809639811836442,0.03485371146809568,0.04287961188324285
ridge10,Q2,0.6998700223208846,0.681155363036028,0.006990165696962092,0.04307099373562662
ridge3,Q2,0.7002784806129849,0.6822959750454962,0.007398623989062436,0.04421160574509486
ridge1,Q2,0.7012195442286234,0.6855601033348903,0.00833968760470094,0.0474757340344889
ridge0.5,Q2,0.7016010971533039,0.6869465371716764,0.008721240529381391,0.048862167871275064
ridge30,Q2,0.701925407314895,0.6872666196596,0.00904555069097246,0.049182250359198654
last10_sm4,Q2,0.734518998245205,0.688151574621831,0.04163914162128246,0.05006720532142961
mean_sm16,Q2,0.6972824893759418,0.6890481070823308,0.004402632752019353,0.05096373778192942
last2_sm2,Q2,0.7441933455776149,0.6949539133825878,0.051313488953692366,0.056869544082186474
mean_sm8,Q2,0.7031202587858209,0.6971838348156871,0.010240402161898365,0.059099465515285776
last3_sm4,Q2,0.7252622966532167,0.6992019955917964,0.032382440029294246,0.061117626291395055
mean_sm4,Q2,0.7081901892126209,0.703305985174673,0.015310332588698405,0.06522161587427167
seq_Q2_0p65_1,Q2,0.8069808491708178,0.7329020505755487,0.11410099254689532,0.09481768127514734
seq_Q2_0p5_1,Q2,0.7943798578880367,0.7342050878225289,0.10150000126411418,0.09612071852212756
seq_Q2_0p8_1,Q2,0.8224446678379114,0.7342742960087308,0.12956481121398888,0.09618992670832949
seq_Q2_0p8_0p8,Q2,0.8062555404967513,0.7382604074075558,0.11337568387282881,0.10017603810715447
seq_Q2_0p65_0p8,Q2,0.7941854024823172,0.7388635388713014,0.10130554585839469,0.10077916957090005
seq_Q2_1_1,Q2,0.8466776790614942,0.7396481300716169,0.15379782243757167,0.10156376077121554
seq_Q2_1_0p8,Q2,0.8258164450244998,0.7406805636004195,0.13293658840057732,0.1025961943000181
seq_Q2_0p5_0p8,Q2,0.7847509009173361,0.7418217503920453,0.09187104429341364,0.10373738109164399
last5_sm4,Q2,0.7329077051934056,0.7423740494272992,0.04002784856948316,0.10428968012689788
seq_Q2_0p8_0p6,Q2,0.794168077705,0.7435050834096024,0.10128822108107749,0.10542071410920106
seq_Q2_1_0p6,Q2,0.8096822596814185,0.7435170335043816,0.11680240305749601,0.10543266420398023
seq_Q2_0p65_0p6,Q2,0.7849587805676476,0.7456438444433677,0.09207892394372508,0.10755947514296638
seq_Q2_1_0p45,Q2,0.8001376342342224,0.7466195805873167,0.10725777761029986,0.10853521128691535
seq_Q2_1p25_0p6,Q2,0.8334702869058656,0.7475525194442162,0.14059043028194307,0.10946815014381484
