target,step,source,weight_new_source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,last_gain_vs_previous
Q1,0,anchor,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.0
Q2,1,seq_Q2_0p8_1,0.15,0.6984104829693096,0.636068081236939,0.005530626345387146,-0.0020162880634623237,0.0020162880634623237
Q2,2,anchor_temp_1p15,0.5,0.6984757755885638,0.6351823985221839,0.005595918964641289,-0.002901970778217411,0.0008856827147550872
Q3,1,seq_Q3_0p5_0p8,0.4,0.6681869706709821,0.6128724599521591,0.005506424542781385,-0.021819548288594337,0.021819548288594337
S1,1,last2_sm2,0.1,0.49368747678282515,0.44832463229564284,0.0013353235689731457,-0.00121983372133333,0.00121983372133333
S1,2,anchor_temp_1p15,0.4,0.4926658476991295,0.4469044018718292,0.00031369448527751587,-0.0026400641451469475,0.0014202304238136176
S2,1,last30_sm4,0.4,0.5652823759922027,0.617917543004715,0.005161970302494434,-0.004897779890718379,0.004897779890718379
S2,2,seq_S2_0p5_0p15,0.2,0.5653665572845585,0.6157519661419999,0.005246151594850312,-0.007063356753433503,0.002165576862715124
S2,3,anchor_temp_0p85,0.4,0.5635002476124087,0.6153175339497776,0.003379841922700466,-0.007497788945655781,0.00043443219222227825
S3,1,seq_S3_0p65_0p15,0.5,0.5449385624434421,0.5843796879454702,0.0033871879217539647,-0.016299337045103335,0.016299337045103335
S3,2,last3_sm4,0.05,0.5464110486020041,0.5837532348486365,0.004859674080315957,-0.01692579014193707,0.0006264530968337345
S4,1,seq_S4_1p5_1,0.3,0.636220931284485,0.5647859921665827,0.005421893679860013,-0.02386839247440753,0.02386839247440753
S4,2,seq_S4_0p65_0p15,0.05,0.6367718453195987,0.5643920987444099,0.005972807714973771,-0.024262285896580305,0.00039389342217277523
