candidate,target,fold,sources,fold_logloss,weights
logreg_stack_top8_C0p05_plain,Q1,0,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""direction_gated_search_20260622/precision55_move03"", ""constrained_target_blend_logit_newton/composite"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p15"", ""constrained_target_blend_logit_newton/full"", ""residual_single_model_opt_ridge_logit_newton/ridge_residual_last""]",0.5321112987970067,
logreg_stack_top8_C0p05_plain,Q1,1,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""direction_gated_search_20260622/precision55_move03"", ""constrained_target_blend_logit_newton/composite"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p15"", ""constrained_target_blend_logit_newton/full"", ""residual_single_model_opt_ridge_logit_newton/ridge_residual_last""]",0.6346744222614169,
logreg_stack_top8_C0p05_plain,Q1,2,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""direction_gated_search_20260622/precision55_move03"", ""constrained_target_blend_logit_newton/composite"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p15"", ""constrained_target_blend_logit_newton/full"", ""residual_single_model_opt_ridge_logit_newton/ridge_residual_last""]",0.5867113345310441,
logreg_stack_top8_C0p05_plain,Q1,3,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""direction_gated_search_20260622/precision55_move03"", ""constrained_target_blend_logit_newton/composite"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p15"", ""constrained_target_blend_logit_newton/full"", ""residual_single_model_opt_ridge_logit_newton/ridge_residual_last""]",0.6086790013505115,
logreg_stack_top8_C0p05_plain,Q1,4,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""direction_gated_search_20260622/precision55_move03"", ""constrained_target_blend_logit_newton/composite"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p15"", ""constrained_target_blend_logit_newton/full"", ""residual_single_model_opt_ridge_logit_newton/ridge_residual_last""]",0.613792822229164,
logreg_stack_top8_C0p05_plain,Q2,0,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""pattern_safe_candidates_20260622/q1_only"", ""direction_gated_search_20260622/precision55_move03"", ""direction_gated_search_20260622/precision55_lowrisk"", ""constrained_target_blend_logit_newton/last_guard_0"", ""constrained_target_blend_logit_newton/last_guard_0p002""]",0.7241128443056759,
logreg_stack_top8_C0p05_plain,Q2,1,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""pattern_safe_candidates_20260622/q1_only"", ""direction_gated_search_20260622/precision55_move03"", ""direction_gated_search_20260622/precision55_lowrisk"", ""constrained_target_blend_logit_newton/last_guard_0"", ""constrained_target_blend_logit_newton/last_guard_0p002""]",0.6833267953613827,
logreg_stack_top8_C0p05_plain,Q2,2,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""pattern_safe_candidates_20260622/q1_only"", ""direction_gated_search_20260622/precision55_move03"", ""direction_gated_search_20260622/precision55_lowrisk"", ""constrained_target_blend_logit_newton/last_guard_0"", ""constrained_target_blend_logit_newton/last_guard_0p002""]",0.7994118173142236,
logreg_stack_top8_C0p05_plain,Q2,3,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""pattern_safe_candidates_20260622/q1_only"", ""direction_gated_search_20260622/precision55_move03"", ""direction_gated_search_20260622/precision55_lowrisk"", ""constrained_target_blend_logit_newton/last_guard_0"", ""constrained_target_blend_logit_newton/last_guard_0p002""]",0.7118151396068647,
logreg_stack_top8_C0p05_plain,Q2,4,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""pattern_safe_candidates_20260622/q1_only"", ""direction_gated_search_20260622/precision55_move03"", ""direction_gated_search_20260622/precision55_lowrisk"", ""constrained_target_blend_logit_newton/last_guard_0"", ""constrained_target_blend_logit_newton/last_guard_0p002""]",0.6987451464559361,
logreg_stack_top8_C0p05_plain,Q3,0,"[""anchor"", ""direction_gated_ablation_20260622/core_plus_q2q3"", ""direction_gated_search_20260622/precision55_move05"", ""constrained_target_blend_logit_newton/full"", ""constrained_target_blend_logit_newton/composite"", ""residual_submission_blend_ridge_logit_te_full/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last"", ""residual_single_model_opt_ridge/ridge_residual_last""]",0.7121399422993839,
