candidate,target,fold,sources,fold_logloss,weights
logreg_stack_top8_C0p05_plain,Q1,0,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_aggressive"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p25"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last""]",0.5319518360713833,
logreg_stack_top8_C0p05_plain,Q1,1,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_aggressive"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p25"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last""]",0.6464030524185426,
logreg_stack_top8_C0p05_plain,Q1,2,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_aggressive"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p25"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last""]",0.5852538485440438,
logreg_stack_top8_C0p05_plain,Q1,3,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_aggressive"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p25"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last""]",0.6165939505550045,
logreg_stack_top8_C0p05_plain,Q1,4,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_aggressive"", ""direction_gated_ablation_20260622/core_plus_q2"", ""direction_gated_ablation_20260622/core_q1up_s2tight_s4tight"", ""constrained_target_blend_logit_newton/tradeoff_cap_a0p25"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite"", ""constrained_target_blend_logit_newton/last""]",0.612584979905245,
logreg_stack_top8_C0p05_plain,Q2,0,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_tight"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65"", ""target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9"", ""constrained_target_blend_logit_newton/last_guard_0""]",0.7235185322735034,
logreg_stack_top8_C0p05_plain,Q2,1,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_tight"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65"", ""target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9"", ""constrained_target_blend_logit_newton/last_guard_0""]",0.6813008386104225,
logreg_stack_top8_C0p05_plain,Q2,2,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_tight"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65"", ""target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9"", ""constrained_target_blend_logit_newton/last_guard_0""]",0.7894584946801065,
logreg_stack_top8_C0p05_plain,Q2,3,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_tight"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65"", ""target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9"", ""constrained_target_blend_logit_newton/last_guard_0""]",0.7127893738257576,
logreg_stack_top8_C0p05_plain,Q2,4,"[""anchor"", ""public_aware_stack_blend_20260622/target_select_public_tight"", ""direction_gated_ablation_20260622/core_plus_q2tiny"", ""public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65"", ""target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65"", ""public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9"", ""constrained_target_blend_logit_newton/last_guard_0""]",0.6700721147351533,
