target,source,full_logloss,last_logloss,pseudo_public_logloss,selector_score,test_abs_delta_mean,candidate
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5992853020335808,0.5992853020335808,0.0,pseudo_target_tight
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6508508077287695,0.6508508077287695,0.0,pseudo_target_tight
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6401313821293818,0.6401313821293818,0.0,pseudo_target_tight
S1,anchor,0.492352153213852,0.4495444660169762,0.4815635303223689,0.4815635303223689,0.0,pseudo_target_tight
S2,direction_gated_ablation_20260622/core_plus_q2tiny,0.5554486997313678,0.5888325174670911,0.5589496857900966,0.5592257232632488,0.009201249105072414,pseudo_target_tight
S3,anchor,0.5415513745216881,0.6006790249905736,0.5577197842335565,0.5577197842335565,0.0,pseudo_target_tight
S4,pattern_safe_candidates_20260622/q1_s2down50_s4up50,0.6268591854627517,0.5831763731686845,0.6387196322820677,0.6388398630422597,0.004007692006397742,pseudo_target_tight
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5992853020335808,0.5992853020335808,0.0,pseudo_target_balanced
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6508508077287695,0.6508508077287695,0.0,pseudo_target_balanced
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6401313821293818,0.6401313821293818,0.0,pseudo_target_balanced
S1,anchor,0.492352153213852,0.4495444660169762,0.4815635303223689,0.4815635303223689,0.0,pseudo_target_balanced
S2,direction_gated_ablation_20260622/core_plus_q2tiny,0.5554486997313678,0.5888325174670911,0.5589496857900966,0.5591337107721981,0.009201249105072414,pseudo_target_balanced
S3,anchor,0.5415513745216881,0.6006790249905736,0.5577197842335565,0.5577197842335565,0.0,pseudo_target_balanced
S4,pattern_safe_candidates_20260622/q1_s2down50_s4up50,0.6268591854627517,0.5831763731686845,0.6387196322820677,0.6387997861221957,0.004007692006397742,pseudo_target_balanced
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5992853020335808,0.5992853020335808,0.0,pseudo_target_public_heavy
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6508508077287695,0.6508508077287695,0.0,pseudo_target_public_heavy
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6401313821293818,0.6401313821293818,0.0,pseudo_target_public_heavy
S1,residual_submission_blend_ridge_logit_te_smoke/ridge_knn_blend_full,0.49222608700655474,0.4491562441315338,0.48154094850590007,0.4815616541089935,0.0017254669244495292,pseudo_target_public_heavy
S2,direction_gated_ablation_20260622/core_plus_q2tiny,0.5554486997313678,0.5888325174670911,0.5589496857900966,0.5590601007793575,0.009201249105072414,pseudo_target_public_heavy
S3,anchor,0.5415513745216881,0.6006790249905736,0.5577197842335565,0.5577197842335565,0.0,pseudo_target_public_heavy
S4,pattern_safe_candidates_20260622/q1_s2down50_s4up50,0.6268591854627517,0.5831763731686845,0.6387196322820677,0.6387677245861445,0.004007692006397742,pseudo_target_public_heavy
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5992853020335808,0.5992853020335808,0.0,pseudo_target_public_max
Q2,public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65,0.6924563491869533,0.6327383371152444,0.6508355995969253,0.6508460751246161,0.0017459212818159119,pseudo_target_public_max
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6401313821293818,0.6401313821293818,0.0,pseudo_target_public_max
S1,residual_submission_blend_ridge_logit_te_smoke/ridge_knn_blend_full,0.49222608700655474,0.4491562441315338,0.48154094850590007,0.4815513013074468,0.0017254669244495292,pseudo_target_public_max
S2,direction_gated_ablation_20260622/core_plus_q2tiny,0.5554486997313678,0.5888325174670911,0.5589496857900966,0.559004893284727,0.009201249105072414,pseudo_target_public_max
S3,anchor,0.5415513745216881,0.6006790249905736,0.5577197842335565,0.5577197842335565,0.0,pseudo_target_public_max
S4,pattern_safe_candidates_20260622/q1_s2down50_s4up50,0.6268591854627517,0.5831763731686845,0.6387196322820677,0.6387436784341062,0.004007692006397742,pseudo_target_public_max
