candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_worst,pseudo_public_logloss,test_abs_delta_mean_vs_anchor,test_up_rate_vs_anchor,test_down_rate_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,pseudo_Q1,delta_mean_Q1,delta_abs_Q1,up_rate_Q1,pseudo_Q2,delta_mean_Q2,delta_abs_Q2,up_rate_Q2,pseudo_Q3,delta_mean_Q3,delta_abs_Q3,up_rate_Q3,pseudo_S1,delta_mean_S1,delta_abs_S1,up_rate_S1,pseudo_S2,delta_mean_S2,delta_abs_S2,up_rate_S2,pseudo_S3,delta_mean_S3,delta_abs_S3,up_rate_S3,pseudo_S4,delta_mean_S4,delta_abs_S4,up_rate_S4,corr_to_last_guard_0p008_last0.588383_full0.587743,mean_abs_diff_to_last_guard_0p008_last0.588383_full0.587743,corr_to_target_select_public_tight_last0.572477_full0.592635,mean_abs_diff_to_target_select_public_tight_last0.572477_full0.592635,corr_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,mean_abs_diff_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,corr_to_02_guarded_targetwise,mean_abs_diff_to_02_guarded_targetwise,selector_score
pattern_safe_candidates_20260622/s2down_only_noq1,0.5947998708598901,0.5879849587923014,-0.0010298802334849366,-0.00529724800603304,0.014312880655138022,0.6227485796933881,0.5887216102136849,0.002924133577448994,0.0,0.08057142857142857,0.5927346944555352,0.5822846412435593,0.6227485796933881,0.5888093082433734,0.5879849587923014,0.5976545717384166,0.0,0.0,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5586656301193595,-0.020468935042142956,0.020468935042142956,0.0,0.5556745769394565,0.0,0.0,0.0,0.6390611395323958,0.0,0.0,0.0,0.9868866602627507,0.017678217586522698,0.9931907272501771,0.006083030202478603,0.9926925215289643,0.007345266358169882,0.9784964670388283,0.013633257172886708,0.5895249782537653
pattern_safe_candidates_20260622/s2down_s4up_noq1,0.5938608476197063,0.5864891731315485,-0.001968903473668737,-0.006793033666785964,0.01463616618742405,0.6223397382574352,0.5887666857512757,0.004069188436419778,0.038857142857142854,0.08057142857142857,0.5916022661623862,0.5806335993076207,0.6223397382574352,0.5887915596001291,0.5864891731315485,0.5976545717384166,0.0,0.0,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5586656301193595,-0.020468935042142956,0.020468935042142956,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393766682955311,0.008015384012795487,0.008015384012795487,0.272,0.9878297035065761,0.016533162727551915,0.9940402754135685,0.005282489112155117,0.993537716261103,0.0065447252678463965,0.9774604711813822,0.01467869410856358,0.5896205697137396
direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5936398133599672,0.5846682212795985,-0.0021899377334078096,-0.008613985518735934,0.01375123563465615,0.6201983006230591,0.5888886451703019,0.003264034524828646,0.009142857142857144,0.02,0.5908545835107567,0.5815277314744309,0.6201983006230591,0.5913566785790664,0.5846682212795985,0.5995303429183975,-0.00936908344256825,0.00936908344256825,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393792675406577,0.0042779091261598585,0.0042779091261598585,0.064,0.9854196765856555,0.019519863957351058,0.9942819174521288,0.0043470366091389,0.9937916273417633,0.00560927276483018,0.9775156035963405,0.014995042993537853,0.5896741279877796
direction_gated_ablation_20260622/core_plus_q2tiny,0.5936878668276017,0.5842293736204835,-0.0021418842657733306,-0.009052833177850883,0.013558826546334106,0.6197631048544298,0.5888977962067364,0.003343033472653973,0.010285714285714285,0.02,0.5915590995267358,0.5818606360632403,0.6197631048544298,0.5913566785790664,0.5842293736204835,0.5995303429183975,-0.00936908344256825,0.00936908344256825,0.0,0.6506933586765272,0.0005529926347772891,0.0005529926347772891,0.008,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393792675406577,0.0042779091261598585,0.0042779091261598585,0.064,0.9853916669878193,0.01955916773711215,0.9943477271971075,0.004290087506096022,0.9937039041828433,0.00568612986055211,0.9774129967899842,0.015074041941363178,0.5896760285382328
direction_gated_ablation_20260622/core_q1up_s2tight_s4tight,0.5943582413979948,0.584922358791834,-0.0014715096953802353,-0.00835984800650047,0.013897920282230039,0.6208947184654343,0.5888994592843477,0.0030338612879016683,0.019428571428571427,0.0074285714285714285,0.5914227210578711,0.5815945172157708,0.6208947184654343,0.5933386081285782,0.584922358791834,0.5996060417167172,0.007757870784079405,0.007757870784079405,0.072,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393792675406577,0.0042779091261598585,0.0042779091261598585,0.064,0.9867693165927447,0.019105685129343117,0.992536480543119,0.00543447786448948,0.9919911268029176,0.00669671402018076,0.9775444738571994,0.014764869756610876,0.5896853711370963
direction_gated_ablation_20260622/core_q1down_s2tight_s4mid,0.5934100694323694,0.5844974172948362,-0.0024196816610055905,-0.008784789503498258,0.013788902960655934,0.6199025754227334,0.5888942501587046,0.003480628993262983,0.014857142857142857,0.02,0.5905584713129982,0.5808296554776621,0.6199025754227334,0.5916733045505769,0.5844974172948362,0.5995303429183975,-0.00936908344256825,0.00936908344256825,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6394185024594761,0.005794070405200217,0.005794070405200217,0.104,0.9855525092300662,0.019383076288925605,0.9944196102734969,0.004130442140704563,0.9939276760251903,0.005392678296395844,0.9773486486530101,0.015198323449553495,0.5896881141765352
direction_gated_ablation_20260622/core_plus_q2,0.593596320226233,0.5835191877012103,-0.0022334308671420056,-0.009763019097124181,0.013454654869434424,0.6189728219927408,0.5889078901185221,0.003645822682032956,0.018857142857142857,0.02,0.5921928890499039,0.5810934933327517,0.6189728219927408,0.5924370599870276,0.5835191877012103,0.5995303429183975,-0.00936908344256825,0.00936908344256825,0.0,0.6507640160590268,0.0026725171004301725,0.0026725171004301725,0.068,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393792675406577,0.0042779091261598585,0.0042779091261598585,0.064,0.9853411820703935,0.019736226990642536,0.9945455216539673,0.00396524845193459,0.9937632681202808,0.0056606563257030704,0.9772044194017209,0.015376831150742162,0.5896899975424548
pattern_safe_candidates_20260622/q1_s2down_only,0.5944488735975347,0.5862745208631627,-0.0013808774958402603,-0.007007685935171759,0.014441779445440929,0.6226043066962007,0.5888254776310413,0.005469865872052533,0.07142857142857142,0.152,0.5915362989923085,0.581821524106641,0.6226043066962007,0.5905249753657419,0.5862745208631627,0.5983816436599111,0.001879180925109512,0.017820126062224766,0.5,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5586656301193595,-0.020468935042142956,0.020468935042142956,0.0,0.5556745769394565,0.0,0.0,0.0,0.6390611395323958,0.0,0.0,0.0,0.9879734104393717,0.015132485291919162,0.9935915820997867,0.007098109196067239,0.9931113306117049,0.00836034535175852,0.977365201075514,0.016178989467490246,0.5897116625794749
pattern_safe_candidates_20260622/q1_s2down75_s4up75,0.5938229791291771,0.5861989026038356,-0.002006771964197851,-0.007083304194498874,0.014546319681854374,0.6220870829641011,0.5888220703547395,0.005597623621918372,0.11028571428571429,0.152,0.5904383021252164,0.5804576807085032,0.6220870829641011,0.5905108015339934,0.5861989026038356,0.5983816436599111,0.001879180925109512,0.017820126062224766,0.5,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5585970195808504,-0.015351701281607224,0.015351701281607224,0.0,0.5556745769394565,0.0,0.0,0.0,0.6391058991367925,0.006011538009596614,0.006011538009596614,0.272,0.9885407165925434,0.01500472754205332,0.9927079923994334,0.00657587894128931,0.9921947171142151,0.00783811509698059,0.9809819219672444,0.016416661792242954,0.5897173150474898
direction_gated_ablation_20260622/core_plus_q3,0.5940401221833624,0.5829149154328265,-0.0017896289100125529,-0.010367291365507958,0.014386207725547903,0.6217512916091287,0.5889026028797406,0.003405262191180085,0.010857142857142857,0.02,0.5915259305063978,0.5825740132179632,0.6217512916091287,0.5917249989909568,0.5829149154328265,0.5995303429183975,-0.00936908344256825,0.00936908344256825,0.0,0.6506293014214858,0.0,0.0,0.0,0.6386557200212603,0.0009885936644600751,0.0009885936644600751,0.012,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6393792675406577,0.0042779091261598585,0.0042779091261598585,0.064,0.9852483993720728,0.019661091623702498,0.9944756830184471,0.004205808942787461,0.9939860829775212,0.005468045098478742,0.9774389606905933,0.015048056725569671,0.5897240711317534
