candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_worst,pseudo_public_logloss,test_abs_delta_mean_vs_anchor,test_up_rate_vs_anchor,test_down_rate_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,pseudo_Q1,delta_mean_Q1,delta_abs_Q1,up_rate_Q1,pseudo_Q2,delta_mean_Q2,delta_abs_Q2,up_rate_Q2,pseudo_Q3,delta_mean_Q3,delta_abs_Q3,up_rate_Q3,pseudo_S1,delta_mean_S1,delta_abs_S1,up_rate_S1,pseudo_S2,delta_mean_S2,delta_abs_S2,up_rate_S2,pseudo_S3,delta_mean_S3,delta_abs_S3,up_rate_S3,pseudo_S4,delta_mean_S4,delta_abs_S4,up_rate_S4,corr_to_last_guard_0p008_last0.588383_full0.587743,mean_abs_diff_to_last_guard_0p008_last0.588383_full0.587743,corr_to_target_select_public_tight_last0.572477_full0.592635,mean_abs_diff_to_target_select_public_tight_last0.572477_full0.592635,corr_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,mean_abs_diff_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,corr_to_02_guarded_targetwise,mean_abs_diff_to_02_guarded_targetwise,selector_score
pseudo_target_tight_anchorlogit_w0p9,0.5949021840851253,0.5884529156561917,-0.0009275670082496967,-0.0048292911421427,0.013850314256609408,0.621698392921042,0.5885614095564877,0.0014653049969970185,0.038857142857142854,0.0074285714285714285,0.5930213131994743,0.581733023250627,0.621698392921042,0.5901461160518827,0.5884529156561917,0.5976545717384166,1.3322676295501879e-18,1.8873791418627663e-17,0.0,0.6506293014214858,-4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576418676902395,-0.008451674789636992,0.008451674789637017,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389634973611354,0.00180546018934199,0.0018054601893420048,0.272,0.9863748201130867,0.01932255252574083,0.9924720815431437,0.005441921159899818,0.9919324571683147,0.006704157315591098,0.9814378757097186,0.01315129565551338,0.5892978844192281
pseudo_target_balanced_anchorlogit_w0p9,0.5949021840851253,0.5884529156561917,-0.0009275670082496967,-0.0048292911421427,0.013850314256609408,0.621698392921042,0.5885614095564877,0.0014653049969970185,0.038857142857142854,0.0074285714285714285,0.5930213131994743,0.581733023250627,0.621698392921042,0.5901461160518827,0.5884529156561917,0.5976545717384166,1.3322676295501879e-18,1.8873791418627663e-17,0.0,0.6506293014214858,-4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576418676902395,-0.008451674789636992,0.008451674789637017,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389634973611354,0.00180546018934199,0.0018054601893420048,0.272,0.9863748201130867,0.01932255252574083,0.9924720815431437,0.005441921159899818,0.9919324571683147,0.006704157315591098,0.9814378757097186,0.01315129565551338,0.5892978844192281
pseudo_target_public_heavy_anchorlogit_w0p9,0.5949021840851253,0.5884529156561917,-0.0009275670082496967,-0.0048292911421427,0.013850314256609408,0.621698392921042,0.5885614095564877,0.0014653049969970185,0.038857142857142854,0.0074285714285714285,0.5930213131994743,0.581733023250627,0.621698392921042,0.5901461160518827,0.5884529156561917,0.5976545717384166,1.3322676295501879e-18,1.8873791418627663e-17,0.0,0.6506293014214858,-4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576418676902395,-0.008451674789636992,0.008451674789637017,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389634973611354,0.00180546018934199,0.0018054601893420048,0.272,0.9863748201130867,0.01932255252574083,0.9924720815431437,0.005441921159899818,0.9919324571683147,0.006704157315591098,0.9814378757097186,0.01315129565551338,0.5892978844192281
pseudo_target_public_max_anchorlogit_w0p9,0.5949021840851253,0.5884529156561917,-0.0009275670082496967,-0.0048292911421427,0.013850314256609408,0.621698392921042,0.5885614095564877,0.0014653049969970185,0.038857142857142854,0.0074285714285714285,0.5930213131994743,0.581733023250627,0.621698392921042,0.5901461160518827,0.5884529156561917,0.5976545717384166,1.3322676295501879e-18,1.8873791418627663e-17,0.0,0.6506293014214858,-4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576418676902395,-0.008451674789636992,0.008451674789637017,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389634973611354,0.00180546018934199,0.0018054601893420048,0.272,0.9863748201130867,0.01932255252574083,0.9924720815431437,0.005441921159899818,0.9919324571683147,0.006704157315591098,0.9814378757097186,0.01315129565551338,0.5892978844192281
pseudo_target_tight_anchorlogit_w0p96,0.5948726807910079,0.5881947581388258,-0.0009570703023671356,-0.005087448659508609,0.013862243641786043,0.6216766618608865,0.5885591002369024,0.0015474382056006048,0.038857142857142854,0.0074285714285714285,0.5930589748488206,0.58171794372037,0.6216766618608865,0.5902381338593814,0.5881947581388258,0.5976545717384166,9.992007221626408e-19,1.9206858326015207e-17,0.0,0.6506293014214858,0.0,1.5543122344752193e-17,0.0,0.6385580160551905,-1.9984014443252816e-18,1.354472090042691e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576289119695749,-0.008907521970639905,0.008907521970639933,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389602878447029,0.0019245454685641794,0.001924545468564195,0.272,0.9864116234674173,0.019269526597701054,0.9927928537482026,0.0053617400695938336,0.9922570219906331,0.006623976225285112,0.9807504246420408,0.013227801311825023,0.5892986355651597
pseudo_target_balanced_anchorlogit_w0p96,0.5948726807910079,0.5881947581388258,-0.0009570703023671356,-0.005087448659508609,0.013862243641786043,0.6216766618608865,0.5885591002369024,0.0015474382056006048,0.038857142857142854,0.0074285714285714285,0.5930589748488206,0.58171794372037,0.6216766618608865,0.5902381338593814,0.5881947581388258,0.5976545717384166,9.992007221626408e-19,1.9206858326015207e-17,0.0,0.6506293014214858,0.0,1.5543122344752193e-17,0.0,0.6385580160551905,-1.9984014443252816e-18,1.354472090042691e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576289119695749,-0.008907521970639905,0.008907521970639933,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389602878447029,0.0019245454685641794,0.001924545468564195,0.272,0.9864116234674173,0.019269526597701054,0.9927928537482026,0.0053617400695938336,0.9922570219906331,0.006623976225285112,0.9807504246420408,0.013227801311825023,0.5892986355651597
pseudo_target_public_heavy_anchorlogit_w0p96,0.5948726807910079,0.5881947581388258,-0.0009570703023671356,-0.005087448659508609,0.013862243641786043,0.6216766618608865,0.5885591002369024,0.0015474382056006048,0.038857142857142854,0.0074285714285714285,0.5930589748488206,0.58171794372037,0.6216766618608865,0.5902381338593814,0.5881947581388258,0.5976545717384166,9.992007221626408e-19,1.9206858326015207e-17,0.0,0.6506293014214858,0.0,1.5543122344752193e-17,0.0,0.6385580160551905,-1.9984014443252816e-18,1.354472090042691e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576289119695749,-0.008907521970639905,0.008907521970639933,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389602878447029,0.0019245454685641794,0.001924545468564195,0.272,0.9864116234674173,0.019269526597701054,0.9927928537482026,0.0053617400695938336,0.9922570219906331,0.006623976225285112,0.9807504246420408,0.013227801311825023,0.5892986355651597
pseudo_target_public_max_anchorlogit_w0p96,0.5948726807910079,0.5881947581388258,-0.0009570703023671356,-0.005087448659508609,0.013862243641786043,0.6216766618608865,0.5885591002369024,0.0015474382056006048,0.038857142857142854,0.0074285714285714285,0.5930589748488206,0.58171794372037,0.6216766618608865,0.5902381338593814,0.5881947581388258,0.5976545717384166,9.992007221626408e-19,1.9206858326015207e-17,0.0,0.6506293014214858,0.0,1.5543122344752193e-17,0.0,0.6385580160551905,-1.9984014443252816e-18,1.354472090042691e-17,0.0,0.48080803568949,-3.3306690738754697e-19,2.808864252301646e-17,0.0,0.5576289119695749,-0.008907521970639905,0.008907521970639933,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389602878447029,0.0019245454685641794,0.001924545468564195,0.272,0.9864116234674173,0.019269526597701054,0.9927928537482026,0.0053617400695938336,0.9922570219906331,0.006623976225285112,0.9807504246420408,0.013227801311825023,0.5892986355651597
pseudo_target_tight,0.5948552207844318,0.5880266811074552,-0.0009745303089432333,-0.005255525690879281,0.013870613097718976,0.6216640381370827,0.5885605503326942,0.0016007278726101833,0.038857142857142854,0.0074285714285714285,0.5930850809757912,0.5817091100536833,0.6216640381370827,0.5903025757715608,0.5880266811074552,0.5976545717384166,0.0,0.0,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6389583748573835,0.002003846003198871,0.002003846003198871,0.272,0.9864205950670883,0.01923850783705207,0.9929838408773266,0.0053098311896719735,0.9924504093923779,0.006572067345363254,0.9803024995963345,0.013277356992348424,0.5893021028237585
pseudo_target_balanced,0.5948552207844318,0.5880266811074552,-0.0009745303089432333,-0.005255525690879281,0.013870613097718976,0.6216640381370827,0.5885605503326942,0.0016007278726101833,0.038857142857142854,0.0074285714285714285,0.5930850809757912,0.5817091100536833,0.6216640381370827,0.5903025757715608,0.5880266811074552,0.5976545717384166,0.0,0.0,0.0,0.6506293014214858,0.0,0.0,0.0,0.6385580160551905,0.0,0.0,0.0,0.48080803568949,0.0,0.0,0.0,0.5576409756274361,-0.009201249105072414,0.009201249105072414,0.0,0.5556745769394565,0.0,0.0,0.0,0.6389583748573835,0.002003846003198871,0.002003846003198871,0.272,0.9864205950670883,0.01923850783705207,0.9929838408773266,0.0053098311896719735,0.9924504093923779,0.006572067345363254,0.9803024995963345,0.013277356992348424,0.5893021028237585
