target,source,mode,alpha,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_worst,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,test_pos_rate,base_test_pos_rate,test_pos_delta,test_mean_delta,test_abs_delta_mean,fp_pressure,test_pos_inflation,full_regret,tail_regret,public_tail_score,private_full_score,balanced_score,fp_suppress_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selector,candidate
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,base_public_best,base_public_best
Q2,base,prob,0.0,0.6926660898686876,0.6169505226758217,0.0,0.0,0.059231366830132734,0.7750628801329537,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.84,0.84,0.0,0.0,0.0,0.22222222222222232,0.0,0.0,0.0,1.2836171893424888,1.025999423202021,1.4986555440070564,1.6469037205376433,0.7266772959957731,0.6325050011164576,0.7750628801329537,0.7083638938524018,0.6169505226758217,base_public_best,base_public_best
Q3,base,prob,0.0,0.6654827078919677,0.6224188673133506,0.0,0.0,0.03820172192588974,0.7064227289790792,0.3511111111111111,0.051111111111111114,0.9,0.6,0.916,0.916,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,1.4024188673133509,1.0554827078919677,1.5538130849143106,1.7570874247203054,0.6992055504233332,0.6800816300404351,0.7064227289790792,0.6163127368757737,0.6224188673133506,base_public_best,base_public_best
S1,base,prob,0.0,0.4888442898813237,0.4309734248447679,0.0,0.0,0.03653888722057972,0.5290528261383755,0.2,0.044444444444444446,0.8377777777777777,0.6822222222222222,0.8,0.8,0.0,0.0,0.0,0.15555555555555556,0.0,0.0,0.0,0.5554178692892123,0.551066512103546,0.8129907846570572,0.745920979425849,0.470478165353136,0.4862291390835621,0.5290528261383755,0.5258050908732016,0.4309734248447679,base_public_best,base_public_best
S2,base,prob,0.0,0.562622011559896,0.5684210565200837,0.0,0.0,0.025747041024236608,0.587797622329244,0.19555555555555557,0.08666666666666667,0.76,0.6511111111111111,0.788,0.788,0.0,0.0,0.0,0.10888888888888892,0.0,0.0,0.0,0.6555321676311948,0.6061775671154516,0.9362313704237198,0.8092606090232503,0.5907407713373016,0.5314445080885555,0.5328716846895758,0.587797622329244,0.5684210565200837,base_public_best,base_public_best
S3,base,prob,0.0,0.5294421568160732,0.577938298805045,0.0,0.0,0.033833464217655,0.577938298805045,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.916,0.916,0.0,0.0,0.0,0.18222222222222217,0.0,0.0,0.0,1.0152716321383781,0.7481088234827398,1.1534415544921812,1.1987267315173344,0.5041729096195547,0.5282676873897062,0.5570493133066392,0.4850009849615262,0.577938298805045,base_public_best,base_public_best
S4,base,prob,0.0,0.6249253249350655,0.5743035918540645,0.0,0.0,0.03622727792236439,0.66480304959035,0.24222222222222223,0.11555555555555555,0.6866666666666666,0.56,0.648,0.648,0.0,0.0,0.0,0.1266666666666666,0.0,0.0,0.0,0.7009702585207311,0.6882586582683987,1.0294589671214676,0.9205012228985815,0.6491064777445684,0.5873598373170781,0.645325600214477,0.66480304959035,0.5743035918540645,base_public_best,base_public_best
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,public_tail,selector_public_tail
Q2,base,prob,0.0,0.6926660898686876,0.6169505226758217,0.0,0.0,0.059231366830132734,0.7750628801329537,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.84,0.84,0.0,0.0,0.0,0.22222222222222232,0.0,0.0,0.0,1.2836171893424888,1.025999423202021,1.4986555440070564,1.6469037205376433,0.7266772959957731,0.6325050011164576,0.7750628801329537,0.7083638938524018,0.6169505226758217,public_tail,selector_public_tail
Q3,raw_comp,logit,1.0,0.6540977033947605,0.6493631357916468,-0.011385004497207252,0.02694426847829623,0.03749113608274303,0.6668879392274166,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.736,0.916,-0.18000000000000005,-0.06253640904664462,0.08078866833097925,0.08444444444444443,0.0,0.0,0.0,0.9125445722459311,0.7838062951677737,1.1940202375682074,1.101718094458703,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,public_tail,selector_public_tail
S1,raw_comp,logit,0.7,0.48308029584983736,0.4409180763403946,-0.005763994031486364,0.009944651495626677,0.02698636509116191,0.5163531656395833,0.15777777777777777,0.07111111111111111,0.7688888888888888,0.6822222222222222,0.732,0.8,-0.06800000000000006,-0.032738195799713314,0.03420973573314387,0.08666666666666667,0.0,0.0,0.0,0.5184617462496824,0.5224726716742809,0.7795921288876908,0.6806149832229133,0.46748197126251667,0.4839264278963799,0.5163531656395833,0.5057244599857172,0.4409180763403946,public_tail,selector_public_tail
S2,raw_last,logit,0.8,0.5494691056176008,0.5269859388573933,-0.013152905942295234,-0.04143511766269037,0.02515094408258037,0.5966075068911948,0.14666666666666667,0.15555555555555556,0.6422222222222222,0.6511111111111111,0.564,0.788,-0.2240000000000001,-0.06350087143445873,0.08765075831503792,0.0,0.0,0.0,0.008809884561950754,0.5703797855329041,0.564550413095441,0.8691215915623695,0.7022517723275582,0.5420147439988976,0.5300087542923458,0.5506115031527782,0.5966075068911948,0.5269859388573933,public_tail,selector_public_tail
S3,base,prob,0.0,0.5294421568160732,0.577938298805045,0.0,0.0,0.033833464217655,0.577938298805045,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.916,0.916,0.0,0.0,0.0,0.18222222222222217,0.0,0.0,0.0,1.0152716321383781,0.7481088234827398,1.1534415544921812,1.1987267315173344,0.5041729096195547,0.5282676873897062,0.5570493133066392,0.4850009849615262,0.577938298805045,public_tail,selector_public_tail
S4,raw_comp,logit,1.0,0.62346290106244,0.5819236191578151,-0.0014624238726255179,0.007620027303750554,0.03886262139163856,0.6581020759253919,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.544,0.648,-0.10399999999999998,-0.022328901297303846,0.037583224154647835,0.05111111111111111,0.0,0.0,0.0,0.6488196844138783,0.6558041134603964,0.9898219721403175,0.8381696162577031,0.6540715435846562,0.5692148113722199,0.6508200507393025,0.6581020759253919,0.5819236191578151,public_tail,selector_public_tail
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,private_full,selector_private_full
Q2,raw_comp,logit,1.0,0.6756468410192268,0.6797306871716269,-0.017019248849460822,0.06278016449580515,0.039671818406888534,0.7148076664637334,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.764,0.84,-0.07599999999999996,-0.04810905892442311,0.06327671661743185,0.10444444444444445,0.0,0.0,0.0,1.040521557968034,0.8606887197394125,1.3004704106056708,1.2453082815436702,0.6962231545124214,0.5999009255702442,0.7148076664637334,0.6882275988426698,0.6797306871716269,private_full,selector_private_full
Q3,raw_comp,logit,1.0,0.6540977033947605,0.6493631357916468,-0.011385004497207252,0.02694426847829623,0.03749113608274303,0.6668879392274166,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.736,0.916,-0.18000000000000005,-0.06253640904664462,0.08078866833097925,0.08444444444444443,0.0,0.0,0.0,0.9125445722459311,0.7838062951677737,1.1940202375682074,1.101718094458703,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,private_full,selector_private_full
S1,raw_comp,logit,0.9,0.48416797500055975,0.4518584776036743,-0.0046763148807639765,0.020885052758906397,0.022458442196173146,0.5144832045468715,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.72,0.8,-0.08000000000000007,-0.04204031634675834,0.04387827827856324,0.07111111111111112,0.0,0.0,0.0,0.5192781532794184,0.5202996922590705,0.779532884429373,0.6706646544615726,0.4678165224045769,0.48504622512959905,0.5144832045468715,0.501223297127325,0.4518584776036743,private_full,selector_private_full
S2,raw_last,logit,0.7,0.5479233296001664,0.5271605429909423,-0.014698681959729565,-0.041260513529141396,0.023470897848492142,0.5917443122413325,0.14666666666666667,0.13777777777777778,0.66,0.6511111111111111,0.572,0.788,-0.21600000000000008,-0.055955871575455327,0.07619586386918259,0.008888888888888946,0.0,0.0,0.0039466899120884635,0.5714376722460744,0.5641438261642419,0.8680114204435186,0.7065338060098392,0.5451814942258205,0.5281094556986468,0.546112696952883,0.5917443122413325,0.5271605429909423,private_full,selector_private_full
S3,raw_comp,logit,1.0,0.5345697525959933,0.6012791245060456,0.005127595779920058,0.0233408257010006,0.04374425806919804,0.6012791245060456,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.716,0.916,-0.20000000000000007,-0.04767489789592091,0.04909746718974271,0.06666666666666665,0.0,0.0011275957799200577,0.0233408257010006,0.798199412908354,0.6328402596020568,1.0039389803009773,0.8930916978951198,0.5070734742077715,0.5377178714929418,0.5597037442054519,0.47351018944513557,0.6012791245060456,private_full,selector_private_full
S4,raw_comp,logit,1.0,0.62346290106244,0.5819236191578151,-0.0014624238726255179,0.007620027303750554,0.03886262139163856,0.6581020759253919,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.544,0.648,-0.10399999999999998,-0.022328901297303846,0.037583224154647835,0.05111111111111111,0.0,0.0,0.0,0.6488196844138783,0.6558041134603964,0.9898219721403175,0.8381696162577031,0.6540715435846562,0.5692148113722199,0.6508200507393025,0.6581020759253919,0.5819236191578151,private_full,selector_private_full
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,balanced,selector_balanced
Q2,raw_comp,logit,1.0,0.6756468410192268,0.6797306871716269,-0.017019248849460822,0.06278016449580515,0.039671818406888534,0.7148076664637334,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.764,0.84,-0.07599999999999996,-0.04810905892442311,0.06327671661743185,0.10444444444444445,0.0,0.0,0.0,1.040521557968034,0.8606887197394125,1.3004704106056708,1.2453082815436702,0.6962231545124214,0.5999009255702442,0.7148076664637334,0.6882275988426698,0.6797306871716269,balanced,selector_balanced
Q3,raw_comp,logit,1.0,0.6540977033947605,0.6493631357916468,-0.011385004497207252,0.02694426847829623,0.03749113608274303,0.6668879392274166,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.736,0.916,-0.18000000000000005,-0.06253640904664462,0.08078866833097925,0.08444444444444443,0.0,0.0,0.0,0.9125445722459311,0.7838062951677737,1.1940202375682074,1.101718094458703,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,balanced,selector_balanced
S1,raw_comp,logit,0.9,0.48416797500055975,0.4518584776036743,-0.0046763148807639765,0.020885052758906397,0.022458442196173146,0.5144832045468715,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.72,0.8,-0.08000000000000007,-0.04204031634675834,0.04387827827856324,0.07111111111111112,0.0,0.0,0.0,0.5192781532794184,0.5202996922590705,0.779532884429373,0.6706646544615726,0.4678165224045769,0.48504622512959905,0.5144832045468715,0.501223297127325,0.4518584776036743,balanced,selector_balanced
S2,raw_last,logit,0.7,0.5479233296001664,0.5271605429909423,-0.014698681959729565,-0.041260513529141396,0.023470897848492142,0.5917443122413325,0.14666666666666667,0.13777777777777778,0.66,0.6511111111111111,0.572,0.788,-0.21600000000000008,-0.055955871575455327,0.07619586386918259,0.008888888888888946,0.0,0.0,0.0039466899120884635,0.5714376722460744,0.5641438261642419,0.8680114204435186,0.7065338060098392,0.5451814942258205,0.5281094556986468,0.546112696952883,0.5917443122413325,0.5271605429909423,balanced,selector_balanced
S3,raw_comp,logit,0.75,0.531238528054919,0.5932595086417058,0.0017963712388457953,0.015321209836660854,0.04171330673181037,0.5932595086417058,0.18666666666666668,0.08888888888888889,0.76,0.6622222222222223,0.768,0.916,-0.14800000000000002,-0.03558409860138095,0.036656493143608034,0.09777777777777774,0.0,0.0,0.015321209836660854,0.8544176422586528,0.6615390770275774,1.0409910234250435,0.9732500479527361,0.5046827397836089,0.5341199881290649,0.5577236904255881,0.47253643333548423,0.5932595086417058,balanced,selector_balanced
S4,raw_comp,logit,1.0,0.62346290106244,0.5819236191578151,-0.0014624238726255179,0.007620027303750554,0.03886262139163856,0.6581020759253919,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.544,0.648,-0.10399999999999998,-0.022328901297303846,0.037583224154647835,0.05111111111111111,0.0,0.0,0.0,0.6488196844138783,0.6558041134603964,0.9898219721403175,0.8381696162577031,0.6540715435846562,0.5692148113722199,0.6508200507393025,0.6581020759253919,0.5819236191578151,balanced,selector_balanced
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,fp_suppress,selector_fp_suppress
Q2,raw_comp,logit,1.0,0.6756468410192268,0.6797306871716269,-0.017019248849460822,0.06278016449580515,0.039671818406888534,0.7148076664637334,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.764,0.84,-0.07599999999999996,-0.04810905892442311,0.06327671661743185,0.10444444444444445,0.0,0.0,0.0,1.040521557968034,0.8606887197394125,1.3004704106056708,1.2453082815436702,0.6962231545124214,0.5999009255702442,0.7148076664637334,0.6882275988426698,0.6797306871716269,fp_suppress,selector_fp_suppress
Q3,raw_comp,logit,1.0,0.6540977033947605,0.6493631357916468,-0.011385004497207252,0.02694426847829623,0.03749113608274303,0.6668879392274166,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.736,0.916,-0.18000000000000005,-0.06253640904664462,0.08078866833097925,0.08444444444444443,0.0,0.0,0.0,0.9125445722459311,0.7838062951677737,1.1940202375682074,1.101718094458703,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,fp_suppress,selector_fp_suppress
S1,raw_comp,logit,0.9,0.48416797500055975,0.4518584776036743,-0.0046763148807639765,0.020885052758906397,0.022458442196173146,0.5144832045468715,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.72,0.8,-0.08000000000000007,-0.04204031634675834,0.04387827827856324,0.07111111111111112,0.0,0.0,0.0,0.5192781532794184,0.5202996922590705,0.779532884429373,0.6706646544615726,0.4678165224045769,0.48504622512959905,0.5144832045468715,0.501223297127325,0.4518584776036743,fp_suppress,selector_fp_suppress
S2,raw_last,logit,0.8,0.5494691056176008,0.5269859388573933,-0.013152905942295234,-0.04143511766269037,0.02515094408258037,0.5966075068911948,0.14666666666666667,0.15555555555555556,0.6422222222222222,0.6511111111111111,0.564,0.788,-0.2240000000000001,-0.06350087143445873,0.08765075831503792,0.0,0.0,0.0,0.008809884561950754,0.5703797855329041,0.564550413095441,0.8691215915623695,0.7022517723275582,0.5420147439988976,0.5300087542923458,0.5506115031527782,0.5966075068911948,0.5269859388573933,fp_suppress,selector_fp_suppress
S3,raw_comp,logit,1.0,0.5345697525959933,0.6012791245060456,0.005127595779920058,0.0233408257010006,0.04374425806919804,0.6012791245060456,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.716,0.916,-0.20000000000000007,-0.04767489789592091,0.04909746718974271,0.06666666666666665,0.0,0.0011275957799200577,0.0233408257010006,0.798199412908354,0.6328402596020568,1.0039389803009773,0.8930916978951198,0.5070734742077715,0.5377178714929418,0.5597037442054519,0.47351018944513557,0.6012791245060456,fp_suppress,selector_fp_suppress
