target,config_key,scope,profile,weight_profile,top_k,fold,features,seed_count,valid_logloss,best_iteration_mean,best_valid_logloss_mean,best_train_logloss_mean,stop_policy,fallback_logic,weight_min,weight_max
Q1,target|compact|uniform|top60,target,compact,uniform,60,0,98,2,0.603522598609158,164.5,0.6053642911545849,0.4231563170042023,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top60,target,compact,uniform,60,1,98,2,0.6667565180029407,30.0,0.6677327665918535,0.5826112221706357,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top60,target,compact,uniform,60,2,98,2,0.6481396965336823,51.0,0.648753719347291,0.5420992010863199,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top60,target,compact,uniform,60,3,98,2,0.6181646384591615,76.5,0.6186679169111966,0.509085448426715,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top60,target,compact,uniform,60,4,98,2,0.6651629180616832,41.0,0.6654227956361498,0.5577153984761667,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top120,target,compact,uniform,120,0,158,2,0.5960173889532614,354.0,0.5971978757243057,0.2848524118357012,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top120,target,compact,uniform,120,1,158,2,0.6684636135367548,23.0,0.6686098147332138,0.5988414244394913,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top120,target,compact,uniform,120,2,158,2,0.6511110769315382,56.0,0.6516623735804316,0.5284804281654563,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top120,target,compact,uniform,120,3,158,2,0.6100246106262203,88.0,0.6104486935388389,0.4850370877614021,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top120,target,compact,uniform,120,4,158,2,0.6713808564626081,27.0,0.6719135722756004,0.5887799617139389,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top220,target,compact,uniform,220,0,258,2,0.5898649306255679,268.0,0.593629919806629,0.3274540728628916,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top220,target,compact,uniform,220,1,258,2,0.6713165000845286,23.0,0.6714961569207096,0.5978606141991659,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top220,target,compact,uniform,220,2,258,2,0.6447302925487916,70.0,0.6451502569279575,0.49369677231180814,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top220,target,compact,uniform,220,3,258,2,0.6132476213881861,78.0,0.6137880801103135,0.4903971276030172,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top220,target,compact,uniform,220,4,258,2,0.673807115647132,31.0,0.6743019105932846,0.5772850679511783,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|fp_guard|top60,target,compact,fp_guard,60,0,98,2,0.5976570970437448,221.5,0.6026257313325892,0.3885880188459604,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top60,target,compact,fp_guard,60,1,98,2,0.6673996465880024,30.0,0.6682929103584738,0.5817499880885576,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top60,target,compact,fp_guard,60,2,98,2,0.647803271386971,50.5,0.648403705495939,0.5414367252351082,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top60,target,compact,fp_guard,60,3,98,2,0.613288751645779,79.5,0.6136868160908113,0.5043380146453912,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top60,target,compact,fp_guard,60,4,98,2,0.6706851148223628,36.0,0.6709120717541811,0.5674823391015544,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top120,target,compact,fp_guard,120,0,158,2,0.5953806684772867,303.0,0.5978267375882766,0.31254898556552446,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top120,target,compact,fp_guard,120,1,158,2,0.6701776262547818,23.0,0.6703465824700565,0.5976831843221938,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top120,target,compact,fp_guard,120,2,158,2,0.6506996042143542,48.0,0.6509462881193577,0.5430301292498088,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top120,target,compact,fp_guard,120,3,158,2,0.60461501001743,87.5,0.6050186023316345,0.4848309049262668,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top120,target,compact,fp_guard,120,4,158,2,0.6754205791950018,35.5,0.6761351348375859,0.5648746193399062,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top220,target,compact,fp_guard,220,0,258,2,0.5874108930609055,366.0,0.5890928996835758,0.2527315261942363,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top220,target,compact,fp_guard,220,1,258,2,0.6731104966133308,23.0,0.67329668942685,0.5968995951491959,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top220,target,compact,fp_guard,220,2,258,2,0.6461858806914744,57.5,0.648485357882163,0.5203691568654242,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top220,target,compact,fp_guard,220,3,258,2,0.6086776275133462,84.5,0.6091863797885715,0.48084488571628137,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|fp_guard|top220,target,compact,fp_guard,220,4,258,2,0.6814024338937347,25.0,0.6817633444849813,0.5916932014796126,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.05
Q1,target|compact|recent_fp_guard|top60,target,compact,recent_fp_guard,60,0,98,2,0.6031956888357684,190.5,0.6082966394691218,0.4102846225273423,validation_logloss_early_stopping,best_iteration or current_iteration,0.8905487804878048,1.2510365853658536
Q1,target|compact|recent_fp_guard|top60,target,compact,recent_fp_guard,60,1,98,2,0.6727401014563807,30.0,0.6737610273044141,0.582168568394559,validation_logloss_early_stopping,best_iteration or current_iteration,0.8670731707317073,1.2510365853658536
Q1,target|compact|recent_fp_guard|top60,target,compact,recent_fp_guard,60,2,98,2,0.6483418455779113,51.0,0.6489142617001664,0.5406161157282292,validation_logloss_early_stopping,best_iteration or current_iteration,0.8670731707317073,1.2510365853658536
Q1,target|compact|recent_fp_guard|top60,target,compact,recent_fp_guard,60,3,98,2,0.6147920517425767,81.5,0.6151256973290244,0.5083336855202388,validation_logloss_early_stopping,best_iteration or current_iteration,0.8670731707317073,1.2510365853658536
Q1,target|compact|recent_fp_guard|top60,target,compact,recent_fp_guard,60,4,98,2,0.6746483680295418,33.0,0.6748195464711999,0.5756987659116828,validation_logloss_early_stopping,best_iteration or current_iteration,0.8670731707317073,1.2241463414634146
