target,config_key,scope,profile,weight_profile,top_k,blend_mode,model_weight,intercept,temperature,raw_full_logloss,raw_last_logloss,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,anchor_full_logloss,anchor_last_logloss,rank_score,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,brier,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection
Q1,target|compact|uniform|top60,target,compact,uniform,60,logit,0.0,0.06,1.0,0.6396391409691743,0.6651629180616832,0.5907623610453713,0.6124573507220807,0.00033747717374355,-0.00604852078113205,0.5904248838716277,0.6185058715032128,0.5972599465238699,0.16,0.15333333333333332,0.5022222222222222,0.4955555555555556,0.202586447360489,0.5455103945733581,0.6307629372460791,0.5932864299342402,0.5752974401204931,0.6124573507220807,raw_timeline_composite,composite
Q2,all|mid|fp_guard|top60,all,mid,fp_guard,60,logit,0.7,0.06,1.15,0.682758174438496,0.7259259627944519,0.6756468410192268,0.6797306871716269,-0.0172330156046957,0.041646317871225524,0.6928798566239225,0.6380843693004014,0.6803620866725464,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.2420042036720948,0.6962231545124214,0.5999009255702441,0.7148076664637334,0.6882275988426698,0.6797306871716269,raw_timeline_composite,composite
Q3,all|compact|recent_fp_guard|top220,all,compact,recent_fp_guard,220,prob,0.7,-0.08,0.9,0.6604855360070174,0.6712670912759179,0.6540977033947605,0.6493631357916468,-0.008582842733440232,0.014671127550893392,0.6626805461282007,0.6346920082407534,0.6572445505376658,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.2316016403516717,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,raw_timeline_composite,composite
S1,all|mid|recent_fp_guard|top220,all,mid,recent_fp_guard,220,logit,0.2,-0.3,0.9,0.5094684027089907,0.5101215447801336,0.4864532155958208,0.4654955961494565,-0.00589893761803123,0.01595113013248034,0.492352153213852,0.4495444660169762,0.4879032841632812,0.14666666666666667,0.08,0.7488888888888889,0.6822222222222222,0.15857733380158423,0.46818119422179133,0.48589455153308464,0.5138395456769228,0.49917938115676314,0.4654955961494565,raw_timeline_composite,composite
S2,target|compact|fp_guard|top220,target,compact,fp_guard,220,prob,0.9,-0.08,0.9,0.5435826400523109,0.5425553185636237,0.5423517489207403,0.5444368823355789,-0.017768656768967883,-0.07837844055985455,0.5601204056897082,0.6228153228954334,0.5439937230254034,0.1688888888888889,0.11333333333333333,0.7066666666666667,0.6511111111111111,0.1826034806718568,0.535487233929523,0.5198266881046782,0.5376349983416241,0.5746566628672047,0.5444368823355789,raw_timeline_composite,composite
S3,target|mid|recent_fp_guard|top60,target,mid,recent_fp_guard,60,logit,0.35,-0.18,0.9,0.5520897091870824,0.6263247734422135,0.5345697525959933,0.6012791245060456,-0.0069816219256948475,0.000600099515472019,0.5415513745216881,0.6006790249905736,0.5544695008295314,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.17830131655285253,0.5070734742077715,0.5377178714929417,0.5597037442054519,0.4735101894451355,0.6012791245060456,raw_timeline_composite,composite
S4,all|mid|recent_fp_guard|top60,all,mid,recent_fp_guard,60,logit,0.5,0.06,0.9,0.6391124370070981,0.6084158470318338,0.62346290106244,0.5819236191578151,-0.007336136542185012,-0.006730765483175083,0.630799037604625,0.5886543846409902,0.624853909095001,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.21704263174205377,0.6540715435846564,0.5692148113722199,0.6508200507393025,0.6581020759253919,0.5819236191578151,raw_timeline_composite,composite
Q1,target|compact|uniform|top60,target,compact,uniform,60,logit,0.0,0.06,1.0,0.6396391409691743,0.6651629180616832,0.5907623610453713,0.6124573507220807,0.00033747717374355,-0.00604852078113205,0.5904248838716277,0.6185058715032128,0.5972599465238699,0.16,0.15333333333333332,0.5022222222222222,0.4955555555555556,0.202586447360489,0.5455103945733581,0.6307629372460791,0.5932864299342402,0.5752974401204931,0.6124573507220807,raw_timeline_fp_guard,fp_guard
Q2,all|mid|fp_guard|top60,all,mid,fp_guard,60,logit,0.7,0.06,1.15,0.682758174438496,0.7259259627944519,0.6756468410192268,0.6797306871716269,-0.0172330156046957,0.041646317871225524,0.6928798566239225,0.6380843693004014,0.6803620866725464,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.2420042036720948,0.6962231545124214,0.5999009255702441,0.7148076664637334,0.6882275988426698,0.6797306871716269,raw_timeline_fp_guard,fp_guard
Q3,all|compact|recent_fp_guard|top220,all,compact,recent_fp_guard,220,prob,0.7,-0.08,0.9,0.6604855360070174,0.6712670912759179,0.6540977033947605,0.6493631357916468,-0.008582842733440232,0.014671127550893392,0.6626805461282007,0.6346920082407534,0.6572445505376658,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.2316016403516717,0.685816374243467,0.6835344131661976,0.6668879392274166,0.5836019140888599,0.6493631357916468,raw_timeline_fp_guard,fp_guard
S1,all|mid|recent_fp_guard|top220,all,mid,recent_fp_guard,220,logit,0.2,-0.3,0.9,0.5094684027089907,0.5101215447801336,0.4864532155958208,0.4654955961494565,-0.00589893761803123,0.01595113013248034,0.492352153213852,0.4495444660169762,0.4879032841632812,0.14666666666666667,0.08,0.7488888888888889,0.6822222222222222,0.15857733380158423,0.46818119422179133,0.48589455153308464,0.5138395456769228,0.49917938115676314,0.4654955961494565,raw_timeline_fp_guard,fp_guard
S2,target|compact|fp_guard|top220,target,compact,fp_guard,220,prob,0.9,-0.08,0.9,0.5435826400523109,0.5425553185636237,0.5423517489207403,0.5444368823355789,-0.017768656768967883,-0.07837844055985455,0.5601204056897082,0.6228153228954334,0.5439937230254034,0.1688888888888889,0.11333333333333333,0.7066666666666667,0.6511111111111111,0.1826034806718568,0.535487233929523,0.5198266881046782,0.5376349983416241,0.5746566628672047,0.5444368823355789,raw_timeline_fp_guard,fp_guard
