target,config_key,scope,profile,weight_profile,top_k,fold,features,seed_count,valid_logloss,best_iteration_mean,best_valid_logloss_mean,best_train_logloss_mean,stop_policy,fallback_logic,weight_min,weight_max
Q1,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.644331685732879,28.0,0.6443316857328789,0.6047863805667363,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.66938505965435,25.0,0.66938505965435,0.5954993952598759,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.6517884070937252,30.0,0.6517884070937252,0.5907914888105253,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.636326184024861,30.0,0.636326184024861,0.5978971023286407,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q1,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.665922727510901,30.0,0.665922727510901,0.5877727534647532,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q2,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.7195923921101556,1.0,0.7195923921101556,0.6740189204923879,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q2,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.6545525605837397,30.0,0.6545525605837397,0.6101535673863229,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q2,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.6691605763341624,10.0,0.6691605763341624,0.6518583010372337,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q2,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.7182614940602646,1.0,0.7182614940602645,0.675854595811922,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q2,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.669432408859852,1.0,0.669432408859852,0.6866017488831919,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q3,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.6960421212580391,7.0,0.6960421212580389,0.645578709907885,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q3,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.6728240837524017,4.0,0.6728240837524018,0.659137220453697,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q3,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.6688734308593388,21.0,0.6688734308593388,0.6189675193349845,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q3,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.655873736820127,29.0,0.655873736820127,0.608352755613669,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
Q3,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.6556599753877524,3.0,0.6556599753877526,0.6683745663958083,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S1,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.5281257875213582,30.0,0.5281257875213582,0.5090381990622458,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S1,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.5263377024900815,30.0,0.5263377024900816,0.5118889565331948,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S1,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.5642009716525274,30.0,0.5642009716525274,0.5037997701715051,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S1,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.5881669792936307,30.0,0.5881669792936306,0.504904669699681,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S1,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.5104706454565114,30.0,0.5104706454565116,0.506422596369656,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S2,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.5850610902498774,30.0,0.5850610902498772,0.5562195423634867,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S2,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.5600159959947151,30.0,0.5600159959947152,0.5536991751385668,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S2,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.5626629766696957,30.0,0.5626629766696957,0.5538940055668051,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S2,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.5808497164072249,30.0,0.5808497164072249,0.5524372713703098,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S2,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.6349501243173209,30.0,0.6349501243173209,0.5400491727403718,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S3,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.5323139258123091,30.0,0.5323139258123091,0.5549513898775124,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S3,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.5608903932961604,30.0,0.5608903932961604,0.5423124817418552,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S3,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.6162527823788135,30.0,0.6162527823788134,0.5314210124340151,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S3,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.5521665529696203,30.0,0.5521665529696201,0.5471505911852177,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S3,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.6128594915489713,29.0,0.6128594915489713,0.5308542750453632,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S4,target|compact|uniform|top20,target,compact,uniform,20,0,58,1,0.6530936973684499,30.0,0.6530936973684498,0.6009773471502848,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S4,target|compact|uniform|top20,target,compact,uniform,20,1,58,1,0.6316873285164837,30.0,0.6316873285164837,0.6091188543802071,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S4,target|compact|uniform|top20,target,compact,uniform,20,2,58,1,0.663348752549742,30.0,0.6633487525497419,0.6044447497866635,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S4,target|compact|uniform|top20,target,compact,uniform,20,3,58,1,0.6711998680499537,30.0,0.6711998680499537,0.5976596024335139,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
S4,target|compact|uniform|top20,target,compact,uniform,20,4,58,1,0.6370666996317855,30.0,0.6370666996317855,0.6141034000253771,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0
