target,config_key,scope,profile,weight_profile,top_k,blend_mode,model_weight,intercept,temperature,raw_full_logloss,raw_last_logloss,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,anchor_full_logloss,anchor_last_logloss,rank_score,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,brier,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection
Q1,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.6533156555157914,0.665922727510901,0.5904248838716277,0.6185058715032128,0.0,0.0,0.5904248838716277,0.6185058715032128,0.5986682302457971,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.20246830232784183,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,raw_timeline_composite,composite
Q2,target|compact|uniform|top20,target,compact,uniform,20,prob,0.5,-0.12,1.0,0.6868338704301399,0.669432408859852,0.6867885435078046,0.667438175278224,-0.00609131311611788,0.029353805977822667,0.6928798566239225,0.6380843693004014,0.6944768172942395,0.31333333333333335,0.16,0.7155555555555555,0.5622222222222222,0.24695266808004687,0.7023702375216635,0.6388911015122785,0.7392488359331117,0.6857630694019099,0.667438175278224,raw_timeline_composite,composite
Q3,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.670283251144877,0.6556599753877524,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6626805461282007,0.6346920082407534,0.6789251641601989,0.3466666666666667,0.05555555555555555,0.8911111111111111,0.6,0.23520063215236708,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,raw_timeline_composite,composite
S1,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,-0.12,1.0,0.5436257027246061,0.5104706454565114,0.4891366021030385,0.4529162454519661,-0.003215551110813508,0.003371779434989952,0.492352153213852,0.4495444660169762,0.4944904613508447,0.18666666666666668,0.06,0.8088888888888889,0.6822222222222222,0.1605625799834872,0.46725044993933634,0.4895777223917429,0.5232617571489452,0.5123757139775542,0.4529162454519661,raw_timeline_composite,composite
S2,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,-0.12,1.0,0.5841881909249341,0.6349501243173209,0.5602089946104183,0.6110578047312182,8.85889207100643e-05,-0.01175751816421522,0.5601204056897082,0.6228153228954334,0.5811111852660908,0.22,0.06,0.8111111111111111,0.6511111111111111,0.18888969591634167,0.5687157841829233,0.5302804887586838,0.5260177669052527,0.566824689125874,0.6110578047312182,raw_timeline_composite,composite
S3,target|compact|uniform|top20,target,compact,uniform,20,prob,0.0,-0.12,1.0,0.5737362370963413,0.6128594915489713,0.5427875154044999,0.5976323215759721,0.0012361408828117648,-0.0030467034146014482,0.5415513745216881,0.6006790249905736,0.5672910997394116,0.24444444444444444,0.04666666666666667,0.86,0.6622222222222223,0.1810371319176884,0.5132531550978364,0.5351890166017871,0.5613399391063787,0.5120491177104273,0.5976323215759721,raw_timeline_composite,composite
S4,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.6514044351791725,0.6370666996317855,0.6307990376046251,0.5886543846409902,1.1102230246251565e-16,0.0,0.630799037604625,0.5886543846409902,0.6344440126790715,0.2288888888888889,0.13111111111111112,0.6577777777777778,0.56,0.21984234296262287,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,raw_timeline_composite,composite
Q1,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.6533156555157914,0.665922727510901,0.5904248838716277,0.6185058715032128,0.0,0.0,0.5904248838716277,0.6185058715032128,0.5986682302457971,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.20246830232784183,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,raw_timeline_fp_guard,fp_guard
Q2,target|compact|uniform|top20,target,compact,uniform,20,prob,0.5,-0.12,1.0,0.6868338704301399,0.669432408859852,0.6867885435078046,0.667438175278224,-0.00609131311611788,0.029353805977822667,0.6928798566239225,0.6380843693004014,0.6944768172942395,0.31333333333333335,0.16,0.7155555555555555,0.5622222222222222,0.24695266808004687,0.7023702375216635,0.6388911015122785,0.7392488359331117,0.6857630694019099,0.667438175278224,raw_timeline_fp_guard,fp_guard
Q3,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.670283251144877,0.6556599753877524,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6626805461282007,0.6346920082407534,0.6789251641601989,0.3466666666666667,0.05555555555555555,0.8911111111111111,0.6,0.23520063215236708,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,raw_timeline_fp_guard,fp_guard
S1,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,-0.12,1.0,0.5436257027246061,0.5104706454565114,0.4891366021030385,0.4529162454519661,-0.003215551110813508,0.003371779434989952,0.492352153213852,0.4495444660169762,0.4944904613508447,0.18666666666666668,0.06,0.8088888888888889,0.6822222222222222,0.1605625799834872,0.46725044993933634,0.4895777223917429,0.5232617571489452,0.5123757139775542,0.4529162454519661,raw_timeline_fp_guard,fp_guard
S2,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,-0.12,1.0,0.5841881909249341,0.6349501243173209,0.5602089946104183,0.6110578047312182,8.85889207100643e-05,-0.01175751816421522,0.5601204056897082,0.6228153228954334,0.5811111852660908,0.22,0.06,0.8111111111111111,0.6511111111111111,0.18888969591634167,0.5687157841829233,0.5302804887586838,0.5260177669052527,0.566824689125874,0.6110578047312182,raw_timeline_fp_guard,fp_guard
S3,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,-0.12,1.0,0.5737362370963413,0.6128594915489713,0.5427875154044999,0.5976323215759722,0.0012361408828117648,-0.003046703414601337,0.5415513745216881,0.6006790249905736,0.5672910997394116,0.24444444444444444,0.04666666666666667,0.86,0.6622222222222223,0.18103713191768836,0.5132531550978364,0.5351890166017872,0.5613399391063787,0.5120491177104273,0.5976323215759722,raw_timeline_fp_guard,fp_guard
S4,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.6514044351791725,0.6370666996317855,0.6307990376046251,0.5886543846409902,1.1102230246251565e-16,0.0,0.630799037604625,0.5886543846409902,0.6344440126790715,0.2288888888888889,0.13111111111111112,0.6577777777777778,0.56,0.21984234296262287,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,raw_timeline_fp_guard,fp_guard
Q1,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.6533156555157914,0.665922727510901,0.5904248838716277,0.6185058715032128,0.0,0.0,0.5904248838716277,0.6185058715032128,0.5986682302457971,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.20246830232784183,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,raw_timeline_full,full
Q2,target|compact|uniform|top20,target,compact,uniform,20,prob,0.5,0.0,1.0,0.6868338704301399,0.669432408859852,0.6843443410475497,0.6485812624182156,-0.008535515576372776,0.01049689311781421,0.6928798566239225,0.6380843693004014,0.6962796191615007,0.3466666666666667,0.11333333333333333,0.7955555555555556,0.5622222222222222,0.24575992264376934,0.7153521443654695,0.6374544891758269,0.7194898048828133,0.6982816605103475,0.6485812624182156,raw_timeline_full,full
Q3,target|compact|uniform|top20,target,compact,uniform,20,logit,0.0,0.0,1.0,0.670283251144877,0.6556599753877524,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6626805461282007,0.6346920082407534,0.6789251641601989,0.3466666666666667,0.05555555555555555,0.8911111111111111,0.6,0.23520063215236708,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,raw_timeline_full,full
