target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,0,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.03664577187287688
Q1,1,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.0480200119832454
Q1,2,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.05095607142827566
Q1,3,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.061610617062177374
Q1,4,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.03894234040042879
Q1,0,extra_trees,smooth,subject_class,80,80,0.7803439410884278,1.381378822297987,0.18248271417243525,0.0391538620656488
Q1,1,extra_trees,smooth,subject_class,80,80,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.047265181299168915
Q1,2,extra_trees,smooth,subject_class,80,80,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.05026149501301103
Q1,3,extra_trees,smooth,subject_class,80,80,0.772075309860778,1.3967627532667717,0.18590042838559823,0.05862806586215845
Q1,4,extra_trees,smooth,subject_class,80,80,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.03809648927877293
Q1,0,extra_trees,smooth,recent_class,80,80,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.03660282721752556
Q1,1,extra_trees,smooth,recent_class,80,80,0.30125428729861015,2.464651984031339,0.4786016867663399,0.04192629554010968
Q1,2,extra_trees,smooth,recent_class,80,80,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.04367868594863494
Q1,3,extra_trees,smooth,recent_class,80,80,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.06609200946413514
Q1,4,extra_trees,smooth,recent_class,80,80,0.38940514838796436,2.413617042531497,0.4181697105114215,0.03946769385045967
Q1,0,extra_trees,smooth,recent_resid,80,80,0.20252040756744824,3.295445890188341,0.5933096697406969,0.03089545034945669
Q1,1,extra_trees,smooth,recent_resid,80,80,0.12853003809724428,3.498493446423684,0.6871302208823948,0.03396088721229264
Q1,2,extra_trees,smooth,recent_resid,80,80,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.03860026262737448
Q1,3,extra_trees,smooth,recent_resid,80,80,0.15922850470520497,4.262440537323417,0.8412991435760283,0.07255596150045522
Q1,4,extra_trees,smooth,recent_resid,80,80,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.038360802898383936
Q1,0,extra_trees,mid,uniform,80,80,1.0,1.0,0.0,0.03897372664035061
Q1,1,extra_trees,mid,uniform,80,80,1.0,1.0,0.0,0.03655559400134464
Q1,2,extra_trees,mid,uniform,80,80,1.0,1.0,0.0,0.041995388841285744
Q1,3,extra_trees,mid,uniform,80,80,1.0,1.0,0.0,0.05802572005801561
Q1,4,extra_trees,mid,uniform,80,80,1.0,1.0,0.0,0.03180296394991489
Q1,0,extra_trees,mid,subject_class,80,80,0.7803439410884278,1.381378822297987,0.18248271417243525,0.038493914951933834
Q1,1,extra_trees,mid,subject_class,80,80,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.037211196549489144
Q1,2,extra_trees,mid,subject_class,80,80,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.04262159658514592
Q1,3,extra_trees,mid,subject_class,80,80,0.772075309860778,1.3967627532667717,0.18590042838559823,0.05891223975035827
Q1,4,extra_trees,mid,subject_class,80,80,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.03152297264644177
Q1,0,extra_trees,mid,recent_class,80,80,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.037128105948979806
Q1,1,extra_trees,mid,recent_class,80,80,0.30125428729861015,2.464651984031339,0.4786016867663399,0.03393444653508381
Q1,2,extra_trees,mid,recent_class,80,80,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.03569001420969789
Q1,3,extra_trees,mid,recent_class,80,80,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.06785357738772677
Q1,4,extra_trees,mid,recent_class,80,80,0.38940514838796436,2.413617042531497,0.4181697105114215,0.03431835936718822
Q1,0,extra_trees,mid,recent_resid,80,80,0.20252040756744824,3.295445890188341,0.5933096697406969,0.030916723674503228
Q1,1,extra_trees,mid,recent_resid,80,80,0.12853003809724428,3.498493446423684,0.6871302208823948,0.026694777146676455
Q1,2,extra_trees,mid,recent_resid,80,80,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.033207323257128676
Q1,3,extra_trees,mid,recent_resid,80,80,0.15922850470520497,4.262440537323417,0.8412991435760283,0.06976935192552663
Q1,4,extra_trees,mid,recent_resid,80,80,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.03561485607248748
Q1,0,extra_trees,wide,uniform,80,80,1.0,1.0,0.0,0.056756757599338924
Q1,1,extra_trees,wide,uniform,80,80,1.0,1.0,0.0,0.0687835373797388
Q1,2,extra_trees,wide,uniform,80,80,1.0,1.0,0.0,0.061624216715444484
Q1,3,extra_trees,wide,uniform,80,80,1.0,1.0,0.0,0.09419672921156157
Q1,4,extra_trees,wide,uniform,80,80,1.0,1.0,0.0,0.06489156495667825
Q1,0,extra_trees,wide,subject_class,80,80,0.7803439410884278,1.381378822297987,0.18248271417243525,0.05780611051455175
Q1,1,extra_trees,wide,subject_class,80,80,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.07128481736846018
Q1,2,extra_trees,wide,subject_class,80,80,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.06099428185687797
Q1,3,extra_trees,wide,subject_class,80,80,0.772075309860778,1.3967627532667717,0.18590042838559823,0.09338146902433513
Q1,4,extra_trees,wide,subject_class,80,80,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.06204362840070971
Q1,0,extra_trees,wide,recent_class,80,80,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.0519367739495955
Q1,1,extra_trees,wide,recent_class,80,80,0.30125428729861015,2.464651984031339,0.4786016867663399,0.060314404400399806
Q1,2,extra_trees,wide,recent_class,80,80,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.055716172207093684
Q1,3,extra_trees,wide,recent_class,80,80,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.09720713252447623
Q1,4,extra_trees,wide,recent_class,80,80,0.38940514838796436,2.413617042531497,0.4181697105114215,0.0650174908558696
Q1,0,extra_trees,wide,recent_resid,80,80,0.20252040756744824,3.295445890188341,0.5933096697406969,0.042601489944335186
Q1,1,extra_trees,wide,recent_resid,80,80,0.12853003809724428,3.498493446423684,0.6871302208823948,0.04933245178973238
Q1,2,extra_trees,wide,recent_resid,80,80,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.05128012075467532
Q1,3,extra_trees,wide,recent_resid,80,80,0.15922850470520497,4.262440537323417,0.8412991435760283,0.10388766940686432
Q1,4,extra_trees,wide,recent_resid,80,80,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.061969834668537234
Q1,0,extra_trees,smooth,uniform,160,160,1.0,1.0,0.0,0.03953280175433439
Q1,1,extra_trees,smooth,uniform,160,160,1.0,1.0,0.0,0.0478089689315392
Q1,2,extra_trees,smooth,uniform,160,160,1.0,1.0,0.0,0.04735725513686983
Q1,3,extra_trees,smooth,uniform,160,160,1.0,1.0,0.0,0.0526483982494869
Q1,4,extra_trees,smooth,uniform,160,160,1.0,1.0,0.0,0.03754471094301399
Q1,0,extra_trees,smooth,subject_class,160,160,0.7803439410884278,1.381378822297987,0.18248271417243525,0.0388706104294191
Q1,1,extra_trees,smooth,subject_class,160,160,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.04725021391055882
Q1,2,extra_trees,smooth,subject_class,160,160,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.04749360201213698
Q1,3,extra_trees,smooth,subject_class,160,160,0.772075309860778,1.3967627532667717,0.18590042838559823,0.05198963291721296
Q1,4,extra_trees,smooth,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.038285752587530884
Q1,0,extra_trees,smooth,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.03634102099474749
Q1,1,extra_trees,smooth,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.04698649869805123
Q1,2,extra_trees,smooth,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.041569755340198807
Q1,3,extra_trees,smooth,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.06119590619023558
Q1,4,extra_trees,smooth,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.040965562220147696
Q1,0,extra_trees,smooth,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,0.03749321668480878
Q1,1,extra_trees,smooth,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.04260163877343113
Q1,2,extra_trees,smooth,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.03354478587458402
Q1,3,extra_trees,smooth,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.0668066670541794
Q1,4,extra_trees,smooth,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.04038975655506088
Q1,0,extra_trees,mid,uniform,160,160,1.0,1.0,0.0,0.038098353135146604
Q1,1,extra_trees,mid,uniform,160,160,1.0,1.0,0.0,0.039061457415270104
Q1,2,extra_trees,mid,uniform,160,160,1.0,1.0,0.0,0.037512145989602445
Q1,3,extra_trees,mid,uniform,160,160,1.0,1.0,0.0,0.050399824698482705
Q1,4,extra_trees,mid,uniform,160,160,1.0,1.0,0.0,0.03039223287611152
Q1,0,extra_trees,mid,subject_class,160,160,0.7803439410884278,1.381378822297987,0.18248271417243525,0.03803954925867498
Q1,1,extra_trees,mid,subject_class,160,160,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.03773612605796952
Q1,2,extra_trees,mid,subject_class,160,160,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.03721533384010934
Q1,3,extra_trees,mid,subject_class,160,160,0.772075309860778,1.3967627532667717,0.18590042838559823,0.04860716005132108
Q1,4,extra_trees,mid,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.030274131399223622
Q1,0,extra_trees,mid,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.03389551629480331
Q1,1,extra_trees,mid,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.039324392706171316
Q1,2,extra_trees,mid,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.038490762363383724
Q1,3,extra_trees,mid,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.05912008468122767
Q1,4,extra_trees,mid,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.03360173783759659
Q1,0,extra_trees,mid,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,0.034412059050334946
Q1,1,extra_trees,mid,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.03318211288461859
Q1,2,extra_trees,mid,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.03191818798717605
Q1,3,extra_trees,mid,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.06177743989890128
Q1,4,extra_trees,mid,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.03512387657908109
Q1,0,extra_trees,wide,uniform,160,160,1.0,1.0,0.0,0.061686126637186346
Q1,1,extra_trees,wide,uniform,160,160,1.0,1.0,0.0,0.07259172491646841
Q1,2,extra_trees,wide,uniform,160,160,1.0,1.0,0.0,0.06342625048757099
Q1,3,extra_trees,wide,uniform,160,160,1.0,1.0,0.0,0.08473443153864861
Q1,4,extra_trees,wide,uniform,160,160,1.0,1.0,0.0,0.05598424535639055
Q1,0,extra_trees,wide,subject_class,160,160,0.7803439410884278,1.381378822297987,0.18248271417243525,0.06220215648877357
Q1,1,extra_trees,wide,subject_class,160,160,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.0701046451619391
Q1,2,extra_trees,wide,subject_class,160,160,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.06108301297997467
