target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,extra_trees_residual_composite,composite
Q2,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.6928798566239225,0.6380843693004014,0.0,0.0,0.6562648363636676,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004014,extra_trees_residual_composite,composite
Q3,extra_trees|mid|uniform|top160,extra_trees,mid,uniform,160,0.15,0.6632304684639525,0.6331537820840671,0.0005499223357517957,-0.0015382261566863065,0.6437065944716697,0.6941265244621162,0.6728553076667237,0.6994345266619685,0.6144345952066681,0.6331537820840671,extra_trees_residual_composite,composite
S1,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.492352153213852,0.4495444660169762,0.0,0.0,0.4550615390427477,0.470478165353136,0.4862291390835621,0.5290528261383755,0.5258050908732016,0.4495444660169762,extra_trees_residual_composite,composite
S2,extra_trees|mid|subject_class|top80,extra_trees,mid,subject_class,80,0.65,0.5707654894463567,0.5908866728047609,0.010645083756648521,-0.03192865009067247,0.6047087296715844,0.5786634076901955,0.5421922025119749,0.5405480950816453,0.6015204014957446,0.5908866728047609,extra_trees_residual_composite,composite
S3,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.5415513745216881,0.6006790249905736,0.0,0.0,0.6088767491599665,0.5039339129482664,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905736,extra_trees_residual_composite,composite
S4,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5941676182721094,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,extra_trees_residual_composite,composite
Q1,extra_trees|smooth|uniform|top80,extra_trees,smooth,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,extra_trees_residual_last,last
Q2,extra_trees|wide|uniform|top160,extra_trees,wide,uniform,160,0.05,0.6947625360070546,0.6380611946347358,0.0018826793831321353,-2.3174665665592897e-05,0.6581517649388143,0.7160117732426966,0.6305227342056334,0.8011558178185275,0.6868960485760747,0.6380611946347358,extra_trees_residual_last,last
Q3,extra_trees|mid|uniform|top160,extra_trees,mid,uniform,160,0.65,0.6685208127226051,0.6305905336386299,0.0058402665944043974,-0.0041014746021235116,0.6480510875801662,0.694807379718796,0.6759690542169535,0.7190944842000554,0.6201535247170932,0.6305905336386299,extra_trees_residual_last,last
