target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,0,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,108031551895.32762
Q1,1,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.20657473575196608
Q1,2,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.2211426744021055
Q1,3,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.21729985111334463
Q1,4,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.31089967026743454
Q1,0,ridge,ridge1,subject_class,80,80,0.7803439410884278,1.381378822297987,0.18248271417243525,95236879042.41168
Q1,1,ridge,ridge1,subject_class,80,80,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.20834948324034225
Q1,2,ridge,ridge1,subject_class,80,80,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.21621250160523145
Q1,3,ridge,ridge1,subject_class,80,80,0.772075309860778,1.3967627532667717,0.18590042838559823,0.21417565821541149
Q1,4,ridge,ridge1,subject_class,80,80,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.3155687035510058
Q1,0,ridge,ridge1,recent_class,80,80,0.4095449895186069,2.3105241127612466,0.4016963569407968,125031400209.45729
Q1,1,ridge,ridge1,recent_class,80,80,0.30125428729861015,2.464651984031339,0.4786016867663399,0.21925061184506034
Q1,2,ridge,ridge1,recent_class,80,80,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.19513310063813633
Q1,3,ridge,ridge1,recent_class,80,80,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.253675212213584
Q1,4,ridge,ridge1,recent_class,80,80,0.38940514838796436,2.413617042531497,0.4181697105114215,0.31190178845490096
Q1,0,ridge,ridge1,recent_resid,80,80,0.20252040756744824,3.295445890188341,0.5933096697406969,135997575475.86606
Q1,1,ridge,ridge1,recent_resid,80,80,0.12853003809724428,3.498493446423684,0.6871302208823948,0.23424058520625596
Q1,2,ridge,ridge1,recent_resid,80,80,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.23448705484362226
Q1,3,ridge,ridge1,recent_resid,80,80,0.15922850470520497,4.262440537323417,0.8412991435760283,0.30886735579693564
Q1,4,ridge,ridge1,recent_resid,80,80,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.330177397859813
Q1,0,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,101524461977.79129
Q1,1,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.1904472157503933
