target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,ridge|logit_newton|ridge3|subject_class|top40,ridge,ridge3,subject_class,40,0.35,0.5898889020581386,0.5984797793482458,-0.0005359818134891281,-0.02002609215496698,0.5990260908935917,0.5334081970299093,0.6319211600914815,0.5923280621961026,0.5964368233202003,0.5984797793482458,ridge_residual_composite,composite
Q2,ridge|logit_newton|ridge100|subject_class|top80,ridge,ridge100,subject_class,80,0.08,0.6940407398314826,0.636451957923523,0.0011608832075601372,-0.0016324113768783066,0.6545986493930669,0.716926608357212,0.6253969209766422,0.7945970969750168,0.6953431248797436,0.636451957923523,ridge_residual_composite,composite
Q3,ridge|logit_newton|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.01,0.6633066442802005,0.6336411202130555,0.0006260981519997655,-0.001050888027697927,0.6440315916331624,0.6958513088256187,0.6726186619002096,0.6978971377170513,0.6142788353574411,0.6336411202130555,ridge_residual_composite,composite
S1,ridge|logit_newton|ridge100|uniform|top80,ridge,ridge100,uniform,80,0.08,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.4496684978108441,0.46809116128165495,0.48871062920434066,0.5326688299710852,0.526555860303115,0.44330326196597186,ridge_residual_composite,composite
S2,ridge|logit_newton|ridge0p3|recent_resid|top120,ridge,ridge0p3,recent_resid,120,0.2,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5890295980275948,0.5811762406736896,0.5229038119399869,0.5379154323735896,0.5573777572702442,0.5841610094151621,ridge_residual_composite,composite
S3,ridge|logit_newton|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.12,0.541209717317181,0.5941015221800663,-0.00034165720450707315,-0.006577502810507285,0.6008332102838841,0.4997927614632474,0.5314159018556565,0.5770462585027221,0.5101814643001433,0.5941015221800663,ridge_residual_composite,composite
S4,ridge|logit_newton|ridge0p3|recent_class|top40,ridge,ridge0p3,recent_class,40,0.2,0.6244708200036657,0.5794766364134205,-0.006328217600959252,-0.009177748227569671,0.5865903733073708,0.6550866158787237,0.576433022343837,0.6430442620060609,0.6646134759143686,0.5794766364134205,ridge_residual_composite,composite
Q1,ridge|logit_newton|ridge1|subject_class|top40,ridge,ridge1,subject_class,40,0.5,0.5979150589904834,0.5963948403265755,0.007490175118855635,-0.022111031176637264,0.6054246329317184,0.5403187647100796,0.6441173111728568,0.5952786240204352,0.6158103103293721,0.5963948403265755,ridge_residual_last,last
Q2,ridge|logit_newton|ridge100|subject_class|top120,ridge,ridge100,subject_class,120,0.12,0.6987415814488945,0.6356930614589933,0.005861724824972048,-0.0023913078414080635,0.6574556655066073,0.7293537135195803,0.6222499048566729,0.7971830155231797,0.7069709003915488,0.6356930614589933,ridge_residual_last,last
Q3,ridge|logit_newton|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.03,0.6651778505733567,0.6324722584320684,0.0024973044451559456,-0.002219749808685001,0.6451695383963704,0.6990590271950662,0.6728578657342611,0.703401787451977,0.6157127486830949,0.6324722584320684,ridge_residual_last,last
S1,ridge|logit_newton|ridge100|uniform|top80,ridge,ridge100,uniform,80,0.08,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.4496684978108441,0.46809116128165495,0.48871062920434066,0.5326688299710852,0.526555860303115,0.44330326196597186,ridge_residual_last,last
S2,ridge|logit_newton|ridge0p3|recent_resid|top120,ridge,ridge0p3,recent_resid,120,0.2,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5890295980275948,0.5811762406736896,0.5229038119399869,0.5379154323735896,0.5573777572702442,0.5841610094151621,ridge_residual_last,last
S3,ridge|logit_newton|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.08,0.5396319056080582,0.5940046405432852,-0.0019194689136299292,-0.006674384447288406,0.6011822912215214,0.5001137912045779,0.5301056816996078,0.5726051749125719,0.5077393460004549,0.5940046405432852,ridge_residual_last,last
S4,ridge|logit_newton|ridge0p3|recent_class|top40,ridge,ridge0p3,recent_class,40,0.35,0.6239135387292193,0.5786130379354122,-0.006885498875405682,-0.010041346705577991,0.5866348133076776,0.658460074484369,0.5678606726848935,0.6408104943495565,0.6698750814344756,0.5786130379354122,ridge_residual_last,last
Q1,ridge|logit_newton|ridge10|subject_class|top40,ridge,ridge10,subject_class,40,0.2,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.6090954778720524,0.5344377418210166,0.6279702835911901,0.5925123364637841,0.582113197442527,0.606532805999241,ridge_residual_full,full
Q2,ridge|logit_newton|ridge0p3|recent_resid|top80,ridge,ridge0p3,recent_resid,80,0.08,0.6911827255634775,0.6511152110271726,-0.0016971310604450007,0.01303084172677127,0.6682803480283349,0.7044524673235838,0.6259293080783636,0.7943954753534919,0.6801986846623773,0.6511152110271726,ridge_residual_full,full
Q3,ridge|logit_newton|ridge0p3|uniform|top40,ridge,ridge0p3,uniform,40,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,ridge_residual_full,full
