target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top160,ridge,ridge0p3,recent_class,160,0.08,0.5924672431978325,0.6135258829518379,0.002042359326204779,-0.0049799885513749365,0.6192699014872367,0.5542367210370404,0.630689163826357,0.5918052744143457,0.5751262948674579,0.6135258829518379
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top160,ridge,ridge0p3,subject_class,160,0.08,0.595737023654565,0.6127293099672864,0.00531213978293732,-0.005776561535926428,0.6200126742030347,0.5561338211967012,0.6290752976727736,0.6057494066589107,0.5781885319718877,0.6127293099672864
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.05,0.5906128322632971,0.6154746946712288,0.00018794839166935695,-0.0030311768319839505,0.6201951702568274,0.5475928953525785,0.630965459226959,0.5899229179916747,0.5726156795605892,0.6154746946712288
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top240,ridge,ridge0p3,subject_class,240,0.05,0.5915635331951209,0.6155390615196447,0.0011386493234931683,-0.0029668099835681305,0.6208910439545084,0.5484428358440047,0.6319072959382632,0.5888782258323055,0.576437939558564,0.6155390615196447
Q1,ridge|logit_newton|bins_te|ridge0p3|uniform|top160,ridge,ridge0p3,uniform,160,0.05,0.5929510756436142,0.6150926162069734,0.00252619177198643,-0.0034132552962393703,0.6209528739982497,0.5496082262364584,0.6291692350178822,0.6002294950271908,0.5742608156104397,0.6150926162069734
Q1,ridge|logit_newton|bins_te|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.05,0.5916521618415921,0.6157526651466764,0.0012272779699643577,-0.0027532063565364195,0.6212099231655287,0.5488295087183537,0.6317671593302132,0.588965220552342,0.576329033575273,0.6157526651466764
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top80,ridge,ridge0p3,subject_class,80,0.12,0.5902180054138333,0.6167175074283762,-0.00020687845779443492,-0.0017883640748366236,0.6214557760739655,0.555476724148252,0.6196892549923638,0.5865821147703791,0.5757788704025332,0.6167175074283762
Q1,ridge|logit_newton|bins_te|ridge1|subject_class|top80,ridge,ridge1,subject_class,80,0.12,0.5890982769386783,0.6169075071814675,-0.0013266069329493924,-0.0015983643217453158,0.6216863296672799,0.5512523640029873,0.6185910693285178,0.5859163303638394,0.5762163467119095,0.6169075071814675
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top240,ridge,ridge0p3,recent_class,240,0.03,0.5908429134175314,0.6168789458215598,0.00041802954590364205,-0.001626925681653013,0.6218864121149593,0.5449296914039466,0.6321442054758941,0.5902127227643696,0.5737630511880297,0.6168789458215598
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top240,ridge,ridge0p3,recent_resid,240,0.03,0.5909751348343358,0.6169759509281832,0.0005502509627081098,-0.001529920575029542,0.6220792014850223,0.5445041967708131,0.6327100383980605,0.5902573597404308,0.5741614835378777,0.6169759509281832
Q1,ridge|logit_newton|bins_te|ridge3|subject_class|top80,ridge,ridge3,subject_class,80,0.08,0.5880426420446554,0.6175452743362996,-0.002382241826972331,-0.000960597166913213,0.6224838960684878,0.5431739051312006,0.6223760079780405,0.5873061255753368,0.5737050971144401,0.6175452743362996
Q1,ridge|logit_newton|bins_te|ridge1|subject_class|top160,ridge,ridge1,subject_class,160,0.03,0.5914974604058074,0.6174059364535677,0.0010725765341796922,-0.0010999350496451177,0.6227268486045756,0.5449204878373733,0.6303910258266472,0.5959897943069191,0.5726837471458885,0.6174059364535677
Q1,ridge|logit_newton|bins_te|ridge0p3|uniform|top80,ridge,ridge0p3,uniform,80,0.05,0.5896841245142901,0.6178704923523686,-0.0007407593573376392,-0.0006353791508442175,0.6227945144419029,0.5465411622583211,0.6258996264876516,0.5901838997847698,0.5716967535769524,0.6178704923523686
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top160,ridge,ridge1,recent_class,160,0.03,0.59033270310816,0.6179159333652746,-9.218076346773074e-05,-0.000589938137938173,0.622814750794023,0.5442036941627384,0.631036640719177,0.5902124235066497,0.5721371817926725,0.6179159333652746
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top80,ridge,ridge0p3,recent_class,80,0.03,0.5904491792780292,0.6178838583441609,2.429540640147554e-05,-0.0006220131590518596,0.6228184370893012,0.5475836003079989,0.6284455782186752,0.5914459693659908,0.5706128325768461,0.6178838583441609
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top120,ridge,ridge0p3,recent_resid,120,0.03,0.5906222059191045,0.6179700765498035,0.00019732204747680004,-0.0005357949534092743,0.622903997749693,0.545445086804898,0.6291460651558258,0.5939111395272711,0.5705360516793234,0.6179700765498035
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top80,ridge,ridge1,recent_class,80,0.05,0.5904955258909076,0.6179206884874425,7.064201927986513e-05,-0.0005851830157702631,0.6229207409968721,0.5499967017900811,0.6263937592298348,0.5900822209031265,0.571659054176132,0.6179206884874425
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.05,0.5892656532063597,0.6179828522045935,-0.0011592306652680184,-0.0005230192986193094,0.6229219696114504,0.5449119586468288,0.6254189272638344,0.5899135959541909,0.5719653473521421,0.6179828522045935
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top160,ridge,ridge1,uniform,160,0.03,0.5910613163614804,0.617767237143711,0.0006364324898526785,-0.000738634359501833,0.6229313495425495,0.5449815679064774,0.6302466173244206,0.5937861514264019,0.5724011511240635,0.617767237143711
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top40,ridge,ridge0p3,subject_class,40,0.05,0.5894554727195398,0.6181252394092942,-0.0009694111520879289,-0.000380632093918587,0.6229355524039323,0.5410396144374692,0.6280087058562459,0.5886515217618367,0.5754442621371799,0.6181252394092942
Q1,ridge|logit_newton|bins_te|ridge100|subject_class|top40,ridge,ridge100,subject_class,40,0.08,0.5904811013593013,0.6184905471427222,5.621748767359325e-05,-1.532436049056507e-05,0.6230929250980798,0.5392709862799692,0.6302289409684654,0.5950127437195843,0.5736494542033339,0.6184905471427222
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top120,ridge,ridge0p3,recent_class,120,0.02,0.5905191521202783,0.6182108611460487,9.426824865055305e-05,-0.00029501035716406054,0.6230968502335706,0.5446126225270692,0.6293858109527017,0.5936630132222251,0.5706707929273384,0.6182108611460487
Q1,ridge|logit_newton|bins_te|ridge10|subject_class|top80,ridge,ridge10,subject_class,80,0.05,0.5883493307242095,0.6181430396289285,-0.002075553147418252,-0.0003628318742843195,0.6231192210298054,0.5399876460570232,0.6261112185573614,0.589817468989871,0.5718258892548306,0.6181430396289285
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top80,ridge,ridge0p3,recent_resid,80,0.02,0.5904310697511523,0.6182159213810561,6.185879524611693e-06,-0.00028995012215671245,0.6231595827061662,0.5458555642774299,0.6295744413170395,0.592100614957627,0.5702551778917712,0.6182159213810561
Q1,ridge|logit_newton|bins_te|ridge1|subject_class|top40,ridge,ridge1,subject_class,40,0.03,0.5895955814444104,0.6182927112444224,-0.0008293024272173488,-0.00021316025879036804,0.6231611497643994,0.5410769260146454,0.6291148129705737,0.5908265414070376,0.5727323032821526,0.6182927112444224
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top120,ridge,ridge0p3,subject_class,120,0.02,0.5905587757739748,0.618319293110751,0.00013389190234702752,-0.0001865783924618336,0.6232532321073814,0.5452003352931917,0.6288517486221393,0.5932881630158202,0.5710484600111513,0.618319293110751
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top80,ridge,ridge3,uniform,80,0.03,0.5893430148453388,0.6183392234361024,-0.0010818690262889286,-0.0001666480671104198,0.6232943884795981,0.5423729029685883,0.6276879678038816,0.5911488482781275,0.5712021229416419,0.6183392234361024
Q1,ridge|logit_newton|bins_te|ridge0p3|uniform|top40,ridge,ridge0p3,uniform,40,0.02,0.5900291622258594,0.6184312655598742,-0.0003957216457682877,-7.46059433386348e-05,0.623296925552248,0.5420802678324657,0.6297934240247252,0.5917420145311943,0.5721356167029461,0.6184312655598742
Q1,ridge|logit_newton|bins_te|ridge30|subject_class|top80,ridge,ridge30,subject_class,80,0.03,0.5900546068459196,0.6183703789625763,-0.00037027702570813226,-0.00013549254063649485,0.623299663267486,0.5443495808723867,0.6286883901635112,0.5918995712995524,0.5709019220519558,0.6183703789625763
Q1,ridge|logit_newton|bins_te|ridge1|subject_class|top120,ridge,ridge1,subject_class,120,0.01,0.590455086916117,0.618420991263514,3.020304448930755e-05,-8.488023969877023e-05,0.6233026077377908,0.5437551716994148,0.6300892451196657,0.5933715891401522,0.5706312350899632,0.618420991263514
Q1,ridge|logit_newton|bins_te|ridge1|recent_resid|top120,ridge,ridge1,recent_resid,120,0.01,0.5904394761250612,0.6184344373584948,1.4592253433476365e-05,-7.14341447179967e-05,0.6233091065231298,0.5432759912272525,0.6305710169281256,0.5934731592694338,0.5704617292093067,0.6184344373584948
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.01,0.5904586764518471,0.6184324336415241,3.379258021940501e-05,-7.343786168867439e-05,0.623315705794853,0.5434558575774561,0.6303694565094808,0.5935079143608379,0.5705387260200747,0.6184324336415241
Q1,ridge|logit_newton|bins_te|ridge100|uniform|top40,ridge,ridge100,uniform,40,0.02,0.5904326163287708,0.6185318939054536,7.73245714302817e-06,2.602240224081065e-05,0.6233432493134526,0.5418917404108965,0.6308503822552742,0.5939699668519887,0.5710220786675071,0.6185318939054536
Q1,ridge|logit_newton|bins_te|ridge1|subject_class|top240,ridge,ridge1,subject_class,240,0.01,0.5903927764764605,0.6184346009854945,-3.210739516723571e-05,-7.127051771826931e-05,0.6233560067059988,0.5430557839755945,0.6314159212826181,0.5922395182104332,0.5708085979529927,0.6184346009854945
Q1,ridge|logit_newton|bins_te|ridge1|recent_resid|top160,ridge,ridge1,recent_resid,160,0.01,0.590246645638655,0.6184310854030088,-0.00017823823297269392,-7.47861002039496e-05,0.6233700114119721,0.542801451607099,0.6312241888824267,0.5920047846496689,0.5707734960218998,0.6184310854030088
Q1,ridge|logit_newton|bins_te|ridge3|subject_class|top120,ridge,ridge3,subject_class,120,0.01,0.590465640799787,0.6184761647052186,4.075692815930232e-05,-2.970679799418896e-05,0.6233700210353804,0.543534466526447,0.6302592709063471,0.5933799747017431,0.570684160590298,0.6184761647052186
Q1,ridge|logit_newton|bins_te|ridge3|subject_class|top40,ridge,ridge3,subject_class,40,0.01,0.5901138104655519,0.6184831712184142,-0.00031107340607583467,-2.2700284798560233e-05,0.6233746248375508,0.5420098338478733,0.6305550231146606,0.5927997115596283,0.5707948265901512,0.6184831712184142
