target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top160,ridge,ridge0p3,recent_class,160,0.08,0.5924672431978325,0.6135258829518379,0.002042359326204779,-0.0049799885513749365,0.6192699014872367,0.5542367210370404,0.630689163826357,0.5918052744143457,0.5751262948674579,0.6135258829518379,ridge_residual_composite,composite
Q2,ridge|logit_newton|bins_te|ridge100|subject_class|top120,ridge,ridge100,subject_class,120,0.08,0.6943304631474775,0.6338739480475895,0.001450606523554998,-0.004210421252811902,0.65232989043294,0.7203734682589511,0.6237606727621127,0.7946798019842466,0.6971417533159723,0.6338739480475895,ridge_residual_composite,composite
Q3,ridge|logit_newton|bins_te|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.02,0.6649253303028172,0.6308070941742566,0.0022447841746164876,-0.003884914066496825,0.6437533399754468,0.693174153349425,0.6762352203845322,0.706220023178338,0.6160602633909271,0.6308070941742566,ridge_residual_composite,composite
S1,ridge|logit_newton|bins_te|ridge3|recent_class|top240,ridge,ridge3,recent_class,240,0.05,0.4924104682661646,0.44635203258277484,5.831505231257417e-05,-0.003192433434201336,0.4518044573473172,0.47342837836162366,0.4895871916047168,0.5252448704513942,0.5263198787926597,0.44635203258277484,ridge_residual_composite,composite
S2,ridge|logit_newton|bins_te|ridge10|recent_class|top80,ridge,ridge10,recent_class,80,0.2,0.56282268571566,0.6059516973098132,0.002702280025951742,-0.016863625585620157,0.616496960001446,0.5983396561734854,0.5219377723767229,0.5328453528225819,0.5553331717534365,0.6059516973098132,ridge_residual_composite,composite
S3,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.03,0.5429894625421182,0.598819715316213,0.001438088020430106,-0.001859309674360543,0.6076651910637219,0.5072644070172685,0.5317112293459989,0.5699712043188175,0.5133217123614588,0.598819715316213,ridge_residual_composite,composite
S4,ridge|logit_newton|bins_te|ridge0p3|recent_class|top40,ridge,ridge0p3,recent_class,40,0.08,0.6309899963556173,0.5849838605718231,0.0001909587509922872,-0.003670524069167125,0.5918959768164096,0.6574681182817963,0.5988287610923331,0.6445354057507189,0.6653831429580944,0.5849838605718231,ridge_residual_composite,composite
Q1,ridge|logit_newton|bins_te|ridge0p3|subject_class|top160,ridge,ridge0p3,subject_class,160,0.2,0.6138911516003381,0.6102843032135797,0.02346626772871041,-0.008221568289633052,0.6348573155119598,0.5940212535770112,0.6327800466067289,0.637826464309103,0.5959683544699826,0.6102843032135797,ridge_residual_last,last
Q2,ridge|logit_newton|bins_te|ridge100|uniform|top120,ridge,ridge100,uniform,120,0.12,0.6978839754840116,0.6329524797654529,0.005004118860089113,-0.005131889534948475,0.6535817131492155,0.7295767514188649,0.6202152004996823,0.7942555699168601,0.7099226747779644,0.6329524797654529,ridge_residual_last,last
Q3,ridge|logit_newton|bins_te|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.12,0.6861389688287172,0.6227638372176388,0.023458422700516457,-0.011928171023114609,0.6622682998766064,0.6950485124737101,0.7035298527700757,0.774645371482836,0.633054855295104,0.6227638372176388,ridge_residual_last,last
S1,ridge|logit_newton|bins_te|ridge1|recent_resid|top240,ridge,ridge1,recent_resid,240,0.05,0.4921635559757896,0.4462078593411809,-0.00018859723806241568,-0.003336606675795273,0.4518359790502795,0.47178184285902103,0.48852205139999305,0.5252996336675286,0.5279646443225942,0.4462078593411809,ridge_residual_last,last
S2,ridge|logit_newton|bins_te|ridge100|recent_class|top40,ridge,ridge100,recent_class,40,0.5,0.5831923099270798,0.600229458518873,0.0230719042373716,-0.022585864376560405,0.623401545422508,0.6205217214409466,0.537091533303578,0.5531935670182162,0.6034187750325629,0.600229458518873,ridge_residual_last,last
S3,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.05,0.5445600978096841,0.5984109198507523,0.0030087232879959513,-0.0022681051398212304,0.6082261868379567,0.5099438978163526,0.5324774686096226,0.5722744263951545,0.5156796304202323,0.5984109198507523,ridge_residual_last,last
S4,ridge|logit_newton|bins_te|ridge0p3|recent_class|top40,ridge,ridge0p3,recent_class,40,0.2,0.6358809354536441,0.5830210692368292,0.005081897849019135,-0.00563331540416101,0.5957298954696955,0.6644161378859592,0.6076933546655691,0.6435723230766418,0.6762157941157356,0.5830210692368292,ridge_residual_last,last
Q1,ridge|logit_newton|bins_te|ridge10|subject_class|top80,ridge,ridge10,subject_class,80,0.12,0.5871829614393039,0.6189710553426604,-0.003241922432323796,0.00046518383944760267,0.6240551337782951,0.539013659913167,0.6204300253172846,0.5862006865952915,0.5754802475555074,0.6189710553426604,ridge_residual_full,full
Q2,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top40,ridge,ridge0p3,recent_resid,40,0.08,0.6898804919422968,0.635809916022891,-0.002999364681625649,-0.002274453277510302,0.6539460876133071,0.7163148594559958,0.6246409071443026,0.7930545218245842,0.6782565537700364,0.635809916022891,ridge_residual_full,full
Q3,ridge|logit_newton|bins_te|ridge0p3|uniform|top40,ridge,ridge0p3,uniform,40,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,ridge_residual_full,full
S1,ridge|logit_newton|bins_te|ridge0p3|recent_class|top240,ridge,ridge0p3,recent_class,240,0.03,0.4910643082509548,0.4485522902351876,-0.0012878449628971889,-0.0009921757817885624,0.4537625358044009,0.4696506533200237,0.48661541063478503,0.5242551146298274,0.5254805442016071,0.4485522902351876,ridge_residual_full,full
S2,ridge|logit_newton|bins_te|ridge0p3|recent_resid|top80,ridge,ridge0p3,recent_resid,80,0.08,0.5578306344512246,0.6112469364469745,-0.0022897712384836177,-0.011568386448458923,0.6207986241589384,0.5782249715573807,0.5221137739604954,0.5282728432722235,0.5509457139422673,0.6112469364469745,ridge_residual_full,full
S3,ridge|logit_newton|bins_te|ridge0p3|subject_class|top40,ridge,ridge0p3,subject_class,40,0.12,0.538635945098123,0.6062560555155727,-0.0029154294235651523,0.005577030524999138,0.6162044136056725,0.5051657892552961,0.5251187969903021,0.5604144136290202,0.5028723260506296,0.6062560555155727,ridge_residual_full,full
S4,ridge|logit_newton|bins_te|ridge0p3|recent_class|top240,ridge,ridge0p3,recent_class,240,0.05,0.6288064158993424,0.5855204897697137,-0.0019926217052825823,-0.003133894871276466,0.5921701990219934,0.6535509814756131,0.5947127026284709,0.6427553370464525,0.664010732800181,0.5855204897697137,ridge_residual_full,full
