target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.2,0.5855061662467678,0.6122964059937439,-0.0049187176248599584,-0.006209465509468881,0.6160101934850893,0.5357277727096492,0.6142860294421408,0.5767375834163517,0.5921484162009542,0.6122964059937439,ridge_residual_composite,composite
Q2,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.0,0.6928798566239225,0.6380843693004012,0.0,-1.1102230246251565e-16,0.6562648363636675,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,ridge_residual_composite,composite
Q3,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,ridge_residual_composite,composite
S1,ridge|logit_newton|bins_te|ridge10|recent_class|top80,ridge,ridge10,recent_class,80,0.02,0.49272978712192095,0.44850507445277377,0.0003776339080689417,-0.0010393915642024076,0.45452627249189653,0.4698458051471985,0.48763422337619644,0.5303339052478852,0.5266595977840339,0.44850507445277377,ridge_residual_composite,composite
S2,ridge|logit_newton|bins_te|ridge1|recent_resid|top40,ridge,ridge1,recent_resid,40,0.35,0.5751619362192789,0.5888494846391424,0.01504153052957069,-0.03396583825629096,0.6045032426029372,0.6160932989192742,0.5271641217767805,0.5507078139507616,0.5912920768973997,0.5888494846391424,ridge_residual_composite,composite
S3,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.02,0.5412942780369375,0.6004714955654407,-0.0002570964847505852,-0.00020752942513291295,0.6086092299658504,0.5035560750666084,0.5300368990224904,0.5688805617219735,0.5099964134027616,0.6004714955654407,ridge_residual_composite,composite
S4,ridge|logit_newton|bins_te|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.12,0.6303357605200447,0.5841608779954007,-0.0004632770845802714,-0.004493506645589451,0.5906737669186803,0.6620808487480649,0.597239753714949,0.6421464625195162,0.6620003371820559,0.5841608779954007,ridge_residual_composite,composite
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.2,0.5855061662467678,0.6122964059937439,-0.0049187176248599584,-0.006209465509468881,0.6160101934850893,0.5357277727096492,0.6142860294421408,0.5767375834163517,0.5921484162009542,0.6122964059937439,ridge_residual_last,last
Q2,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.0,0.6928798566239225,0.6380843693004012,0.0,-1.1102230246251565e-16,0.6562648363636675,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,ridge_residual_last,last
Q3,ridge|logit_newton|bins_te|ridge1|uniform|top120,ridge,ridge1,uniform,120,0.05,0.6697597501503078,0.6316587770521578,0.007079204022107044,-0.003033231188595664,0.6501807125801339,0.7010710775685954,0.676926943778612,0.7186982648374769,0.6181685709850199,0.6316587770521578,ridge_residual_last,last
S1,ridge|logit_newton|bins_te|ridge10|recent_class|top80,ridge,ridge10,recent_class,80,0.03,0.4930814507176444,0.4482570890062747,0.0007292975037924143,-0.0012873770107014737,0.4546865604336694,0.46958901060471425,0.48836882698025696,0.5313101376442408,0.5272196580446395,0.4482570890062747,ridge_residual_last,last
S2,ridge|logit_newton|bins_te|ridge1|recent_resid|top40,ridge,ridge1,recent_resid,40,0.5,0.5957198883965971,0.5887536753908026,0.03559948270688884,-0.03406164750463081,0.6235572490543301,0.6489918506676509,0.5393716625887773,0.5797996922167773,0.6183567840238298,0.5887536753908026,ridge_residual_last,last
S3,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.02,0.5412942780369375,0.6004714955654407,-0.0002570964847505852,-0.00020752942513291295,0.6086092299658504,0.5035560750666084,0.5300368990224904,0.5688805617219735,0.5099964134027616,0.6004714955654407,ridge_residual_last,last
S4,ridge|logit_newton|bins_te|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.2,0.6321386286066644,0.5827091323710507,0.0013395910020393975,-0.005945252269939472,0.5909113963043461,0.6674307518342372,0.6004142237694309,0.6408562577295139,0.6647597819119967,0.5827091323710507,ridge_residual_last,last
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.2,0.5855061662467678,0.6122964059937439,-0.0049187176248599584,-0.006209465509468881,0.6160101934850893,0.5357277727096492,0.6142860294421408,0.5767375834163517,0.5921484162009542,0.6122964059937439,ridge_residual_full,full
Q2,ridge|logit_newton|bins_te|ridge1|recent_resid|top40,ridge,ridge1,recent_resid,40,0.02,0.692748402625535,0.6402496088524294,-0.00013145399838743188,0.0021652395520280754,0.658214934142662,0.7114412215913796,0.6311646818651453,0.7965853546476425,0.6834412210893676,0.6402496088524294,ridge_residual_full,full
Q3,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,ridge_residual_full,full
S1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.01,0.4922260870065547,0.4491562441315338,-0.0001260662072973262,-0.0003882218854423525,0.4549471573706787,0.4692555416461348,0.4867122640354755,0.5304858544650388,0.5249517662113709,0.4491562441315338,ridge_residual_full,full
S2,ridge|logit_newton|bins_te|ridge1|recent_resid|top80,ridge,ridge1,recent_resid,80,0.08,0.557305381933929,0.6114016780282701,-0.0028150237557792446,-0.011413644867163342,0.62122864381178,0.576521458528552,0.5249478254944415,0.5276028496651883,0.5477960196387022,0.6114016780282701,ridge_residual_full,full
S3,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.12,0.5400060336915486,0.6067641814973499,-0.0015453408301394633,0.006085156506776324,0.6166371351171193,0.5062393820357874,0.5282776424109309,0.5642487868016357,0.5011852718965238,0.6067641814973499,ridge_residual_full,full
S4,ridge|logit_newton|bins_te|ridge1|recent_resid|top40,ridge,ridge1,recent_resid,40,0.08,0.6299273666497643,0.5863976957594075,-0.0008716709548606261,-0.0022566888815827024,0.5925632500700516,0.6588504830001667,0.5967371214189331,0.6430003816077744,0.660940696013422,0.5863976957594075,ridge_residual_full,full
