target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.2,0.5855061662467678,0.6122964059937439,-0.0049187176248599584,-0.006209465509468881,0.6160101934850893,0.5357277727096492,0.6142860294421408,0.5767375834163517,0.5921484162009542,0.6122964059937439
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.12,0.5862670797669994,0.6132288442105011,-0.004157804104628293,-0.005277027292711733,0.6173242342440706,0.5369333667965742,0.6199757710987222,0.5827243762966201,0.5823024616208389,0.6132288442105011
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.08,0.5872345785498507,0.6144599389294368,-0.0031903053217769983,-0.0040459325737759455,0.6187902276078725,0.5382987014749827,0.6233567779268967,0.5860809107110154,0.5778846369713232,0.6144599389294368
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.35,0.587950650299968,0.6157374532322512,-0.0024742335716597674,-0.0027684182709616367,0.6190285945773272,0.537950969917381,0.6073327344887363,0.5681068075409342,0.614000978747427,0.6157374532322512
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.2,0.5857147977501799,0.6155831382124662,-0.004710086121447854,-0.0029227332907465486,0.619679342118934,0.5310759915429512,0.6163585639961542,0.579523034349786,0.5902001834781291,0.6155831382124662
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.12,0.5865108373620604,0.6154727879684306,-0.003914046509567282,-0.003033083534782155,0.61982557704397,0.5342647295859531,0.6213027556126358,0.5845001859826069,0.5811535538211631,0.6154727879684306
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.05,0.5882302746288078,0.6157271791407667,-0.0021946092428198893,-0.0027786923624461,0.6202536548814677,0.5396997845431021,0.6261307605070465,0.5887575331000644,0.5747996890709539,0.6157271791407667
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.08,0.587437951847435,0.616049063335201,-0.0029869320241927566,-0.002456808168011748,0.6205606058880381,0.5365640022672582,0.6242698156600206,0.5872998116605858,0.5771251767172605,0.616049063335201
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.03,0.5890265691074346,0.6167380366322737,-0.0013983147641931648,-0.0017678348709391223,0.6214049986875175,0.5408270506528229,0.6280943653612313,0.5906178456512527,0.5728537967846359,0.6167380366322737
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.05,0.5883769071608261,0.6167646282278523,-0.002047976710801591,-0.0017412432753605156,0.6214089909504589,0.5386374930917756,0.6267148706511939,0.5895358236946998,0.5743279919219053,0.6167646282278523
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.05,0.5908958924177141,0.6167116357618486,0.0004710085460863933,-0.0017942357413641696,0.621610286750927,0.5478504607931959,0.6275781270466693,0.5913625208491403,0.5745863448009823,0.6167116357618486
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.08,0.5920386404902026,0.6162183922164878,0.0016137566185748797,-0.0022874792867250138,0.6218564753095569,0.5529570874222672,0.625846665671917,0.5907566923776456,0.5776842425461223,0.6162183922164878
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.03,0.5904768431102028,0.6172830666838581,5.1959238575038924e-05,-0.0012228048193546615,0.6219818987399263,0.5452437986372418,0.6289189582459773,0.5920551419815306,0.5726909908369968,0.6172830666838581
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.02,0.5894652387485118,0.6172936644393513,-0.0009596451231159708,-0.0012122070638614924,0.6220338043346436,0.5414514553919152,0.6291105942872147,0.5915707845903383,0.5719144458589799,0.6172936644393513
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.08,0.5878933005324247,0.6173437511030481,-0.002531583339203003,-0.0011621204001647234,0.6220449784510913,0.5370509488785732,0.6250173029901317,0.5860118968033364,0.5781571951821106,0.6173437511030481
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.08,0.589290710505176,0.6172192911559459,-0.0011341733664517184,-0.001286580347266919,0.6220848428601731,0.5481127374431792,0.6231773162015025,0.5850329221589646,0.5764223845895186,0.6172192911559459
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.03,0.5891224627852719,0.617378341365808,-0.0013024210863558094,-0.001127530137404742,0.6221178955080577,0.5401987683346442,0.6284502616342814,0.5910914292127945,0.5725719413850767,0.617378341365808
Q1,ridge|logit_newton|bins_te|ridge10|uniform|top40,ridge,ridge10,uniform,40,0.12,0.5874066922579533,0.6177092696028853,-0.003018191613674448,-0.0007966019003274871,0.6222344026366099,0.5330337468362573,0.6231426788630008,0.5875822009449938,0.5799593427549086,0.6177092696028853
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top120,ridge,ridge1,uniform,120,0.05,0.5913521308818867,0.6169570168664307,0.0009272470102589248,-0.0015488546367821154,0.6222364407689323,0.549826619269175,0.6269536437244976,0.5915999109090319,0.5749451636671059,0.6169570168664307
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.05,0.588635816988699,0.6174886950760254,-0.0017890668829286804,-0.0010171764271873496,0.6222435239940043,0.5389565905640258,0.6271665002987562,0.5886833660374424,0.5749715903449255,0.6174886950760254
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.05,0.5893162289949555,0.6173998482557789,-0.0011086548766722215,-0.0011060232474339182,0.6222730754241782,0.5452710818087457,0.6259497742275366,0.5878945260781938,0.5738067629073739,0.6173998482557789
Q1,ridge|logit_newton|bins_te|ridge10|uniform|top40,ridge,ridge10,uniform,40,0.08,0.5880937361711994,0.6176509027307244,-0.0023311477004283043,-0.0008549687724883626,0.6222894842208098,0.5358551520218149,0.6255269599890181,0.5893796063901088,0.5763434767200605,0.6176509027307244
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top120,ridge,ridge1,uniform,120,0.03,0.5907413791947023,0.6174221602961504,0.0003164953230745393,-0.00108371120706241,0.6223411323538448,0.5463991639109506,0.6285470171275623,0.5922040438162749,0.5728910112798091,0.6174221602961504
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.12,0.5872784607559228,0.617685965318417,-0.0031464231157048994,-0.0008199061847957712,0.6223489898915538,0.5349609607625778,0.6224731095220254,0.5827203654898162,0.5827061965499647,0.617685965318417
Q1,ridge|logit_newton|bins_te|ridge1|recent_class|top120,ridge,ridge1,recent_class,120,0.02,0.5903796850206143,0.6176418467875925,-4.5198851013394936e-05,-0.000864024715620304,0.6223753088505978,0.5442249250781148,0.6296456603259267,0.592487363029557,0.571794399600548,0.6176418467875925
Q1,ridge|logit_newton|bins_te|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.12,0.5899345533503869,0.6175311785232098,-0.0004903305212408116,-0.0009746929800029669,0.6223896570114107,0.5531998879477878,0.6199233074622862,0.5818209519122319,0.5803642278111754,0.6175311785232098
Q1,ridge|logit_newton|bins_te|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.02,0.5895318267166967,0.6177265023109357,-0.0008930571549310429,-0.0007793691922770574,0.6225156600380414,0.541035701860248,0.6293496776695776,0.5918887138874065,0.5717269248278795,0.6177265023109357
