candidate,rates,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
anchor,{},0.595829751093375,0.5932822067983344,,
allq_rate_0p735,"{""Q1"": 0.735, ""Q2"": 0.735, ""Q3"": 0.735}",1.0408899679079933,0.8901500074571472,0.44506021681461827,0.2968678006588128
allq_rate_0p72,"{""Q1"": 0.72, ""Q2"": 0.72, ""Q3"": 0.72}",1.0356866105414428,0.8902397808885555,0.43985685944806785,0.29695757409022105
allq_rate_0p74,"{""Q1"": 0.74, ""Q2"": 0.74, ""Q3"": 0.74}",1.0409103389174674,0.8905332765207568,0.44508058782409243,0.2972510697224223
allq_rate_0p73,"{""Q1"": 0.73, ""Q2"": 0.73, ""Q3"": 0.73}",1.0402240718336244,0.8908010847805387,0.4443943207402494,0.2975188779822042
allq_rate_0p715,"{""Q1"": 0.715, ""Q2"": 0.715, ""Q3"": 0.715}",1.0349794091943068,0.8913409071937298,0.43914965810093176,0.2980587003953954
allq_rate_0p725,"{""Q1"": 0.725, ""Q2"": 0.725, ""Q3"": 0.725}",1.0390254107994477,0.8917417040779708,0.44319565970607266,0.2984594972796364
allq_rate_0p745,"{""Q1"": 0.745, ""Q2"": 0.745, ""Q3"": 0.745}",1.0425612486306146,0.8928011831394941,0.4467314975372396,0.29951897634115965
allq_rate_0p75,"{""Q1"": 0.75, ""Q2"": 0.75, ""Q3"": 0.75}",1.0429365183796862,0.8938005274064826,0.44710676728631116,0.3005183206081482
allq_rate_0p71,"{""Q1"": 0.71, ""Q2"": 0.71, ""Q3"": 0.71}",1.0363987915825095,0.8941676124036925,0.4405690404891345,0.30088540560535804
allq_rate_0p705,"{""Q1"": 0.705, ""Q2"": 0.705, ""Q3"": 0.705}",1.039997824899888,0.8990550733809225,0.444168073806513,0.30577286658258807
allq_rate_0p69,"{""Q1"": 0.69, ""Q2"": 0.69, ""Q3"": 0.69}",1.0409822089719747,0.902492531006386,0.4451524578785997,0.3092103242080516
allq_rate_0p695,"{""Q1"": 0.695, ""Q2"": 0.695, ""Q3"": 0.695}",1.0419647304777984,0.9027357480693784,0.44613497938442337,0.30945354127104396
