target,rate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
Q1,0.56,1.4091641327989817,1.3490735724497267,0.818739248927354,0.7305677009465139
Q1,0.555,1.3894343841441241,1.3501572620779523,0.7990095002724964,0.7316513905747395
Q1,0.565,1.4329068917034162,1.3504869097770218,0.8424820078317885,0.731981038273809
Q1,0.55,1.3749236770331952,1.3538697088454126,0.7844987931615675,0.7353638373421998
Q1,0.57,1.4603815017644663,1.3544223215245197,0.8699566178928386,0.7359164500213069
Q1,0.545,1.3507382008049258,1.3605623437558434,0.7603133169332981,0.7420564722526306
Q1,0.575,1.4802583249401844,1.3610491489934156,0.8898334410685567,0.7425432774902028
Q1,0.54,1.3321340044377004,1.3619011265518322,0.7417091205660726,0.7433952550486194
Q1,0.535,1.3182724601641833,1.3636637217702632,0.7278475762925556,0.7451578502670504
Q1,0.58,1.5035975813450595,1.37070520447725,0.9131726974734318,0.7521993329740373
Q1,0.53,1.3070028567025114,1.3762675809111344,0.7165779728308836,0.7577617094079216
Q1,0.485,1.3159200198021157,1.3796049186029207,0.725495135930488,0.7610990470997079
Q1,0.48,1.3396781432340292,1.3810227512443762,0.7492532593624015,0.7625168797411634
Q1,0.585,1.5351435062341154,1.3839665017767548,0.9447186223624877,0.765460630273542
Q1,0.49,1.3004502246709282,1.3875822618581366,0.7100253407993005,0.7690763903549238
Q1,0.475,1.3459266869489308,1.3890050166979022,0.7555018030773031,0.7704991451946894
Q1,0.52,1.2850099406732434,1.399309733581839,0.6945850568016156,0.7808038620786262
Q1,0.515,1.2801479451298678,1.4005441477910598,0.6897230612582401,0.7820382762878471
Q1,0.525,1.2950856966829198,1.401358001876633,0.7046608128112921,0.7828521303734202
Q1,0.59,1.5727543689039905,1.4018010588151273,0.9823294850323627,0.7832951873119145
Q1,0.47,1.358177919089073,1.402597668740213,0.7677530352174453,0.7840917972370003
Q1,0.51,1.279661687498689,1.404346571576081,0.6892368036270613,0.7858407000728682
Q1,0.505,1.2794218293935755,1.41038162238608,0.6889969455219478,0.7918757508828671
Q1,0.495,1.295763139640953,1.4147486734526193,0.7053382557693253,0.7962428019494066
Q1,0.5,1.2846593377026243,1.4184964774793534,0.6942344538309966,0.7999906059761406
Q1,0.465,1.3777338433536575,1.4217090140758326,0.7873089594820297,0.8032031425726198
Q1,0.595,1.608905879672351,1.4259210426852054,1.0184809958007233,0.8074151711819926
Q1,0.46,1.3997932618190942,1.4468976018888808,0.8093683779474665,0.828391730385668
Q1,0.6,1.656829504905016,1.4597201699673166,1.0664046210333882,0.8412142984641038
Q1,0.455,1.4213757397718696,1.472308013345569,0.8309508559002419,0.8538021418423563
Q1,0.605,1.7239906838713508,1.5115946659523407,1.133565799999723,0.8930887944491279
Q1,0.45,1.449833875867353,1.5118592063278526,0.8594089919957253,0.8933533348246399
Q1,0.445,1.48905401818194,1.5703964850165757,0.8986291343103123,0.9518906135133629
Q1,0.61,1.77342550708907,1.5893644940921363,1.1830006232174424,0.9708586225889235
Q1,0.615,1.7969529131359336,1.6087576614846337,1.206528029264306,0.9902517899814209
Q1,0.75,2.012413495870638,1.6209467416780325,1.4219886119990102,1.0024408701748198
Q1,0.745,2.014408010407853,1.6265061643389318,1.423983126536225,1.008000292835719
Q1,0.74,2.01010957180189,1.6327317093764926,1.4196846879302625,1.0142258378732798
Q1,0.735,2.0102290556377302,1.6397807768073733,1.4198041717661025,1.0212749053041605
Q1,0.62,1.8294795106438566,1.640589463265036,1.2390546267722289,1.0220835917618232
Q1,0.73,2.0017492373455057,1.647878239118321,1.411324353473878,1.0293723676151083
Q1,0.44,1.5411527567939742,1.650869258459517,0.9507278729223465,1.0323633869563043
Q1,0.625,1.8616949663665516,1.654442317893431,1.271270082494924,1.0359364463902183
Q1,0.63,1.9017991765070503,1.655324479976659,1.3113742926354226,1.0368186084734463
Q1,0.635,1.9252522949545812,1.6565456926487627,1.3348274110829534,1.03803982114555
Q1,0.725,1.993579161558998,1.6573609413707158,1.4031542776873702,1.038855069867503
Q1,0.64,1.9413875129193217,1.6581278466808647,1.350962629047694,1.0396219751776519
Q1,0.645,1.9455923443724514,1.6601017062620833,1.3551674605008237,1.0415958347588705
Q1,0.65,1.953568923081563,1.6625094181810987,1.3631440392099352,1.0440035466778859
Q1,0.655,1.9703417531420477,1.6654083576974257,1.37991686927042,1.046902486194213
Q1,0.72,1.9915929105860337,1.668766391354076,1.401168026714406,1.0502605198508632
Q1,0.66,1.9817689267279786,1.6688771373855047,1.3913440428563508,1.050371265882292
Q1,0.665,1.9942912501523347,1.6730253062271685,1.403866366280707,1.0545194347239557
Q1,0.67,2.0035510570125563,1.6780097286059292,1.4131261731409286,1.0595038571027164
Q1,0.715,1.9938673275771508,1.6830316330156432,1.403442443705523,1.0645257615124304
Q1,0.675,2.0071946291347347,1.6840639404726276,1.416769745263107,1.0655580689694149
Q1,0.68,2.021607576535777,1.6915550563457593,1.431182692664149,1.0730491848425465
Q1,0.685,2.0217688104581515,1.7011064330109043,1.4313439265865238,1.0826005615076915
Q1,0.71,2.0005396689543655,1.7020226984616909,1.4101147850827378,1.083516826958478
Q1,0.435,1.5942090680521703,1.709631426140993,1.0037841841805426,1.0911255546377803
Q1,0.69,2.0227303551566185,1.7139053112759055,1.4323054712849907,1.0953994397726927
Q1,0.705,2.013820517508494,1.7304011170291835,1.423395633636866,1.1118952455259707
Q1,0.695,2.025977007791162,1.73268128998892,1.4355521239195344,1.1141754184857071
Q1,0.7,2.033097047139461,1.7666068235580794,1.4426721632678332,1.1481009520548666
Q1,0.43,1.6457606299570695,1.782822811317671,1.0553357460854418,1.1643169398144582
Q1,0.425,1.710242267078123,1.8671312799714275,1.1198173832064953,1.2486254084682147
Q1,0.42,1.7631181055984144,1.8778560762001963,1.1726932217267867,1.2593502046969836
Q1,0.415,1.789214176314549,1.887941638437602,1.1987892924429213,1.2694357669343892
Q1,0.41,1.8097707267233236,1.8995857290484113,1.219345842851696,1.2810798575451985
Q1,0.405,1.8284018171145577,1.9129209536263672,1.23797693324293,1.2944150821231544
Q1,0.4,1.8527254671430673,1.92814632170012,1.2623005832714396,1.3096404501969072
Q1,0.395,1.8877087168842324,1.9455541193113637,1.2972838330126046,1.327048247808151
Q1,0.39,1.9302923609801035,1.9655808955754317,1.3398674771084758,1.347075024072219
Q1,0.385,1.9418864138431784,1.9889104364780692,1.3514615299715507,1.3704045649748564
Q1,0.38,1.9571536910149496,2.0167085948534065,1.366728807143322,1.3982027233501937
Q1,0.375,1.974480990726207,2.0512760489664403,1.3840561068545794,1.4327701774632275
Q1,0.37,1.998303290271855,2.098625966133175,1.4078784064002272,1.4801200946299622
Q1,0.365,2.0173346256391675,2.1486438622168884,1.4269097417675398,1.5301379907136756
Q1,0.36,2.0295369750426624,2.1772723661930398,1.4391120911710347,1.558766494689827
Q1,0.355,2.0448790826387695,2.213138141656232,1.4544541987671418,1.5946322701530191
Q1,0.35,2.0655847046436198,2.2622366519272767,1.475159820771992,1.643730780424064
Q1,0.315,2.056383829430718,2.298175959735862,1.4659589455590905,1.6796700882326492
Q1,0.32,2.0638780432559445,2.298486690076862,1.4734531593843168,1.6799808185736491
Q1,0.31,2.055879483368783,2.3221719606899334,1.465454599497155,1.7036660891867206
Q1,0.325,2.0718981139716224,2.322656492429381,1.4814732300999947,1.7041506209261683
Q1,0.345,2.0795329469076393,2.3391359281974853,1.4891080630360116,1.7206300566942725
Q1,0.3,2.055374311350456,2.3419724683440912,1.4649494274788284,1.7234665968408784
Q1,0.305,2.0574338261672724,2.346861342390435,1.4670089422956447,1.7283554708872224
Q1,0.34,2.087281634234961,2.352777426818494,1.4968567503633332,1.7342715553152812
Q1,0.335,2.092192762409171,2.368337335241564,1.5017678785375435,1.7498314637383514
Q1,0.33,2.09522776695486,2.386342824026989,1.5048028830832323,1.767836952523776
Q2,0.75,1.6577014565742223,1.2585440826393623,0.9648215999502998,0.620459713338961
Q2,0.745,1.66136305279269,1.2644568110896914,0.9684831961687674,0.6263724417892901
Q2,0.715,1.6620194182780397,1.26717998828081,0.9691395616541172,0.6290956189804086
Q2,0.71,1.6659631820107845,1.2681902192692083,0.973083325386862,0.6301058499688069
Q2,0.74,1.666039713380669,1.2708046646665399,0.9731598567567465,0.6327202953661385
Q2,0.72,1.6644726089080368,1.2715904060496814,0.9715927522841143,0.6335060367492801
Q2,0.705,1.676007217106695,1.2724921013789179,0.9831273604827726,0.6344077320785165
Q2,0.735,1.671672230307779,1.2776067775044722,0.9787923736838564,0.6395224082040708
Q2,0.7,1.6902379743451124,1.279238902481833,0.9973581177211899,0.6411545331814316
Q2,0.73,1.6782811088288225,1.2848889133860761,0.9854012522049,0.6468045440856748
Q2,0.695,1.6941402389537308,1.2880587827586645,1.0012603823298083,0.6499744134582631
Q2,0.725,1.6787405889795708,1.2891249705854426,0.9858607323556483,0.6510406012850413
Q2,0.69,1.6953137081803575,1.2988125885619168,1.002433851556435,0.6607282192615155
Q2,0.685,1.6986840393613705,1.3115063237942446,1.005804182737448,0.6734219544938432
Q2,0.68,1.7073388739100634,1.326261928654473,1.014459017286141,0.6881775593540717
Q2,0.675,1.72177265562111,1.3433189520547704,1.0288927989971874,0.705234582754369
Q2,0.67,1.7445491126906427,1.363062306349981,1.0516692560667202,0.7249779370495796
Q2,0.65,1.7212316031135126,1.3822954356732307,1.0283517464895902,0.7442110663728293
Q2,0.66,1.7367334034674653,1.3851920745355044,1.0438535468435428,0.7471077052351031
Q2,0.665,1.7398617505056881,1.3860852684334544,1.0469818938817657,0.748000899133053
Q2,0.655,1.7391945836037142,1.3925126065356366,1.0463147269797917,0.7544282372352352
Q2,0.645,1.7194916708345216,1.4066288968328895,1.026611814210599,0.7685445275324881
Q2,0.64,1.718368059765235,1.4764603646979102,1.0254882031413126,0.8383759953975088
Q2,0.505,1.399295701086561,1.477897043180115,0.7064158444626385,0.8398126738797137
Q2,0.51,1.4109741307681343,1.4799880914299524,0.7180942741442118,0.841903722129551
Q2,0.5,1.3923741500825746,1.4807677274495943,0.6994942934586521,0.8426833581491929
Q2,0.515,1.4300060547480598,1.4876225656684843,0.7371261981241373,0.8495381963680829
Q2,0.495,1.3896954965864143,1.4893681108025574,0.6968156399624919,0.851283741502156
Q2,0.635,1.7222697844455297,1.5033080600964455,1.0293899278216072,0.8652236907960441
Q2,0.52,1.4476553404072874,1.5036332604592708,0.7547754837833649,0.8655488911588695
Q2,0.49,1.392348706572061,1.5074480426903767,0.6994688499481385,0.8693636733899753
Q2,0.57,1.509203268686468,1.5103770530177723,0.8163234120625456,0.8722926837173709
Q2,0.575,1.5393002589296754,1.51221218139006,0.8464204023057529,0.8741278120896586
Q2,0.565,1.4917020385066522,1.513863700248083,0.7988221818827297,0.8757793309476817
Q2,0.58,1.5734209723857548,1.520566543395798,0.8805411157618324,0.8824821740953966
Q2,0.485,1.394640348850073,1.5218743772454033,0.7017604922261504,0.883790007945002
Q2,0.525,1.4566916820874332,1.522664640776467,0.7638118254635107,0.8845802714760657
Q2,0.56,1.4757039766154276,1.5228800045477158,0.7828241199915051,0.8847956352473144
Q2,0.48,1.3979120936715188,1.5324207262577876,0.7050322370475963,0.8943363569573862
Q2,0.53,1.4329022043805089,1.5363264917621038,0.7400223477565864,0.8982421224617024
Q2,0.555,1.4614128406255713,1.5390795994244664,0.7685329840016488,0.900995230124065
Q2,0.585,1.6057544703389874,1.539972425397946,0.912874613715065,0.9018880560975447
Q2,0.475,1.4057527571237465,1.5486777665083924,0.712872900499824,0.910593397207991
Q2,0.535,1.4302897076248338,1.5576241193914602,0.7374098510009113,0.9195397500910588
Q2,0.6,1.6826295436360705,1.5625755732227202,0.989749687012148,0.9244912039223189
Q2,0.595,1.6656413486720896,1.5631035222986154,0.9727614920481671,0.925019152998214
Q2,0.605,1.692278369229705,1.563339882001005,0.9993985126057825,0.9252555127006036
Q2,0.63,1.7316446637799188,1.5643643929193274,1.0387648071559963,0.926280023618926
Q2,0.59,1.645670376236687,1.5649433978508616,0.9527905196127646,0.9268590285504602
Q2,0.61,1.710185351824693,1.5654262150405072,1.0173054952007705,0.9273418457401058
Q2,0.55,1.4517923211294241,1.567415849683151,0.7589124645055016,0.9293314803827496
Q2,0.615,1.6944874411495623,1.568917166811864,1.0016075845256398,0.9308327975114626
Q2,0.62,1.6937652275225112,1.5739596291968794,1.0008853708985888,0.935875259896478
Q2,0.47,1.4156340424095637,1.5758119119134877,0.7227541857856412,0.9377275426130863
Q2,0.625,1.7073334535641407,1.580788153506237,1.0144535969402182,0.9427037842058356
Q2,0.54,1.4419971796084015,1.5952984076121728,0.749117322984479,0.9572140383117714
Q2,0.465,1.42600234399805,1.602715670822107,0.7331224873741276,0.9646313015217057
Q2,0.455,1.4362676835377473,1.6050521997852,0.7433878269138248,0.9669678304847987
Q2,0.46,1.4302888450373168,1.6068132523530394,0.7374089884133943,0.968728883052638
Q2,0.45,1.4468023258070464,1.6084322637383655,0.7539224691831239,0.9703478944379641
Q2,0.445,1.4639668604649831,1.6151166556225038,0.7710870038410607,0.9770322863221025
Q2,0.545,1.4531986702318505,1.6202814925964761,0.760318813607928,0.9821971232960748
Q2,0.44,1.4819776672746423,1.6244990217016604,0.7890978106507198,0.986414652401259
Q2,0.435,1.4970954507622432,1.6366179874464244,0.8042155941383207,0.998533618146023
Q2,0.43,1.5142339653431518,1.6373177879981546,0.8213541087192293,0.9992334186977533
Q2,0.425,1.5320398064533653,1.6471471470476886,0.8391599498294429,1.0090627777472871
Q2,0.42,1.5487535054300285,1.6676153255862507,0.8558736488061061,1.0295309562858495
Q2,0.415,1.572712461225937,1.7027853760303755,0.8798326046020146,1.0647010067299743
Q2,0.41,1.605429073945741,1.7450762544759542,0.9125492173218186,1.1069918851755527
Q2,0.405,1.6337181463414867,1.7537207078020067,0.9408382897175642,1.1156363385016053
Q2,0.4,1.657711373279408,1.7643630813028053,0.9648315166554855,1.1262787120024038
Q2,0.395,1.6930285318145475,1.7770896731891141,1.000148675190625,1.139005303888713
Q2,0.39,1.7374765050546144,1.7921407263368059,1.0445966484306919,1.1540563570364046
Q2,0.385,1.7522554849433758,1.8099669714351896,1.0593756283194533,1.1718826021347883
Q2,0.38,1.7706610997118784,1.8313921078227715,1.0777812430879559,1.1933077385223703
Q2,0.375,1.794354974443369,1.8580894310738565,1.1014751178194466,1.2200050617734552
Q2,0.37,1.8316158821204291,1.8944960453176944,1.1387360254965067,1.2564116760172932
Q2,0.365,1.8500976106803069,1.9334993593634857,1.1572177540563844,1.2954149900630845
Q2,0.36,1.8595421543243886,1.9568722134968337,1.1666622977004661,1.3187878441964322
Q2,0.355,1.870872021840311,1.9845977301165911,1.1779921652163885,1.3465133608161897
Q2,0.35,1.885116018910983,2.0187113766458653,1.1922361622870605,1.3806270073454638
Q2,0.345,1.905197071751817,2.0634455274026866,1.2123172151278945,1.4253611581022851
Q2,0.34,1.9234543160788835,2.130355150980362,1.230574459454961,1.4922707816799607
Q2,0.335,1.942758172334788,2.196901186717067,1.2498783157108655,1.5588168174166657
Q2,0.33,1.9530705804945547,2.206746233769877,1.2601907238706322,1.5686618644694756
Q2,0.325,1.966777507942107,2.217523934057818,1.2738976513181846,1.5794395647574166
Q2,0.32,1.9822085305902375,2.2293734583515534,1.289328673966315,1.591289089051152
Q2,0.315,1.9934657755599823,2.242475217413691,1.3005859189360598,1.6043908481132894
Q2,0.31,2.0004100107400458,2.2570678663304062,1.3075301541161233,1.6189834970300048
Q2,0.305,2.0082008576083457,2.2734756541750523,1.3153210009844232,1.6353912848746508
Q2,0.3,2.0170573534680463,2.2921548214104734,1.3241774968441238,1.654070452110072
Q3,0.71,1.363465719082542,1.0272671705509746,0.7007851729543414,0.39257516231022116
Q3,0.715,1.3641461474750838,1.0274815305156828,0.7014656013468831,0.39278952227492936
Q3,0.705,1.365334068654154,1.028799096714382,0.7026535225259533,0.39410708847362863
Q3,0.72,1.3689177832661568,1.0296284702721568,0.706237237137956,0.3949364620314033
Q3,0.7,1.3537541456751752,1.0319673805860816,0.6910735995469744,0.39727537234532817
Q3,0.725,1.3760351540276916,1.0340128180456638,0.7133546078994909,0.39932080980491036
Q3,0.695,1.3488128955698226,1.0367169651940908,0.6861323494416219,0.4020249569533374
Q3,0.73,1.3767151856311703,1.0411472424154002,0.7140346395029696,0.4064552341746468
Q3,0.69,1.3440084284369729,1.043036618662907,0.6813278823087722,0.40834461042215353
Q3,0.685,1.3429424995566528,1.050953973088458,0.6802619534284521,0.4162619648477046
Q3,0.735,1.3795055183805702,1.0519692993442118,0.7168249722523695,0.41727729110345835
Q3,0.68,1.334457856592932,1.06053476592502,0.6717773104647312,0.4258427576842665
Q3,0.74,1.3854001162098404,1.0685033630582912,0.7227195700816397,0.43381135481753774
Q3,0.675,1.319496502811885,1.0718856558837642,0.6568159566836843,0.4371936476430107
Q3,0.67,1.3137677288178329,1.085160819783347,0.6510871826896322,0.45046881154259366
Q3,0.745,1.397334706183887,1.0969521080038622,0.7346541600556863,0.4622600997631088
Q3,0.665,1.3153240661323136,1.100573346683966,0.6526435200041129,0.46588133844321256
Q3,0.75,1.4056177051830696,1.1154196689840101,0.7429371590548689,0.4807276607432567
Q3,0.66,1.3221856888054753,1.1184135572908762,0.6595051426772746,0.48372154905012277
Q3,0.65,1.335617032923375,1.1369343150927635,0.6729364867951743,0.5022423068520101
Q3,0.655,1.3338183603599094,1.1390782686230032,0.6711378142317087,0.5043862603822498
Q3,0.645,1.3500216989373672,1.150463164595005,0.6873411528091665,0.5157711563542515
Q3,0.64,1.376359140685456,1.1745499205426462,0.7136785945572554,0.5398579123018927
Q3,0.635,1.418214918612549,1.2085423772333252,0.7555343724843483,0.5738503689925718
Q3,0.63,1.440878131046368,1.2546203013440513,0.7781975849181674,0.6199282931032979
Q3,0.625,1.4642770452556744,1.3186842807302879,0.8015964991274737,0.6839922724895344
Q3,0.62,1.504592701508426,1.4173591037237139,0.8419121553802252,0.7826670954829604
Q3,0.615,1.5474362284529495,1.5149201495991853,0.8847556823247488,0.8802281413584319
Q3,0.505,1.6554087687280339,1.5260311895940284,0.9927282225998332,0.891339181353275
Q3,0.5,1.6610721368235495,1.5275807484275052,0.9983915906953488,0.8928887401867518
Q3,0.51,1.654240695469068,1.5278244278320785,0.9915601493408673,0.893132419591325
Q3,0.495,1.672197897771467,1.5320615770333217,1.0095173516432663,0.8973695687925682
Q3,0.515,1.6571694451268415,1.5345498984969377,0.9944888989986408,0.8998578902561842
Q3,0.49,1.6899139905974807,1.5395225638349883,1.0272334444692799,0.9048305555942349
Q3,0.52,1.6591107032568861,1.542926373785902,0.9964301571286854,0.9082343655451486
Q3,0.525,1.6540927217072168,1.5496704116761915,0.9914121755790161,0.914978403435438
Q3,0.485,1.7004007956888012,1.550397742166253,1.0377202495606004,0.9157057339254995
Q3,0.53,1.640949887009633,1.5594729747101557,0.9782693408814324,0.9247809664694022
Q3,0.48,1.712066758636243,1.5656994724328497,1.0493862125080424,0.9310074641920962
Q3,0.535,1.634234729027887,1.5733687932857139,0.9715541828996862,0.9386767850449604
Q3,0.475,1.7262171808528253,1.5877254265380236,1.0635366347246245,0.9530334182972702
Q3,0.54,1.6333479917413727,1.5934255509026791,0.970667445613172,0.9587335426619257
Q3,0.61,1.5931289886425946,1.6069842013330065,0.9304484425143938,0.972292193092253
Q3,0.47,1.7512110251703634,1.6229692888576117,1.0885304790421628,0.9882772806168583
Q3,0.545,1.6409807992328433,1.6246623000283815,0.9783002531046426,0.9899702917876281
Q3,0.605,1.6098663151978811,1.6471721449813492,0.9471857690696804,1.0124801367405958
Q3,0.6,1.6079886151636804,1.6535253103875074,0.9453080690354797,1.018833302146754
Q3,0.58,1.6398230956735562,1.6539732681823343,0.9771425495453555,1.0192812599415808
Q3,0.465,1.775496437977141,1.6572874533325381,1.1128158918489404,1.0225954450917847
Q3,0.585,1.6249213058306449,1.6582692160847827,0.9622407597024442,1.0235772078440293
Q3,0.455,1.7849148545373197,1.661699229283229,1.1222343084091189,1.0270072210424757
Q3,0.595,1.603690045159531,1.6617259654784313,0.9410094990313304,1.0270339572376779
