split,target,fold,subject_id,balance_rate,history_rows,future_rows,history_pos_rate,target_future_mean,before_mean,after_mean,candidate
oof,Q1,0,id01,0.3,32,9,0.5,0.02,0.38812273618277726,0.019999999999999997,allq_rate_0p3
oof,Q1,0,id02,0.3,38,10,0.5789473684210527,0.02,0.4647918364292587,0.02000000000000001,allq_rate_0p3
oof,Q1,0,id03,0.3,26,7,0.8846153846153846,0.02,0.8131467496638531,0.020000000000000014,allq_rate_0p3
oof,Q1,0,id04,0.3,45,12,0.4888888888888889,0.02,0.6110989039050624,0.020000000000000014,allq_rate_0p3
oof,Q1,0,id05,0.3,35,9,0.6857142857142857,0.02,0.7594300556964532,0.019999999999999993,allq_rate_0p3
oof,Q1,0,id06,0.3,38,10,0.18421052631578946,0.7399999999999999,0.30856119325719356,0.7399999999999997,allq_rate_0p3
oof,Q1,0,id07,0.3,39,10,0.48717948717948717,0.02,0.4231188600317646,0.019999999999999987,allq_rate_0p3
oof,Q1,0,id08,0.3,44,12,0.4318181818181818,0.02,0.3669871002688796,0.01999999999999999,allq_rate_0p3
oof,Q1,0,id09,0.3,32,9,0.53125,0.02,0.38896768738382836,0.020000000000000004,allq_rate_0p3
oof,Q1,0,id10,0.3,26,7,0.4230769230769231,0.02,0.5007194466009841,0.01999999999999999,allq_rate_0p3
oof,Q1,1,id01,0.3,33,8,0.3939393939393939,0.02,0.5384931070855642,0.020000000000000007,allq_rate_0p3
oof,Q1,1,id02,0.3,38,10,0.5526315789473685,0.02,0.5967320905580747,0.020000000000000007,allq_rate_0p3
oof,Q1,1,id03,0.3,26,7,0.8846153846153846,0.02,0.6039361347811463,0.020000000000000014,allq_rate_0p3
oof,Q1,1,id04,0.3,46,11,0.6086956521739131,0.02,0.5664943570866403,0.019999999999999993,allq_rate_0p3
oof,Q1,1,id05,0.3,35,9,0.6,0.02,0.602721395882925,0.019999999999999997,allq_rate_0p3
oof,Q1,1,id06,0.3,38,10,0.15789473684210525,0.8399999999999999,0.3421052596537636,0.8399999999999996,allq_rate_0p3
oof,Q1,1,id07,0.3,39,10,0.48717948717948717,0.02,0.5429138311229478,0.020000000000000004,allq_rate_0p3
oof,Q1,1,id08,0.3,45,11,0.35555555555555557,0.0727272727272728,0.43568284548160396,0.07272727272727278,allq_rate_0p3
oof,Q1,1,id09,0.3,33,8,0.5151515151515151,0.02,0.4111619722418398,0.019999999999999987,allq_rate_0p3
oof,Q1,1,id10,0.3,26,7,0.46153846153846156,0.02,0.3765408662626736,0.02,allq_rate_0p3
oof,Q1,2,id01,0.3,33,8,0.45454545454545453,0.02,0.27312887322634244,0.019999999999999993,allq_rate_0p3
oof,Q1,2,id02,0.3,39,9,0.5128205128205128,0.02,0.4846848028679077,0.019999999999999987,allq_rate_0p3
oof,Q1,2,id03,0.3,27,6,0.8148148148148148,0.02,0.8253749605561058,0.02000000000000001,allq_rate_0p3
oof,Q1,2,id04,0.3,45,12,0.6666666666666666,0.02,0.5300147974512049,0.020000000000000007,allq_rate_0p3
oof,Q1,2,id05,0.3,35,9,0.5428571428571428,0.02,0.518591233254995,0.01999999999999998,allq_rate_0p3
oof,Q1,2,id06,0.3,39,9,0.10256410256410256,0.98,0.26146065084102366,0.9799999999999999,allq_rate_0p3
oof,Q1,2,id07,0.3,39,10,0.5128205128205128,0.02,0.6049432834417064,0.020000000000000004,allq_rate_0p3
oof,Q1,2,id08,0.3,45,11,0.4222222222222222,0.02,0.27331028280008346,0.020000000000000007,allq_rate_0p3
oof,Q1,2,id09,0.3,33,8,0.5151515151515151,0.02,0.5135307837168388,0.020000000000000007,allq_rate_0p3
oof,Q1,2,id10,0.3,27,6,0.5555555555555556,0.02,0.5143083995982666,0.019999999999999993,allq_rate_0p3
oof,Q1,3,id01,0.3,33,8,0.5151515151515151,0.02,0.5960919496717141,0.019999999999999997,allq_rate_0p3
oof,Q1,3,id02,0.3,38,10,0.5263157894736842,0.02,0.567250695192935,0.019999999999999997,allq_rate_0p3
oof,Q1,3,id03,0.3,26,7,0.8076923076923077,0.02,0.8037218581008274,0.019999999999999993,allq_rate_0p3
oof,Q1,3,id04,0.3,46,11,0.5217391304347826,0.02,0.5747027961762879,0.019999999999999987,allq_rate_0p3
oof,Q1,3,id05,0.3,35,9,0.6,0.02,0.6409251132707702,0.01999999999999999,allq_rate_0p3
oof,Q1,3,id06,0.3,38,10,0.10526315789473684,0.98,0.27742333064187896,0.9799999999999999,allq_rate_0p3
oof,Q1,3,id07,0.3,39,10,0.5384615384615384,0.02,0.5178437707543291,0.020000000000000014,allq_rate_0p3
oof,Q1,3,id08,0.3,45,11,0.4666666666666667,0.02,0.41112516752077366,0.02,allq_rate_0p3
oof,Q1,3,id09,0.3,33,8,0.5757575757575758,0.02,0.5663546405849964,0.02,allq_rate_0p3
oof,Q1,3,id10,0.3,26,7,0.5384615384615384,0.02,0.44861541818065076,0.020000000000000007,allq_rate_0p3
oof,Q1,4,id01,0.3,33,8,0.3333333333333333,0.16249999999999987,0.47099550677140567,0.16249999999999987,allq_rate_0p3
oof,Q1,4,id02,0.3,39,9,0.5384615384615384,0.02,0.5635519025845672,0.019999999999999997,allq_rate_0p3
oof,Q1,4,id03,0.3,27,6,0.8518518518518519,0.02,0.7213625043666081,0.020000000000000004,allq_rate_0p3
oof,Q1,4,id04,0.3,46,11,0.5217391304347826,0.02,0.6155045961847023,0.019999999999999997,allq_rate_0p3
oof,Q1,4,id05,0.3,36,8,0.6388888888888888,0.02,0.43649764158998605,0.019999999999999993,allq_rate_0p3
oof,Q1,4,id06,0.3,39,9,0.1794871794871795,0.8222222222222221,0.3466368529554634,0.822222222222222,allq_rate_0p3
oof,Q1,4,id07,0.3,40,9,0.525,0.02,0.47078227156452546,0.019999999999999993,allq_rate_0p3
oof,Q1,4,id08,0.3,45,11,0.37777777777777777,0.02,0.35646527187000365,0.020000000000000004,allq_rate_0p3
